Learning Rate	Train Loss	Train Acc.	
0.010000	27.690138	0.093750	
0.010000	26.606897	0.101562	
0.010000	26.410494	0.085938	
0.010000	26.095144	0.125000	
0.010000	25.988577	0.109375	
0.010000	26.017784	0.054688	
0.010000	26.058893	0.093750	
0.010000	25.860918	0.085938	
0.010000	25.779066	0.125000	
0.010000	25.456472	0.164062	
0.010000	25.633373	0.117188	
0.010000	25.617178	0.070312	
0.010000	25.613468	0.164062	
0.010000	25.490950	0.156250	
0.010000	25.594929	0.085938	
0.010000	25.551075	0.117188	
0.010000	25.469662	0.109375	
0.010000	25.551943	0.109375	
0.010000	25.529148	0.109375	
0.010000	25.495014	0.140625	
0.010000	25.372009	0.140625	
0.010000	25.383030	0.156250	
0.010000	25.428818	0.117188	
0.010000	25.543732	0.070312	
0.010000	25.341457	0.179688	
0.010000	25.686752	0.078125	
0.010000	25.351734	0.125000	
0.010000	25.517525	0.109375	
0.010000	25.522949	0.117188	
0.010000	25.340862	0.156250	
0.010000	25.208572	0.250000	
0.010000	25.453661	0.109375	
0.010000	25.260651	0.148438	
0.010000	25.201889	0.195312	
0.010000	25.385002	0.156250	
0.010000	25.346172	0.203125	
0.010000	25.302769	0.218750	
0.010000	25.393641	0.140625	
0.010000	25.447599	0.132812	
0.010000	25.303455	0.195312	
0.010000	25.281908	0.242188	
0.010000	25.283215	0.171875	
0.010000	25.275492	0.125000	
0.010000	25.282238	0.171875	
0.010000	25.339390	0.148438	
0.010000	25.242338	0.179688	
0.010000	25.284950	0.132812	
0.010000	25.356775	0.164062	
0.010000	25.343727	0.078125	
0.010000	25.197155	0.187500	
0.010000	25.283945	0.164062	
0.010000	25.197025	0.210938	
0.010000	25.267239	0.171875	
0.010000	25.299967	0.148438	
0.010000	25.247799	0.164062	
0.010000	25.320173	0.156250	
0.010000	25.213432	0.218750	
0.010000	25.314739	0.171875	
0.010000	25.185762	0.148438	
0.010000	25.177204	0.203125	
0.010000	25.203688	0.187500	
0.010000	25.201641	0.234375	
0.010000	25.160643	0.195312	
0.010000	25.215252	0.242188	
0.010000	25.293194	0.148438	
0.010000	25.238058	0.179688	
0.010000	25.114834	0.179688	
0.010000	25.061106	0.234375	
0.010000	25.210421	0.156250	
0.010000	25.274927	0.234375	
0.010000	25.153559	0.195312	
0.010000	25.183767	0.226562	
0.010000	25.137537	0.226562	
0.010000	25.156225	0.195312	
0.010000	25.185011	0.195312	
0.010000	25.098745	0.234375	
0.010000	25.230953	0.187500	
0.010000	25.091602	0.296875	
0.010000	25.085707	0.257812	
0.010000	25.080908	0.273438	
0.010000	25.210299	0.226562	
0.010000	25.183451	0.281250	
0.010000	25.078636	0.257812	
0.010000	25.106987	0.273438	
0.010000	25.151602	0.273438	
0.010000	24.982531	0.335938	
0.010000	25.037926	0.296875	
0.010000	25.070890	0.257812	
0.010000	24.947777	0.320312	
0.010000	24.904390	0.320312	
0.010000	25.072180	0.312500	
0.010000	25.179197	0.218750	
0.010000	24.964968	0.328125	
0.010000	25.021383	0.250000	
0.010000	25.046032	0.250000	
0.010000	24.938437	0.375000	
0.010000	25.080805	0.312500	
0.010000	25.108953	0.257812	
0.010000	25.036837	0.312500	
0.010000	24.969345	0.304688	
0.010000	25.023296	0.273438	
0.010000	24.998835	0.351562	
0.010000	25.100477	0.328125	
0.010000	25.083269	0.250000	
0.010000	24.875168	0.359375	
0.010000	25.098974	0.250000	
0.010000	25.047806	0.273438	
0.010000	24.954729	0.328125	
0.010000	24.940218	0.312500	
0.010000	24.895927	0.359375	
0.010000	24.905626	0.343750	
0.010000	25.004358	0.304688	
0.010000	24.934147	0.304688	
0.010000	24.976830	0.343750	
0.010000	24.939236	0.296875	
0.010000	24.916471	0.343750	
0.010000	25.036007	0.304688	
0.010000	24.815619	0.375000	
0.010000	24.749481	0.429688	
0.010000	24.918732	0.328125	
0.010000	24.916166	0.351562	
0.010000	24.662817	0.460938	
0.010000	24.831802	0.335938	
0.010000	24.966522	0.335938	
0.010000	24.862135	0.343750	
0.010000	25.090740	0.257812	
0.010000	24.698030	0.460938	
0.010000	24.812868	0.406250	
0.010000	24.768236	0.398438	
0.010000	24.640274	0.437500	
0.010000	24.740097	0.398438	
0.010000	24.905354	0.328125	
0.010000	24.794792	0.359375	
0.010000	24.742180	0.453125	
0.010000	24.735373	0.382812	
0.010000	24.642496	0.414062	
0.010000	24.603527	0.476562	
0.010000	24.821800	0.343750	
0.010000	24.761076	0.398438	
0.010000	24.659521	0.437500	
0.010000	24.641279	0.460938	
0.010000	24.522095	0.476562	
0.010000	24.598175	0.460938	
0.010000	24.743853	0.421875	
0.010000	24.540918	0.476562	
0.010000	24.502424	0.531250	
0.010000	24.726332	0.367188	
0.010000	24.464739	0.515625	
0.010000	24.557907	0.546875	
0.010000	24.682444	0.398438	
0.010000	24.473114	0.531250	
0.010000	24.667566	0.460938	
0.010000	24.593851	0.460938	
0.010000	24.527184	0.476562	
0.010000	24.447340	0.484375	
0.010000	24.756912	0.398438	
0.010000	24.638102	0.437500	
0.010000	24.746286	0.398438	
0.010000	24.534489	0.492188	
0.010000	24.512877	0.531250	
0.010000	24.341602	0.562500	
0.010000	24.409592	0.531250	
0.010000	24.565105	0.539062	
0.010000	24.748146	0.468750	
0.010000	24.450752	0.523438	
0.010000	24.439854	0.523438	
0.010000	24.484402	0.554688	
0.010000	24.656727	0.437500	
0.010000	24.442497	0.507812	
0.010000	24.440069	0.523438	
0.010000	24.315662	0.570312	
0.010000	24.197760	0.625000	
0.010000	24.394810	0.562500	
0.010000	24.381886	0.523438	
0.010000	24.435158	0.523438	
0.010000	24.627249	0.382812	
0.010000	24.594666	0.492188	
0.010000	24.433630	0.531250	
0.010000	24.382359	0.578125	
0.010000	24.256361	0.523438	
0.010000	24.398130	0.562500	
0.010000	24.362991	0.562500	
0.010000	24.476488	0.546875	
0.010000	24.281570	0.601562	
0.010000	24.551725	0.484375	
0.010000	24.413698	0.492188	
0.010000	24.340055	0.546875	
0.010000	24.465824	0.523438	
0.010000	24.340086	0.507812	
0.010000	24.393017	0.523438	
0.010000	24.285173	0.554688	
0.010000	24.468138	0.539062	
0.010000	24.406128	0.507812	
0.010000	24.395029	0.531250	
0.010000	24.320383	0.585938	
0.010000	24.181469	0.617188	
0.010000	24.154915	0.640625	
0.010000	24.235924	0.593750	
0.010000	24.094610	0.625000	
0.010000	24.166452	0.601562	
0.010000	24.231829	0.632812	
0.010000	24.145132	0.609375	
0.010000	24.185246	0.593750	
0.010000	24.223978	0.593750	
0.010000	24.219120	0.578125	
0.010000	24.410772	0.554688	
0.010000	24.380604	0.562500	
0.010000	24.297607	0.570312	
0.010000	24.396389	0.492188	
0.010000	24.132185	0.585938	
0.010000	24.273874	0.585938	
0.010000	24.163715	0.585938	
0.010000	24.363642	0.585938	
0.010000	24.137327	0.601562	
0.010000	24.097492	0.671875	
0.010000	24.110067	0.585938	
0.010000	24.205853	0.546875	
0.010000	24.166279	0.640625	
0.010000	24.126842	0.601562	
0.010000	23.985714	0.695312	
0.010000	24.132231	0.625000	
0.010000	24.198029	0.609375	
0.010000	23.968195	0.648438	
0.010000	24.154249	0.609375	
0.010000	23.992676	0.617188	
0.010000	23.924835	0.679688	
0.010000	24.138800	0.601562	
0.010000	24.236948	0.578125	
0.010000	24.079346	0.648438	
0.010000	23.919968	0.664062	
0.010000	24.008863	0.695312	
0.010000	23.993074	0.648438	
0.010000	24.301308	0.562500	
0.010000	24.016779	0.656250	
0.010000	24.239006	0.585938	
0.010000	24.291208	0.539062	
0.010000	24.015417	0.671875	
0.010000	24.077705	0.570312	
0.010000	24.129539	0.656250	
0.010000	24.257187	0.593750	
0.010000	23.970457	0.718750	
0.010000	24.099182	0.656250	
0.010000	23.994328	0.671875	
0.010000	23.919321	0.742188	
0.010000	24.306643	0.601562	
0.010000	24.126030	0.625000	
0.010000	23.998375	0.632812	
0.010000	24.397261	0.562500	
0.010000	24.034492	0.703125	
0.010000	24.032257	0.679688	
0.010000	24.162691	0.648438	
0.010000	24.157110	0.640625	
0.010000	24.162216	0.585938	
0.010000	24.530571	0.554688	
0.010000	23.924789	0.703125	
0.010000	23.977299	0.671875	
0.010000	24.137199	0.687500	
0.010000	24.007429	0.671875	
0.010000	24.248930	0.593750	
0.010000	24.031860	0.695312	
0.010000	24.186245	0.625000	
0.010000	24.069010	0.656250	
0.010000	23.829603	0.718750	
0.010000	23.941666	0.710938	
0.010000	23.767263	0.742188	
0.010000	23.786684	0.742188	
0.010000	23.868090	0.718750	
0.010000	23.887060	0.742188	
0.010000	23.762077	0.734375	
0.010000	23.855810	0.710938	
0.010000	23.912271	0.703125	
0.010000	24.234983	0.593750	
0.010000	24.189968	0.578125	
0.010000	23.859818	0.695312	
0.010000	24.013105	0.617188	
0.010000	23.948669	0.687500	
0.010000	23.855324	0.687500	
0.010000	23.846741	0.726562	
0.010000	23.946211	0.695312	
0.010000	23.715078	0.773438	
0.010000	23.820066	0.757812	
0.010000	24.081221	0.648438	
0.010000	23.848284	0.710938	
0.010000	23.593132	0.796875	
0.010000	24.045959	0.656250	
0.010000	23.831934	0.710938	
0.010000	23.830275	0.648438	
0.010000	23.999794	0.632812	
0.010000	23.757626	0.718750	
0.010000	23.809641	0.742188	
0.010000	23.824936	0.734375	
0.010000	24.011648	0.648438	
0.010000	24.131990	0.617188	
0.010000	24.086494	0.648438	
0.010000	23.805040	0.687500	
0.010000	23.947289	0.656250	
0.010000	23.769100	0.750000	
0.010000	23.867565	0.726562	
0.010000	23.913490	0.703125	
0.010000	23.915499	0.703125	
0.010000	23.883142	0.781250	
0.010000	24.021299	0.632812	
0.010000	23.727047	0.804688	
0.010000	23.794687	0.679688	
0.010000	23.752352	0.773438	
0.010000	23.638903	0.796875	
0.010000	23.681448	0.789062	
0.010000	24.084164	0.671875	
0.010000	23.971472	0.648438	
0.010000	23.938210	0.710938	
0.010000	24.008224	0.687500	
0.010000	24.056471	0.648438	
0.010000	23.836199	0.734375	
0.010000	23.719572	0.765625	
0.010000	23.874798	0.718750	
0.010000	23.720663	0.781250	
0.010000	23.907742	0.687500	
0.010000	23.880032	0.742188	
0.010000	23.732107	0.718750	
0.010000	23.678841	0.796875	
0.010000	24.049997	0.664062	
0.010000	23.864773	0.679688	
0.010000	24.066011	0.695312	
0.010000	24.023127	0.687500	
0.010000	23.881582	0.750000	
0.010000	23.716478	0.781250	
0.010000	23.961094	0.687500	
0.010000	23.995804	0.656250	
0.010000	23.773380	0.742188	
0.010000	23.935555	0.671875	
0.010000	24.042793	0.648438	
0.010000	23.861660	0.687500	
0.010000	24.001591	0.671875	
0.010000	23.893763	0.687500	
0.010000	23.783096	0.757812	
0.010000	23.982576	0.695312	
0.010000	24.016048	0.632812	
0.010000	23.815281	0.710938	
0.010000	23.586756	0.804688	
0.010000	23.481977	0.851562	
0.010000	23.654175	0.820312	
0.010000	23.865505	0.757812	
0.010000	23.800419	0.718750	
0.010000	23.652039	0.820312	
0.010000	23.958950	0.703125	
0.010000	23.880093	0.742188	
0.010000	23.895832	0.710938	
0.010000	23.714882	0.789062	
0.010000	23.655544	0.789062	
0.010000	23.680695	0.781250	
0.010000	23.893639	0.726562	
0.010000	23.818844	0.773438	
0.010000	23.935104	0.734375	
0.010000	23.699377	0.742188	
0.010000	23.710876	0.750000	
0.010000	23.898909	0.718750	
0.010000	23.676714	0.773438	
0.010000	23.752810	0.773438	
0.010000	23.801596	0.734375	
0.010000	23.800892	0.765625	
0.010000	23.801893	0.750000	
0.010000	24.015421	0.679688	
0.010000	23.977301	0.695312	
0.010000	23.546989	0.765625	
0.010000	23.643831	0.828125	
0.010000	23.745062	0.757812	
0.010000	23.664976	0.765625	
0.010000	23.868576	0.757812	
0.010000	23.793966	0.757812	
0.010000	23.821623	0.726562	
0.010000	23.867790	0.703125	
0.010000	23.844130	0.734375	
0.010000	23.646324	0.781250	
0.010000	23.731680	0.773438	
0.010000	23.919407	0.648438	
0.010000	23.516912	0.820312	
0.010000	23.361912	0.898438	
0.010000	23.880444	0.734375	
0.010000	23.520086	0.859375	
0.010000	23.660065	0.812500	
0.010000	23.651466	0.781250	
0.010000	23.596550	0.789062	
0.010000	24.129234	0.617188	
0.010000	23.796076	0.781250	
0.010000	23.924965	0.703125	
0.010000	23.539028	0.820312	
0.010000	24.026386	0.695312	
0.010000	24.178988	0.640625	
0.010000	23.663010	0.789062	
0.010000	23.750637	0.750000	
0.010000	23.638777	0.781250	
0.010000	23.626577	0.804688	
0.010000	23.894522	0.718750	
0.010000	24.054039	0.734375	
0.010000	23.678181	0.773438	
0.010000	23.621485	0.757812	
0.010000	23.756630	0.757812	
0.010000	23.480778	0.828125	
0.010000	23.466425	0.890625	
0.010000	23.672058	0.789062	
0.010000	23.867420	0.710938	
0.010000	23.604887	0.781250	
0.010000	23.538452	0.804688	
0.010000	23.666637	0.757812	
0.010000	23.591099	0.843750	
0.010000	23.737194	0.742188	
0.010000	23.734251	0.765625	
0.010000	23.974783	0.703125	
0.010000	23.653004	0.804688	
0.010000	23.696909	0.789062	
0.010000	23.416641	0.882812	
0.010000	23.746782	0.710938	
0.010000	23.723907	0.734375	
0.010000	23.926157	0.750000	
0.010000	23.736513	0.726562	
0.010000	23.726515	0.773438	
0.010000	23.535767	0.789062	
0.010000	23.669737	0.765625	
0.010000	23.757275	0.742188	
0.010000	23.752010	0.734375	
0.010000	23.495337	0.820312	
0.010000	23.780882	0.742188	
0.010000	23.678419	0.750000	
0.010000	23.549774	0.828125	
0.010000	23.600672	0.820312	
0.010000	23.626860	0.789062	
0.010000	23.651676	0.781250	
0.010000	23.479486	0.820312	
0.010000	23.652277	0.796875	
0.010000	23.967512	0.695312	
0.010000	23.538523	0.851562	
0.010000	23.517015	0.820312	
0.010000	23.488928	0.820312	
0.010000	23.526081	0.828125	
0.010000	23.504593	0.812500	
0.010000	23.608652	0.828125	
0.010000	23.700710	0.812500	
0.010000	23.439323	0.867188	
0.010000	23.604286	0.773438	
0.010000	23.567726	0.796875	
0.010000	23.539524	0.812500	
0.010000	23.732832	0.781250	
0.010000	23.507915	0.835938	
0.010000	23.645878	0.750000	
0.010000	23.488667	0.835938	
0.010000	23.540676	0.851562	
0.010000	23.414444	0.859375	
0.010000	23.851788	0.718750	
0.010000	23.477741	0.875000	
0.010000	23.594429	0.796875	
0.010000	23.818409	0.718750	
0.010000	23.708900	0.773438	
0.010000	23.540154	0.843750	
0.010000	23.566341	0.796875	
0.010000	23.403687	0.875000	
0.010000	23.407061	0.875000	
0.010000	23.504257	0.812500	
0.010000	23.476961	0.835938	
0.010000	23.371584	0.867188	
0.010000	23.517620	0.843750	
0.010000	23.195559	0.937500	
0.010000	23.247747	0.921875	
0.010000	23.341509	0.898438	
0.010000	23.746065	0.781250	
0.010000	23.474566	0.843750	
0.010000	23.367741	0.859375	
0.010000	23.826809	0.757812	
0.010000	23.256535	0.906250	
0.010000	23.684256	0.791667	
0.010000	23.416384	0.859375	
0.010000	23.441700	0.859375	
0.010000	23.429911	0.882812	
0.010000	23.625109	0.804688	
0.010000	23.700901	0.789062	
0.010000	23.370222	0.859375	
0.010000	23.521990	0.804688	
0.010000	23.693153	0.765625	
0.010000	23.761263	0.734375	
0.010000	23.689337	0.851562	
0.010000	23.781937	0.773438	
0.010000	23.454000	0.851562	
0.010000	23.538492	0.820312	
0.010000	23.332048	0.906250	
0.010000	23.444319	0.859375	
0.010000	23.530853	0.843750	
0.010000	23.337021	0.867188	
0.010000	23.315155	0.914062	
0.010000	23.536158	0.851562	
0.010000	23.479103	0.882812	
0.010000	23.382069	0.882812	
0.010000	23.575855	0.796875	
0.010000	23.474127	0.867188	
0.010000	23.453299	0.851562	
0.010000	23.439434	0.843750	
0.010000	23.670069	0.820312	
0.010000	23.632139	0.796875	
0.010000	23.497601	0.820312	
0.010000	23.493334	0.859375	
0.010000	23.632153	0.835938	
0.010000	23.297817	0.906250	
0.010000	23.515760	0.851562	
0.010000	23.592041	0.835938	
0.010000	23.424683	0.828125	
0.010000	23.462389	0.867188	
0.010000	23.368084	0.890625	
0.010000	23.592333	0.835938	
0.010000	23.702837	0.789062	
0.010000	23.574190	0.843750	
0.010000	23.342434	0.914062	
0.010000	23.457108	0.828125	
0.010000	23.561756	0.820312	
0.010000	23.583393	0.835938	
0.010000	23.525522	0.890625	
0.010000	23.502693	0.820312	
0.010000	23.591503	0.812500	
0.010000	23.556273	0.812500	
0.010000	23.412678	0.875000	
0.010000	23.537586	0.804688	
0.010000	23.289577	0.882812	
0.010000	23.409376	0.843750	
0.010000	23.273350	0.906250	
0.010000	23.437557	0.828125	
0.010000	23.777044	0.796875	
0.010000	23.629410	0.812500	
0.010000	23.425888	0.859375	
0.010000	23.708687	0.812500	
0.010000	23.616158	0.820312	
