Learning Rate	Test Loss	Test Acc.	
0.010000	23.602816	0.765625	
0.010000	23.546263	0.820312	
0.010000	23.873201	0.687500	
0.010000	23.672018	0.796875	
0.010000	23.887409	0.734375	
0.010000	23.699080	0.742188	
0.010000	23.512007	0.820312	
0.010000	23.794825	0.750000	
0.010000	23.696634	0.773438	
0.010000	23.874769	0.718750	
0.010000	23.700922	0.773438	
0.010000	23.685669	0.812500	
0.010000	23.663849	0.773438	
0.010000	23.821806	0.773438	
0.010000	23.674356	0.734375	
0.010000	23.624105	0.820312	
0.010000	23.703253	0.789062	
0.010000	23.635201	0.820312	
0.010000	23.588766	0.796875	
0.010000	23.602642	0.789062	
0.010000	23.766638	0.750000	
0.010000	23.786291	0.750000	
0.010000	23.457808	0.828125	
0.010000	23.579254	0.796875	
0.010000	23.643143	0.828125	
0.010000	23.496611	0.835938	
0.010000	23.543488	0.796875	
0.010000	23.779911	0.742188	
0.010000	23.650764	0.789062	
0.010000	23.977325	0.687500	
0.010000	23.627729	0.796875	
0.010000	23.580292	0.835938	
0.010000	23.766581	0.750000	
0.010000	23.788290	0.742188	
0.010000	23.729462	0.750000	
0.010000	23.629887	0.796875	
0.010000	23.469378	0.812500	
0.010000	23.745232	0.726562	
0.010000	23.696882	0.765625	
0.010000	23.386837	0.851562	
0.010000	23.417150	0.859375	
0.010000	23.290253	0.921875	
0.010000	23.259558	0.921875	
0.010000	23.567854	0.828125	
0.010000	23.513439	0.851562	
0.010000	23.572554	0.820312	
0.010000	23.717854	0.773438	
0.010000	23.686663	0.804688	
0.010000	23.363171	0.906250	
0.010000	23.247078	0.890625	
0.010000	23.351576	0.890625	
0.010000	23.572964	0.812500	
0.010000	23.495335	0.820312	
0.010000	23.583628	0.835938	
0.010000	23.267372	0.906250	
0.010000	23.398794	0.859375	
0.010000	23.544273	0.851562	
0.010000	23.222376	0.929688	
0.010000	23.636045	0.804688	
0.010000	23.375305	0.867188	
0.010000	23.327946	0.859375	
0.010000	23.729267	0.789062	
0.010000	23.326761	0.898438	
0.010000	23.455030	0.851562	
0.010000	23.555492	0.820312	
0.010000	23.343596	0.867188	
0.010000	23.527082	0.835938	
0.010000	23.210630	0.945312	
0.010000	23.231146	0.937500	
0.010000	23.129850	0.960938	
0.010000	23.617960	0.828125	
0.010000	23.346832	0.875000	
0.010000	23.383879	0.820312	
0.010000	23.382629	0.835938	
0.010000	23.449232	0.851562	
0.010000	23.709620	0.742188	
0.010000	23.703812	0.750000	
0.010000	23.872189	0.765625	
0.010000	23.294252	0.937500	
0.010000	23.316885	0.914062	
0.010000	23.290741	0.906250	
0.010000	23.454174	0.835938	
0.010000	23.447830	0.867188	
0.010000	23.401306	0.867188	
