Learning Rate	Train Loss	Train Acc.	
0.010000	31.551449	0.078125	
0.010000	26.401196	0.085938	
0.010000	26.479534	0.070312	
0.010000	26.171679	0.093750	
0.010000	25.813135	0.132812	
0.010000	25.744528	0.148438	
0.010000	25.661114	0.125000	
0.010000	25.823240	0.062500	
0.010000	25.790968	0.101562	
0.010000	25.493629	0.164062	
0.010000	25.510481	0.148438	
0.010000	25.540142	0.093750	
0.010000	25.632305	0.125000	
0.010000	25.355326	0.156250	
0.010000	25.591305	0.156250	
0.010000	25.493437	0.117188	
0.010000	25.554554	0.085938	
0.010000	25.645277	0.140625	
0.010000	25.307482	0.156250	
0.010000	25.451521	0.117188	
0.010000	25.479504	0.132812	
0.010000	25.360289	0.140625	
0.010000	25.386183	0.156250	
0.010000	25.408693	0.148438	
0.010000	25.415346	0.117188	
0.010000	25.384460	0.109375	
0.010000	25.285032	0.203125	
0.010000	25.423332	0.085938	
0.010000	25.310942	0.210938	
0.010000	25.237896	0.195312	
0.010000	25.262804	0.148438	
0.010000	25.318724	0.132812	
0.010000	25.283865	0.171875	
0.010000	25.356730	0.156250	
0.010000	25.302288	0.140625	
0.010000	25.219252	0.234375	
0.010000	25.374292	0.156250	
0.010000	25.228350	0.179688	
0.010000	25.213577	0.187500	
0.010000	25.167616	0.195312	
0.010000	25.256393	0.171875	
0.010000	25.274109	0.156250	
0.010000	25.099056	0.234375	
0.010000	25.188940	0.171875	
0.010000	25.291555	0.171875	
0.010000	25.242172	0.210938	
0.010000	25.212811	0.203125	
0.010000	25.156582	0.203125	
0.010000	25.200396	0.210938	
0.010000	25.252874	0.156250	
0.010000	25.210747	0.195312	
0.010000	25.222067	0.250000	
0.010000	25.175629	0.265625	
0.010000	25.279692	0.195312	
0.010000	25.185774	0.195312	
0.010000	25.200520	0.226562	
0.010000	25.151220	0.195312	
0.010000	25.165581	0.210938	
0.010000	25.327589	0.210938	
0.010000	25.126860	0.234375	
0.010000	25.153006	0.187500	
0.010000	25.292065	0.203125	
0.010000	25.120382	0.242188	
0.010000	25.182774	0.171875	
0.010000	25.189150	0.187500	
0.010000	25.134596	0.164062	
0.010000	25.047869	0.265625	
0.010000	25.280416	0.195312	
0.010000	25.245893	0.242188	
0.010000	25.112045	0.289062	
0.010000	25.086332	0.242188	
0.010000	25.211988	0.218750	
0.010000	25.085709	0.242188	
0.010000	25.129923	0.257812	
0.010000	25.137327	0.226562	
0.010000	25.044781	0.335938	
0.010000	25.045919	0.335938	
0.010000	24.947332	0.335938	
0.010000	25.129553	0.273438	
0.010000	25.134789	0.195312	
0.010000	25.011410	0.273438	
0.010000	25.033443	0.242188	
0.010000	25.025591	0.328125	
0.010000	25.100887	0.242188	
0.010000	25.069605	0.257812	
0.010000	24.977699	0.257812	
0.010000	25.037472	0.312500	
0.010000	25.086332	0.296875	
0.010000	25.080761	0.273438	
0.010000	24.979626	0.296875	
0.010000	25.094280	0.281250	
0.010000	25.059578	0.320312	
0.010000	24.985687	0.265625	
0.010000	25.156395	0.273438	
0.010000	24.906807	0.390625	
0.010000	25.160780	0.242188	
0.010000	25.090706	0.265625	
0.010000	24.994732	0.281250	
0.010000	24.987225	0.328125	
0.010000	24.897190	0.343750	
0.010000	24.979294	0.335938	
0.010000	25.045765	0.320312	
0.010000	25.021225	0.312500	
0.010000	25.045408	0.257812	
0.010000	24.989603	0.335938	
0.010000	24.864613	0.351562	
0.010000	24.896156	0.289062	
0.010000	25.003704	0.289062	
0.010000	24.866398	0.343750	
0.010000	24.970430	0.328125	
0.010000	24.875135	0.351562	
