Learning Rate	Test Loss	Test Acc.	
0.010000	23.562130	0.835938	
0.010000	23.507816	0.851562	
0.010000	23.676168	0.781250	
0.010000	23.614487	0.781250	
0.010000	23.641344	0.781250	
0.010000	23.641384	0.789062	
0.010000	23.590940	0.757812	
0.010000	23.546322	0.859375	
0.010000	23.762716	0.796875	
0.010000	23.751440	0.765625	
0.010000	23.811462	0.734375	
0.010000	23.746113	0.781250	
0.010000	23.595526	0.781250	
0.010000	24.011515	0.734375	
0.010000	23.815023	0.718750	
0.010000	23.743279	0.734375	
0.010000	23.718557	0.750000	
0.010000	23.789103	0.796875	
0.010000	23.743015	0.781250	
0.010000	23.657866	0.781250	
0.010000	23.780634	0.726562	
0.010000	23.624443	0.757812	
0.010000	23.595881	0.859375	
0.010000	23.499762	0.812500	
0.010000	23.859316	0.742188	
0.010000	23.497330	0.835938	
0.010000	23.723549	0.765625	
0.010000	23.763214	0.750000	
0.010000	23.468239	0.828125	
0.010000	23.882668	0.742188	
0.010000	23.812159	0.773438	
0.010000	23.537663	0.835938	
0.010000	23.798824	0.804688	
0.010000	23.738329	0.765625	
0.010000	23.560598	0.796875	
0.010000	23.824108	0.742188	
0.010000	23.573864	0.828125	
0.010000	23.750330	0.750000	
0.010000	23.608377	0.804688	
0.010000	23.412392	0.851562	
0.010000	23.564190	0.773438	
0.010000	23.325325	0.898438	
0.010000	23.235748	0.890625	
0.010000	23.476734	0.820312	
0.010000	23.402853	0.820312	
0.010000	23.485199	0.835938	
0.010000	23.581213	0.765625	
0.010000	23.579985	0.820312	
0.010000	23.339281	0.914062	
0.010000	23.240940	0.929688	
0.010000	23.431158	0.890625	
0.010000	23.640947	0.789062	
0.010000	23.644447	0.820312	
0.010000	23.572090	0.843750	
0.010000	23.299301	0.890625	
0.010000	23.354923	0.921875	
0.010000	23.685547	0.773438	
0.010000	23.263742	0.929688	
0.010000	23.813156	0.726562	
0.010000	23.358925	0.882812	
0.010000	23.406479	0.890625	
0.010000	23.812082	0.765625	
0.010000	23.292763	0.890625	
0.010000	23.418045	0.890625	
0.010000	23.571299	0.828125	
0.010000	23.426735	0.859375	
0.010000	23.505863	0.828125	
0.010000	23.285450	0.898438	
0.010000	23.181433	0.945312	
0.010000	23.202795	0.937500	
0.010000	23.566465	0.828125	
0.010000	23.375441	0.875000	
0.010000	23.383787	0.851562	
0.010000	23.280449	0.898438	
0.010000	23.450266	0.843750	
0.010000	23.795324	0.773438	
0.010000	23.935545	0.726562	
0.010000	23.899693	0.742188	
0.010000	23.592300	0.812500	
0.010000	23.300497	0.890625	
0.010000	23.309107	0.890625	
0.010000	23.393644	0.882812	
0.010000	23.468084	0.867188	
0.010000	23.521362	0.828125	
0.010000	23.512642	0.867188	
0.010000	23.335714	0.890625	
0.010000	23.445448	0.835938	
0.010000	23.398552	0.851562	
0.010000	23.632057	0.812500	
0.010000	23.514133	0.828125	
0.010000	23.544437	0.828125	
0.010000	23.411072	0.843750	
0.010000	23.539549	0.828125	
0.010000	23.447962	0.882812	
0.010000	23.435003	0.859375	
0.010000	23.519541	0.820312	
0.010000	23.717525	0.843750	
0.010000	23.354530	0.859375	
0.010000	23.422083	0.867188	
0.010000	23.433844	0.859375	
0.010000	23.359003	0.867188	
0.010000	23.265305	0.921875	
0.010000	23.374763	0.859375	
0.010000	23.401621	0.859375	
0.010000	23.347715	0.890625	
0.010000	23.277527	0.890625	
0.010000	23.450586	0.890625	
0.010000	23.389494	0.867188	
0.010000	23.561720	0.835938	
0.010000	23.466917	0.859375	
0.010000	23.482624	0.843750	
0.010000	23.398685	0.890625	
0.010000	23.556162	0.828125	
0.010000	23.377134	0.867188	
0.010000	23.541044	0.843750	
0.010000	23.324093	0.914062	
0.010000	23.419182	0.875000	
0.010000	23.451031	0.835938	
0.010000	23.245964	0.921875	
0.010000	23.261513	0.914062	
0.010000	23.145044	0.976562	
0.010000	23.104847	0.968750	
0.010000	23.355705	0.859375	
0.010000	23.249722	0.929688	
0.010000	23.301167	0.867188	
0.010000	23.431973	0.882812	
0.010000	23.370470	0.906250	
0.010000	23.344486	0.921875	
0.010000	23.115206	0.968750	
0.010000	23.269281	0.914062	
0.010000	23.464401	0.820312	
0.010000	23.382023	0.906250	
0.010000	23.256535	0.921875	
0.010000	23.142992	0.960938	
0.010000	23.206650	0.921875	
0.010000	23.315603	0.890625	
0.010000	23.174063	0.953125	
0.010000	23.390688	0.851562	
0.010000	23.233196	0.929688	
0.010000	23.173752	0.945312	
0.010000	23.389366	0.882812	
0.010000	23.106976	0.953125	
0.010000	23.376297	0.882812	
0.010000	23.410706	0.843750	
0.010000	23.283554	0.851562	
0.010000	23.174475	0.921875	
0.010000	23.112377	0.968750	
0.010000	23.072414	0.976562	
0.010000	23.088001	0.976562	
0.010000	23.255039	0.906250	
0.010000	23.199202	0.953125	
0.010000	23.191914	0.960938	
0.010000	23.118856	0.960938	
0.010000	23.261829	0.898438	
0.010000	23.439219	0.851562	
0.010000	23.771856	0.820312	
0.010000	23.524103	0.882812	
0.010000	23.169333	0.937500	
