Learning Rate	Momentum	Train Loss	Test Loss	Train Acc.	Test Acc.	IP Sum	IP Mean	IP Std	Grad Norm	
0.100000	0.900000	94.506179	6.973445	94.256667	97.910000	0.000000	0.174379	0.229508	1.592003	
0.100000	0.900000	31.710798	5.326502	97.975000	98.250000	0.000000	0.127490	0.203436	1.062703	
0.100000	0.900000	24.488727	4.740955	98.420000	98.440000	0.000000	0.104737	0.196040	0.960260	
0.100000	0.900000	20.293849	4.919467	98.673333	98.470000	0.000000	0.069250	0.187116	0.858652	
0.100000	0.900000	17.373001	5.185456	98.856667	98.330000	0.000000	0.085917	0.194301	0.815490	
0.100000	0.900000	15.813173	4.814526	98.953333	98.400000	0.000000	0.091034	0.192956	0.793078	
0.100000	0.900000	13.824140	5.045775	99.040000	98.490000	0.000000	0.085297	0.187359	0.739482	
0.100000	0.900000	12.178492	4.759814	99.180000	98.560000	0.000000	0.078815	0.187801	0.683036	
0.100000	0.900000	10.732014	4.211580	99.251667	98.650000	0.000000	0.078113	0.185151	0.628120	
0.100000	0.900000	9.952230	4.143874	99.350000	98.720000	0.000000	0.086932	0.184900	0.617777	
0.100000	0.900000	8.609540	4.572903	99.446667	98.680000	0.000000	0.060995	0.177112	0.557520	
0.100000	0.900000	7.435301	4.864654	99.510000	98.470000	36.125813	0.077027	0.168739	0.530431	
0.100000	0.900000	7.210781	5.082993	99.540000	98.530000	74.123013	0.081017	0.180685	0.528145	
0.100000	0.900000	5.754338	5.298077	99.630000	98.440000	101.070744	0.057458	0.177952	0.458163	
0.100000	0.900000	6.109709	4.897481	99.588333	98.610000	151.957561	0.108501	0.177457	0.499428	
