Learning Rate	Test Loss	Test Acc.	
0.010000	4.122401	0.117188	
0.010000	4.151036	0.093750	
0.010000	4.092139	0.078125	
0.010000	4.098773	0.054688	
0.010000	4.086596	0.078125	
0.010000	4.066020	0.132812	
0.010000	4.055700	0.109375	
0.010000	4.044169	0.093750	
0.010000	4.035661	0.132812	
0.010000	4.034896	0.085938	
0.010000	4.026492	0.109375	
0.010000	4.019110	0.062500	
0.010000	4.012243	0.070312	
0.010000	3.987766	0.148438	
0.010000	3.993991	0.132812	
0.010000	3.986312	0.125000	
0.010000	3.968536	0.078125	
0.010000	3.970440	0.117188	
0.010000	3.950419	0.132812	
0.010000	3.954605	0.085938	
0.010000	3.945624	0.054688	
0.010000	3.941704	0.132812	
0.010000	3.928736	0.093750	
0.010000	3.927618	0.117188	
0.010000	3.913773	0.101562	
0.010000	3.905422	0.140625	
0.010000	3.895387	0.117188	
0.010000	3.888732	0.062500	
0.010000	3.877877	0.148438	
0.010000	3.885047	0.109375	
0.010000	3.874202	0.101562	
0.010000	3.854192	0.156250	
0.010000	3.848226	0.164062	
0.010000	3.849622	0.101562	
0.010000	3.846906	0.039062	
0.010000	3.820616	0.140625	
0.010000	3.817762	0.125000	
0.010000	3.814227	0.078125	
0.010000	3.786465	0.140625	
0.010000	3.791285	0.117188	
0.010000	3.794353	0.093750	
0.010000	3.782016	0.117188	
0.010000	3.776145	0.101562	
0.010000	3.763125	0.140625	
0.010000	3.767594	0.109375	
0.010000	3.754334	0.109375	
0.010000	3.747642	0.132812	
0.010000	3.738292	0.117188	
0.010000	3.736143	0.093750	
0.010000	3.732070	0.085938	
0.010000	3.716053	0.109375	
0.010000	3.711807	0.101562	
0.010000	3.700498	0.156250	
0.010000	3.705595	0.093750	
0.010000	3.698447	0.101562	
0.010000	3.688569	0.078125	
0.010000	3.672744	0.117188	
0.010000	3.682111	0.109375	
0.010000	3.676303	0.054688	
0.010000	3.658563	0.101562	
0.010000	3.689769	0.117188	
0.010000	3.634512	0.140625	
0.010000	3.645908	0.101562	
0.010000	3.637579	0.117188	
0.010000	3.637466	0.132812	
0.010000	3.659207	0.101562	
0.010000	3.619439	0.117188	
0.010000	3.623895	0.101562	
0.010000	3.611936	0.093750	
0.010000	3.613025	0.078125	
0.010000	3.695463	0.140625	
0.010000	3.590396	0.093750	
0.010000	3.584675	0.117188	
0.010000	3.578838	0.125000	
0.010000	3.574099	0.109375	
0.010000	3.559325	0.140625	
0.010000	3.561937	0.125000	
0.010000	3.554487	0.109375	
0.010000	3.564481	0.125000	
0.010000	2.753509	0.148438	
0.010000	2.758054	0.093750	
0.010000	2.757663	0.078125	
0.010000	2.759538	0.070312	
0.010000	2.760309	0.085938	
0.010000	2.746733	0.125000	
0.010000	2.774249	0.093750	
0.010000	2.744371	0.101562	
0.010000	2.751443	0.117188	
0.010000	2.749890	0.101562	
0.010000	2.747355	0.125000	
0.010000	2.756474	0.070312	
0.010000	2.748987	0.078125	
0.010000	2.740566	0.132812	
0.010000	2.748602	0.132812	
0.010000	2.745196	0.125000	
0.010000	2.747527	0.070312	
0.010000	2.738627	0.117188	
0.010000	2.734829	0.140625	
0.010000	2.747290	0.078125	
0.010000	2.744900	0.070312	
0.010000	2.749686	0.132812	
0.010000	2.737392	0.101562	
0.010000	2.742048	0.117188	
0.010000	2.733813	0.093750	
0.010000	2.729593	0.140625	
0.010000	2.732993	0.125000	
0.010000	2.737730	0.062500	
0.010000	2.737381	0.148438	
0.010000	2.733005	0.101562	
0.010000	2.745565	0.101562	
0.010000	2.731171	0.156250	
0.010000	2.720201	0.164062	
0.010000	2.721634	0.109375	
0.010000	2.802949	0.039062	
0.010000	2.719365	0.132812	
0.010000	2.734942	0.125000	
0.010000	2.720868	0.085938	
0.010000	2.714103	0.148438	
0.010000	2.716497	0.117188	
0.010000	2.740101	0.093750	
0.010000	2.724278	0.101562	
0.010000	2.734972	0.109375	
0.010000	2.717107	0.132812	
0.010000	2.722573	0.109375	
0.010000	2.720088	0.109375	
0.010000	2.719757	0.132812	
0.010000	2.717739	0.109375	
0.010000	2.720019	0.093750	
0.010000	2.722127	0.085938	
0.010000	2.703006	0.117188	
0.010000	2.713277	0.109375	
0.010000	2.706991	0.156250	
0.010000	2.719026	0.093750	
0.010000	2.713434	0.101562	
0.010000	2.713337	0.085938	
0.010000	2.706630	0.125000	
0.010000	2.709960	0.117188	
0.010000	2.713149	0.078125	
0.010000	2.706392	0.125000	
0.010000	2.705601	0.101562	
0.010000	2.701151	0.140625	
0.010000	2.709401	0.101562	
0.010000	2.711026	0.117188	
0.010000	2.708752	0.109375	
0.010000	2.702294	0.117188	
0.010000	2.699637	0.132812	
0.010000	2.706577	0.093750	
0.010000	2.703453	0.101562	
0.010000	2.699972	0.085938	
0.010000	2.694087	0.148438	
0.010000	2.699276	0.101562	
0.010000	2.697318	0.117188	
0.010000	2.695307	0.125000	
0.010000	2.697722	0.109375	
0.010000	2.691687	0.132812	
0.010000	2.690378	0.125000	
0.010000	2.689857	0.109375	
0.010000	2.699095	0.125000	
0.010000	2.553252	0.148438	
0.010000	2.558652	0.093750	
0.010000	2.559566	0.078125	
0.010000	2.566330	0.070312	
0.010000	2.564209	0.085938	
0.010000	2.551999	0.125000	
0.010000	2.557226	0.093750	
0.010000	3.225626	0.101562	
0.010000	2.557581	0.117188	
0.010000	2.559454	0.101562	
0.010000	2.556553	0.125000	
0.010000	2.583824	0.070312	
0.010000	2.561916	0.078125	
0.010000	2.554999	0.132812	
0.010000	2.553924	0.140625	
0.010000	2.561229	0.125000	
0.010000	2.564451	0.070312	
0.010000	2.562172	0.109375	
0.010000	2.553890	0.140625	
0.010000	2.567325	0.078125	
0.010000	2.565916	0.070312	
0.010000	2.572756	0.132812	
0.010000	2.567148	0.101562	
0.010000	2.565671	0.117188	
0.010000	2.558072	0.093750	
0.010000	2.555077	0.140625	
0.010000	34.990017	0.125000	
0.010000	8.445515	0.046875	
0.010000	2.563328	0.148438	
0.010000	2.564650	0.101562	
