Learning Rate	Train Loss	Train Acc.	
0.010000	32.087872	0.085938	
0.010000	27.318888	0.070312	
0.010000	26.284122	0.117188	
0.010000	26.398758	0.117188	
0.010000	26.028481	0.140625	
0.010000	25.721861	0.179688	
0.010000	25.856468	0.109375	
0.010000	25.646013	0.164062	
0.010000	25.869213	0.117188	
0.010000	25.908464	0.132812	
0.010000	25.751339	0.109375	
0.010000	25.473471	0.187500	
0.010000	25.604027	0.140625	
0.010000	25.804581	0.125000	
0.010000	25.640636	0.101562	
0.010000	25.563883	0.125000	
0.010000	25.465961	0.125000	
0.010000	25.503273	0.140625	
0.010000	25.442844	0.140625	
0.010000	25.477041	0.156250	
0.010000	25.472391	0.125000	
0.010000	25.359169	0.156250	
0.010000	25.562191	0.148438	
0.010000	25.473516	0.148438	
0.010000	25.373268	0.164062	
0.010000	25.284012	0.179688	
0.010000	25.400509	0.148438	
0.010000	25.234953	0.210938	
0.010000	25.272665	0.218750	
0.010000	25.239895	0.226562	
0.010000	25.391712	0.171875	
0.010000	25.327747	0.171875	
0.010000	25.344587	0.187500	
0.010000	25.315094	0.125000	
0.010000	25.345078	0.242188	
0.010000	25.262714	0.226562	
0.010000	25.267046	0.171875	
0.010000	25.266539	0.179688	
0.010000	25.351551	0.179688	
0.010000	25.146183	0.234375	
0.010000	25.304337	0.179688	
0.010000	25.254154	0.218750	
0.010000	25.164335	0.226562	
0.010000	25.244606	0.171875	
0.010000	25.191170	0.179688	
0.010000	25.148588	0.242188	
0.010000	25.161545	0.257812	
0.010000	25.210096	0.234375	
0.010000	25.232651	0.195312	
0.010000	25.060753	0.242188	
0.010000	25.136356	0.250000	
0.010000	25.067713	0.250000	
0.010000	25.113859	0.273438	
0.010000	25.204500	0.210938	
0.010000	25.213263	0.210938	
0.010000	25.030718	0.250000	
0.010000	25.069086	0.328125	
0.010000	25.155050	0.242188	
0.010000	25.126432	0.226562	
0.010000	25.127920	0.203125	
0.010000	25.060480	0.250000	
0.010000	25.197781	0.273438	
0.010000	25.080177	0.226562	
0.010000	25.043051	0.320312	
0.010000	25.062391	0.273438	
0.010000	25.086662	0.312500	
0.010000	25.273329	0.250000	
0.010000	25.204344	0.210938	
0.010000	25.183636	0.234375	
0.010000	24.951452	0.289062	
0.010000	24.980600	0.273438	
0.010000	24.952005	0.296875	
0.010000	24.975016	0.320312	
0.010000	25.078613	0.265625	
0.010000	25.010477	0.281250	
0.010000	24.959705	0.304688	
0.010000	24.931215	0.320312	
0.010000	25.035036	0.304688	
0.010000	24.921221	0.335938	
0.010000	25.001488	0.234375	
0.010000	25.270796	0.289062	
0.010000	24.823618	0.375000	
0.010000	24.773365	0.421875	
0.010000	24.959644	0.273438	
0.010000	24.819952	0.328125	
