Learning Rate	Test Loss	Test Acc.	
0.010000	3.750364	0.953125	
0.010000	3.838194	0.953125	
0.010000	3.884336	0.906250	
0.010000	3.760401	0.953125	
0.010000	3.810672	0.937500	
0.010000	3.739911	0.929688	
0.010000	3.735051	0.953125	
0.010000	3.841665	0.906250	
0.010000	3.724612	0.953125	
0.010000	3.839331	0.929688	
0.010000	3.753351	0.937500	
0.010000	3.696334	0.937500	
0.010000	3.606435	0.968750	
0.010000	3.726791	0.921875	
0.010000	3.764811	0.914062	
0.010000	3.624856	0.945312	
0.010000	3.579855	0.953125	
0.010000	3.654766	0.914062	
0.010000	3.712722	0.921875	
0.010000	3.511909	0.960938	
0.010000	3.595192	0.945312	
0.010000	3.501840	0.960938	
0.010000	3.530313	0.953125	
0.010000	3.548410	0.945312	
0.010000	3.473542	0.968750	
0.010000	3.456867	0.960938	
0.010000	3.451811	0.968750	
0.010000	3.514161	0.945312	
0.010000	3.392417	0.984375	
0.010000	3.634650	0.906250	
0.010000	3.604713	0.914062	
0.010000	3.377338	0.953125	
0.010000	3.416730	0.953125	
0.010000	3.440424	0.945312	
0.010000	3.421316	0.937500	
0.010000	3.522390	0.921875	
0.010000	3.333446	0.968750	
0.010000	3.474224	0.921875	
0.010000	3.284857	0.984375	
0.010000	3.322200	0.968750	
0.010000	3.312719	0.960938	
0.010000	3.215561	0.976562	
0.010000	3.176507	1.000000	
0.010000	3.330328	0.960938	
0.010000	3.182219	0.992188	
0.010000	3.204861	0.976562	
0.010000	3.469846	0.921875	
0.010000	3.375050	0.921875	
0.010000	3.229891	0.968750	
0.010000	3.130587	0.992188	
0.010000	3.165880	0.984375	
0.010000	3.559911	0.898438	
0.010000	3.225980	0.953125	
0.010000	3.105551	0.976562	
0.010000	3.088604	0.984375	
0.010000	3.103885	0.984375	
0.010000	3.128711	0.976562	
0.010000	3.136364	0.945312	
0.010000	3.124313	0.968750	
0.010000	3.049229	0.984375	
0.010000	3.125734	0.976562	
0.010000	3.592653	0.843750	
0.010000	3.097433	0.968750	
0.010000	3.066770	0.953125	
0.010000	3.117147	0.945312	
0.010000	3.161935	0.945312	
0.010000	3.078762	0.953125	
0.010000	2.950401	0.984375	
0.010000	3.031555	0.984375	
0.010000	3.036582	0.968750	
0.010000	3.035694	0.953125	
0.010000	2.927418	0.992188	
0.010000	2.933418	0.984375	
0.010000	3.011310	0.945312	
0.010000	3.000757	0.976562	
0.010000	3.105638	0.929688	
0.010000	3.041909	0.953125	
0.010000	3.190881	0.898438	
0.010000	2.895011	0.937500	
0.010000	1.187727	0.968750	
0.010000	1.195346	0.945312	
0.010000	1.238316	0.953125	
