Learning Rate	Test Loss	Test Acc.	
0.010000	23.708101	0.781250	
0.010000	23.559761	0.835938	
0.010000	23.597456	0.773438	
0.010000	23.800819	0.773438	
0.010000	23.602610	0.750000	
0.010000	23.536520	0.820312	
0.010000	23.449574	0.820312	
0.010000	23.727201	0.765625	
0.010000	23.651859	0.757812	
0.010000	23.974560	0.664062	
0.010000	23.770477	0.765625	
0.010000	23.575487	0.820312	
0.010000	23.670185	0.789062	
0.010000	23.799599	0.750000	
0.010000	23.500881	0.804688	
0.010000	23.796764	0.765625	
0.010000	23.647884	0.734375	
0.010000	23.669382	0.804688	
0.010000	23.637850	0.781250	
0.010000	23.576790	0.812500	
0.010000	23.583035	0.773438	
0.010000	23.685179	0.765625	
0.010000	23.635284	0.828125	
0.010000	23.420031	0.859375	
0.010000	23.472755	0.828125	
0.010000	23.460173	0.867188	
0.010000	23.558842	0.812500	
0.010000	23.580143	0.781250	
0.010000	23.666912	0.796875	
0.010000	23.977802	0.679688	
0.010000	23.585854	0.820312	
0.010000	23.669922	0.812500	
0.010000	23.580620	0.820312	
0.010000	23.804728	0.765625	
0.010000	23.781666	0.734375	
0.010000	23.647688	0.765625	
0.010000	23.617315	0.765625	
0.010000	23.576748	0.804688	
0.010000	23.748959	0.742188	
0.010000	23.463512	0.882812	
0.010000	23.554066	0.812500	
0.010000	23.314766	0.875000	
0.010000	23.297113	0.898438	
0.010000	23.439308	0.859375	
0.010000	23.423237	0.851562	
0.010000	23.286552	0.882812	
0.010000	23.644535	0.796875	
0.010000	23.433424	0.851562	
0.010000	23.347498	0.898438	
0.010000	23.255039	0.906250	
0.010000	23.398937	0.875000	
0.010000	23.643513	0.796875	
0.010000	23.512989	0.835938	
0.010000	23.435534	0.867188	
0.010000	23.338673	0.875000	
0.010000	23.372953	0.859375	
0.010000	23.484039	0.820312	
0.010000	23.252237	0.906250	
0.010000	23.502399	0.812500	
0.010000	23.294968	0.882812	
0.010000	23.316338	0.875000	
0.010000	23.709618	0.757812	
0.010000	23.234606	0.945312	
0.010000	23.381111	0.851562	
0.010000	23.555649	0.859375	
0.010000	23.287334	0.906250	
0.010000	23.309958	0.890625	
0.010000	23.152250	0.953125	
0.010000	23.196592	0.937500	
0.010000	23.188322	0.929688	
0.010000	23.562346	0.859375	
0.010000	23.338270	0.890625	
0.010000	23.296450	0.898438	
0.010000	23.202408	0.921875	
0.010000	23.371965	0.851562	
0.010000	23.664705	0.757812	
0.010000	23.786551	0.773438	
0.010000	23.775301	0.726562	
0.010000	23.332598	0.937500	
0.010000	23.269024	0.890625	
0.010000	23.249313	0.921875	
0.010000	23.286564	0.898438	
0.010000	23.537992	0.828125	
0.010000	23.407913	0.843750	
0.010000	23.227264	0.937500	
0.010000	23.324606	0.882812	
0.010000	23.641600	0.804688	
0.010000	23.506365	0.859375	
0.010000	23.659971	0.781250	
0.010000	23.422522	0.890625	
0.010000	23.439463	0.812500	
0.010000	23.368483	0.875000	
0.010000	23.439867	0.882812	
0.010000	23.439180	0.875000	
0.010000	23.529718	0.820312	
0.010000	23.453783	0.843750	
0.010000	23.565977	0.867188	
0.010000	23.514809	0.851562	
0.010000	23.246973	0.906250	
0.010000	23.237762	0.914062	
0.010000	23.403362	0.859375	
0.010000	23.294395	0.882812	
0.010000	23.325571	0.882812	
0.010000	23.319323	0.890625	
0.010000	23.336790	0.890625	
0.010000	23.381580	0.867188	
0.010000	23.412399	0.867188	
0.010000	23.341417	0.906250	
0.010000	23.562099	0.804688	
0.010000	23.499796	0.875000	
0.010000	23.407688	0.906250	
0.010000	23.384287	0.859375	
0.010000	23.458647	0.867188	
0.010000	23.554874	0.851562	
0.010000	23.396957	0.882812	
0.010000	23.339165	0.921875	
0.010000	23.492697	0.867188	
0.010000	23.479097	0.859375	
0.010000	23.205572	0.921875	
0.010000	23.263033	0.929688	
0.010000	23.112049	0.960938	
0.010000	23.093775	0.976562	
0.010000	23.198755	0.914062	
0.010000	23.276627	0.914062	
0.010000	23.261200	0.921875	
0.010000	23.338959	0.906250	
0.010000	23.320654	0.906250	
