Learning Rate	Test Loss	Test Acc.	
0.010000	23.591038	0.773438	
0.010000	23.688070	0.812500	
0.010000	23.737106	0.796875	
0.010000	23.936146	0.710938	
0.010000	23.956362	0.664062	
0.010000	23.796076	0.789062	
0.010000	23.651186	0.789062	
0.010000	23.797134	0.726562	
0.010000	23.747623	0.781250	
0.010000	24.046963	0.726562	
0.010000	23.838734	0.781250	
0.010000	23.731163	0.734375	
0.010000	23.753359	0.765625	
0.010000	23.849308	0.710938	
0.010000	23.643917	0.804688	
0.010000	23.705698	0.773438	
0.010000	23.662685	0.765625	
0.010000	23.930761	0.804688	
0.010000	23.831102	0.742188	
0.010000	23.612804	0.828125	
0.010000	23.575644	0.773438	
0.010000	23.617817	0.781250	
0.010000	23.597181	0.804688	
0.010000	23.670353	0.796875	
0.010000	23.728781	0.757812	
0.010000	23.731352	0.796875	
0.010000	23.570711	0.843750	
0.010000	23.650087	0.820312	
0.010000	23.690649	0.820312	
0.010000	23.947235	0.695312	
0.010000	23.771372	0.796875	
0.010000	23.718555	0.765625	
0.010000	23.615620	0.804688	
0.010000	23.878845	0.726562	
0.010000	23.942085	0.695312	
0.010000	23.679699	0.796875	
0.010000	23.659706	0.804688	
0.010000	23.683172	0.742188	
0.010000	23.747128	0.757812	
0.010000	23.509129	0.851562	
0.010000	23.540094	0.789062	
0.010000	23.217543	0.937500	
0.010000	23.326296	0.898438	
0.010000	23.507467	0.804688	
0.010000	23.440928	0.921875	
0.010000	23.594744	0.828125	
0.010000	23.490797	0.867188	
0.010000	23.670864	0.789062	
0.010000	23.426558	0.882812	
0.010000	23.233877	0.937500	
0.010000	23.481354	0.859375	
0.010000	23.876308	0.734375	
0.010000	23.754019	0.781250	
0.010000	23.520351	0.828125	
0.010000	23.402643	0.898438	
0.010000	23.401791	0.851562	
0.010000	23.581657	0.804688	
0.010000	23.478874	0.796875	
0.010000	23.752514	0.757812	
0.010000	23.424316	0.820312	
0.010000	23.347305	0.906250	
0.010000	23.954645	0.757812	
0.010000	23.399715	0.898438	
0.010000	23.525221	0.851562	
0.010000	23.667465	0.781250	
0.010000	23.440990	0.843750	
0.010000	23.417542	0.906250	
0.010000	23.354136	0.890625	
0.010000	23.172625	0.984375	
0.010000	23.180086	0.937500	
0.010000	23.679110	0.804688	
0.010000	23.386822	0.835938	
0.010000	23.317574	0.875000	
0.010000	23.358208	0.906250	
0.010000	23.385670	0.843750	
0.010000	23.737806	0.773438	
0.010000	23.681917	0.773438	
0.010000	23.948614	0.734375	
0.010000	23.224720	0.937500	
0.010000	23.401627	0.875000	
0.010000	23.346088	0.875000	
0.010000	23.493689	0.867188	
0.010000	23.563576	0.859375	
0.010000	23.584005	0.820312	
0.010000	23.465992	0.843750	
0.010000	23.364866	0.867188	
0.010000	23.547449	0.820312	
0.010000	23.468164	0.835938	
0.010000	23.698906	0.812500	
0.010000	23.530003	0.843750	
0.010000	23.461641	0.859375	
0.010000	23.539103	0.796875	
0.010000	23.538496	0.843750	
0.010000	23.471813	0.851562	
0.010000	23.572962	0.828125	
0.010000	23.537258	0.828125	
0.010000	23.631783	0.851562	
0.010000	23.523052	0.804688	
0.010000	23.347055	0.867188	
0.010000	23.404564	0.843750	
0.010000	23.530724	0.796875	
0.010000	23.413094	0.835938	
0.010000	23.352337	0.859375	
0.010000	23.429045	0.875000	
0.010000	23.320295	0.914062	
0.010000	23.287270	0.898438	
0.010000	23.429153	0.898438	
0.010000	23.375715	0.929688	
0.010000	23.649229	0.765625	
0.010000	23.482821	0.867188	
0.010000	23.441538	0.859375	
0.010000	23.359243	0.890625	
0.010000	23.570154	0.835938	
0.010000	23.406549	0.867188	
0.010000	23.478649	0.859375	
0.010000	23.319969	0.882812	
0.010000	23.415712	0.867188	
0.010000	23.421457	0.890625	
0.010000	23.223137	0.937500	
0.010000	23.277678	0.906250	
0.010000	23.146431	0.937500	
0.010000	23.175821	0.937500	
0.010000	23.256342	0.898438	
0.010000	23.251125	0.914062	
0.010000	23.217937	0.921875	
0.010000	23.497660	0.851562	
0.010000	23.515364	0.859375	
0.010000	23.195686	0.929688	
0.010000	23.139486	0.960938	
0.010000	23.286856	0.937500	
0.010000	23.588421	0.820312	
0.010000	23.277376	0.906250	
0.010000	23.214008	0.945312	
0.010000	23.147104	0.937500	
0.010000	23.250809	0.945312	
0.010000	23.307812	0.882812	
0.010000	23.133768	0.960938	
0.010000	23.396214	0.859375	
0.010000	23.181086	0.945312	
0.010000	23.228081	0.945312	
0.010000	23.474913	0.835938	
0.010000	23.263483	0.937500	
0.010000	23.254896	0.937500	
0.010000	23.415174	0.859375	
0.010000	23.284473	0.898438	
0.010000	23.215178	0.914062	
0.010000	23.182489	0.960938	
0.010000	23.061001	0.992188	
0.010000	23.061834	0.976562	
0.010000	23.439878	0.859375	
0.010000	23.118767	0.960938	
0.010000	23.174013	0.945312	
0.010000	23.290533	0.945312	
0.010000	23.173573	0.945312	
0.010000	23.395578	0.867188	
0.010000	23.480946	0.835938	
0.010000	23.672228	0.812500	
0.010000	23.084629	1.000000	
0.010000	23.198793	0.921875	
0.010000	23.331335	0.914062	
0.010000	23.332142	0.898438	
0.010000	23.397900	0.890625	
0.010000	23.419167	0.859375	
0.010000	23.395193	0.882812	
0.010000	23.266903	0.906250	
0.010000	23.462496	0.851562	
0.010000	23.336706	0.890625	
0.010000	23.489971	0.867188	
0.010000	23.312599	0.906250	
0.010000	23.335472	0.906250	
0.010000	23.252060	0.921875	
0.010000	23.431656	0.867188	
0.010000	23.280220	0.906250	
0.010000	23.387472	0.859375	
0.010000	23.493860	0.828125	
0.010000	23.459244	0.875000	
0.010000	23.289579	0.914062	
0.010000	23.255289	0.890625	
0.010000	23.385937	0.906250	
0.010000	23.356373	0.882812	
0.010000	23.250565	0.921875	
0.010000	23.328384	0.890625	
0.010000	23.255184	0.921875	
0.010000	23.315517	0.921875	
0.010000	23.306887	0.898438	
0.010000	23.372305	0.921875	
0.010000	23.268429	0.914062	
0.010000	23.426277	0.875000	
0.010000	23.445015	0.867188	
0.010000	23.346796	0.898438	
0.010000	23.376633	0.875000	
0.010000	23.318302	0.843750	
0.010000	23.348881	0.843750	
0.010000	23.358206	0.906250	
0.010000	23.300005	0.921875	
0.010000	23.359573	0.867188	
0.010000	23.358173	0.875000	
0.010000	23.182106	0.968750	
0.010000	23.174025	0.945312	
0.010000	23.145119	0.953125	
0.010000	23.101776	0.960938	
0.010000	23.219757	0.929688	
0.010000	23.188498	0.937500	
0.010000	23.196962	0.929688	
0.010000	23.382280	0.882812	
0.010000	23.452490	0.828125	
0.010000	23.118694	0.960938	
0.010000	23.031219	0.992188	
0.010000	23.143253	0.968750	
0.010000	23.426565	0.843750	
0.010000	23.301958	0.914062	
0.010000	23.179316	0.960938	
0.010000	23.129557	0.968750	
0.010000	23.156160	0.945312	
0.010000	23.279690	0.914062	
0.010000	23.065262	0.976562	
0.010000	23.240450	0.914062	
0.010000	23.129448	0.945312	
0.010000	23.239088	0.960938	
0.010000	23.384901	0.851562	
0.010000	23.190908	0.929688	
0.010000	23.160448	0.929688	
0.010000	23.363449	0.890625	
0.010000	23.267847	0.906250	
0.010000	23.178095	0.937500	
0.010000	23.108183	0.953125	
0.010000	23.034977	0.992188	
0.010000	23.029999	1.000000	
0.010000	23.185606	0.945312	
0.010000	23.163614	0.929688	
0.010000	23.085224	0.968750	
0.010000	23.143366	0.937500	
0.010000	23.166285	0.960938	
0.010000	23.273325	0.882812	
0.010000	23.483341	0.812500	
0.010000	23.455404	0.882812	
0.010000	23.154850	0.937500	
0.010000	23.179497	0.937500	
0.010000	23.165218	0.945312	
0.010000	23.245754	0.914062	
0.010000	23.345676	0.898438	
0.010000	23.323357	0.890625	
0.010000	23.279518	0.914062	
0.010000	23.228497	0.945312	
0.010000	23.448009	0.882812	
0.010000	23.307604	0.890625	
0.010000	23.518900	0.820312	
0.010000	23.241930	0.929688	
0.010000	23.311171	0.906250	
0.010000	23.165977	0.937500	
0.010000	23.377096	0.882812	
0.010000	23.289368	0.921875	
0.010000	23.388376	0.867188	
0.010000	23.389040	0.875000	
0.010000	23.457678	0.890625	
0.010000	23.384403	0.843750	
0.010000	23.142677	0.953125	
0.010000	23.217838	0.929688	
0.010000	23.287960	0.875000	
0.010000	23.222361	0.929688	
0.010000	23.173172	0.945312	
0.010000	23.338461	0.882812	
0.010000	23.232628	0.953125	
0.010000	23.315222	0.914062	
0.010000	23.367706	0.859375	
0.010000	23.234724	0.914062	
0.010000	23.483805	0.859375	
0.010000	23.467958	0.851562	
0.010000	23.205067	0.929688	
0.010000	23.281965	0.914062	
0.010000	23.367725	0.867188	
0.010000	23.264290	0.914062	
0.010000	23.203209	0.914062	
0.010000	23.216593	0.937500	
0.010000	23.281797	0.921875	
0.010000	23.423872	0.898438	
0.010000	23.080519	0.976562	
0.010000	23.136698	0.945312	
0.010000	23.077675	0.960938	
0.010000	23.099430	0.945312	
0.010000	23.108032	0.960938	
0.010000	23.190454	0.953125	
0.010000	23.216482	0.945312	
0.010000	23.276758	0.914062	
0.010000	23.333904	0.914062	
0.010000	23.147232	0.960938	
0.010000	23.058506	0.984375	
0.010000	23.140175	0.960938	
0.010000	23.496510	0.843750	
0.010000	23.138348	0.953125	
0.010000	23.190704	0.960938	
0.010000	23.062614	0.976562	
0.010000	23.122238	0.953125	
0.010000	23.158768	0.945312	
0.010000	23.065672	0.984375	
0.010000	23.247971	0.914062	
0.010000	23.089832	0.968750	
0.010000	23.148470	0.968750	
0.010000	23.332048	0.875000	
0.010000	23.173367	0.937500	
0.010000	23.203188	0.960938	
0.010000	23.207836	0.914062	
0.010000	23.131994	0.968750	
0.010000	23.061760	0.976562	
0.010000	23.013405	1.000000	
0.010000	23.014557	1.000000	
0.010000	23.022270	1.000000	
0.010000	23.239767	0.953125	
0.010000	23.087774	0.976562	
0.010000	23.035000	0.992188	
0.010000	23.080551	0.960938	
0.010000	23.096657	0.960938	
0.010000	23.365452	0.882812	
0.010000	23.319391	0.921875	
0.010000	23.350489	0.898438	
0.010000	23.000647	1.000000	
0.010000	23.116108	0.960938	
0.010000	23.107216	0.968750	
0.010000	23.257036	0.914062	
0.010000	23.265490	0.921875	
0.010000	23.246784	0.937500	
0.010000	23.224247	0.945312	
0.010000	23.182476	0.929688	
0.010000	23.222319	0.921875	
0.010000	23.240276	0.921875	
0.010000	23.366215	0.875000	
0.010000	23.178621	0.914062	
0.010000	23.241339	0.929688	
0.010000	23.175817	0.929688	
0.010000	23.343647	0.906250	
0.010000	23.236477	0.921875	
0.010000	23.377659	0.882812	
0.010000	23.290136	0.898438	
0.010000	23.376535	0.906250	
0.010000	23.229439	0.921875	
0.010000	23.138168	0.968750	
0.010000	23.276146	0.914062	
0.010000	23.326252	0.867188	
0.010000	23.225327	0.929688	
0.010000	23.140644	0.945312	
0.010000	23.263353	0.921875	
0.010000	23.201395	0.929688	
0.010000	23.274826	0.921875	
0.010000	23.276876	0.929688	
0.010000	23.227797	0.921875	
0.010000	23.237091	0.914062	
0.010000	23.378019	0.921875	
0.010000	23.314152	0.937500	
