Learning Rate	Test Loss	Test Acc.	
0.010000	23.539333	0.828125	
0.010000	23.470667	0.835938	
0.010000	23.742916	0.757812	
0.010000	23.696064	0.765625	
0.010000	23.794647	0.710938	
0.010000	23.535229	0.804688	
0.010000	23.504272	0.828125	
0.010000	23.846449	0.757812	
0.010000	23.657589	0.781250	
0.010000	23.839121	0.718750	
0.010000	23.768097	0.742188	
0.010000	23.740467	0.796875	
0.010000	23.693624	0.765625	
0.010000	23.844580	0.710938	
0.010000	23.690014	0.742188	
0.010000	23.672070	0.804688	
0.010000	23.785877	0.734375	
0.010000	23.850975	0.765625	
0.010000	23.697117	0.765625	
0.010000	23.597481	0.789062	
0.010000	23.616316	0.796875	
0.010000	23.648741	0.781250	
0.010000	23.647448	0.812500	
0.010000	23.599821	0.773438	
0.010000	23.639097	0.765625	
0.010000	23.480164	0.859375	
0.010000	23.671816	0.796875	
0.010000	23.710363	0.789062	
0.010000	23.507008	0.875000	
0.010000	23.944628	0.742188	
0.010000	23.787886	0.718750	
0.010000	23.568110	0.781250	
0.010000	23.644377	0.765625	
0.010000	23.721348	0.757812	
0.010000	23.619986	0.812500	
0.010000	23.649389	0.796875	
0.010000	23.629864	0.789062	
0.010000	23.859617	0.703125	
0.010000	23.625288	0.828125	
0.010000	23.487007	0.804688	
0.010000	23.438156	0.835938	
0.010000	23.346325	0.867188	
0.010000	23.194548	0.929688	
0.010000	23.489765	0.835938	
0.010000	23.430241	0.835938	
0.010000	23.499605	0.867188	
0.010000	23.611769	0.750000	
0.010000	23.530340	0.859375	
0.010000	23.289614	0.906250	
0.010000	23.313086	0.906250	
0.010000	23.386044	0.882812	
0.010000	23.641647	0.804688	
0.010000	23.677622	0.781250	
0.010000	23.509066	0.843750	
0.010000	23.390068	0.859375	
0.010000	23.348999	0.875000	
0.010000	23.495102	0.812500	
0.010000	23.362309	0.890625	
0.010000	23.544867	0.789062	
0.010000	23.399881	0.898438	
0.010000	23.338570	0.875000	
0.010000	23.829075	0.734375	
0.010000	23.318672	0.914062	
0.010000	23.533476	0.820312	
0.010000	23.507935	0.835938	
0.010000	23.337643	0.914062	
0.010000	23.556704	0.804688	
0.010000	23.233921	0.929688	
0.010000	23.197622	0.914062	
0.010000	23.156019	0.953125	
0.010000	23.611263	0.843750	
0.010000	23.486010	0.835938	
0.010000	23.410284	0.859375	
0.010000	23.310732	0.875000	
0.010000	23.531328	0.812500	
0.010000	23.729538	0.742188	
0.010000	23.801722	0.750000	
0.010000	23.632956	0.859375	
0.010000	23.404924	0.875000	
0.010000	23.329502	0.875000	
0.010000	23.290613	0.945312	
0.010000	23.480589	0.859375	
0.010000	23.398869	0.867188	
0.010000	23.361853	0.851562	
0.010000	23.424997	0.875000	
0.010000	23.272802	0.890625	
0.010000	23.433666	0.867188	
0.010000	23.559374	0.859375	
0.010000	23.565018	0.804688	
0.010000	23.533880	0.867188	
