Learning Rate	Test Loss	Test Acc.	
0.001000	20.896305	0.976562	
0.001000	20.993999	0.945312	
0.001000	21.039234	0.921875	
0.001000	21.009661	0.937500	
0.001000	20.990280	0.929688	
0.001000	21.052345	0.906250	
0.001000	20.933443	0.953125	
0.001000	21.103558	0.929688	
0.001000	21.107891	0.921875	
0.001000	21.060772	0.929688	
0.001000	20.996820	0.937500	
0.001000	21.031637	0.937500	
0.001000	21.124836	0.914062	
0.001000	21.122236	0.914062	
0.001000	20.980131	0.921875	
0.001000	20.894669	0.953125	
0.001000	21.038057	0.914062	
0.001000	20.916132	0.929688	
0.001000	20.939430	0.937500	
0.001000	20.887785	0.953125	
0.001000	20.938267	0.953125	
0.001000	20.902191	0.945312	
0.001000	20.879906	0.937500	
0.001000	20.968863	0.898438	
0.001000	20.948097	0.914062	
0.001000	20.781212	0.984375	
0.001000	20.853830	0.953125	
0.001000	20.974144	0.929688	
0.001000	20.852844	0.953125	
0.001000	20.976400	0.929688	
0.001000	20.982380	0.914062	
0.001000	20.841002	0.953125	
0.001000	20.796629	0.960938	
0.001000	20.923595	0.906250	
0.001000	20.900568	0.921875	
0.001000	20.816093	0.945312	
0.001000	20.799465	0.960938	
0.001000	20.857538	0.929688	
0.001000	20.794298	0.945312	
0.001000	20.707884	0.984375	
0.001000	20.741901	0.953125	
0.001000	20.672417	0.984375	
0.001000	20.643976	0.992188	
0.001000	20.695541	0.945312	
0.001000	20.791939	0.953125	
0.001000	20.712307	0.960938	
0.001000	20.867798	0.945312	
0.001000	20.764263	0.953125	
0.001000	20.678793	0.976562	
0.001000	20.607567	0.992188	
0.001000	20.682753	0.984375	
0.001000	20.895794	0.906250	
0.001000	20.656998	0.984375	
0.001000	20.724480	0.960938	
0.001000	20.578440	1.000000	
0.001000	20.602982	0.976562	
0.001000	20.611851	0.976562	
0.001000	20.559977	1.000000	
0.001000	20.617754	0.976562	
0.001000	20.564991	0.992188	
0.001000	20.603216	0.984375	
0.001000	20.664877	0.953125	
0.001000	20.568689	0.992188	
0.001000	20.615093	0.984375	
0.001000	20.581423	0.976562	
0.001000	20.632639	0.968750	
0.001000	20.566029	0.968750	
0.001000	20.502518	1.000000	
0.001000	20.493111	1.000000	
0.001000	20.491346	1.000000	
0.001000	20.652140	0.953125	
0.001000	20.514269	0.984375	
0.001000	20.530777	0.984375	
0.001000	20.480320	0.992188	
0.001000	20.527287	0.984375	
0.001000	20.841013	0.882812	
0.001000	20.696369	0.937500	
0.001000	20.794781	0.875000	
0.001000	20.444828	1.000000	
0.001000	18.079763	0.984375	
0.001000	18.082735	0.984375	
0.001000	18.122519	0.968750	
0.001000	18.065449	0.992188	
0.001000	18.129669	0.937500	
0.001000	18.144398	0.960938	
0.001000	18.152203	0.945312	
0.001000	18.182796	0.953125	
0.001000	18.079573	0.976562	
0.001000	18.364452	0.914062	
0.001000	18.173710	0.953125	
0.001000	18.173351	0.937500	
0.001000	18.122355	0.968750	
0.001000	18.185669	0.945312	
0.001000	18.053764	0.968750	
0.001000	18.064390	0.968750	
0.001000	18.182024	0.929688	
0.001000	18.032276	0.984375	
0.001000	18.034338	0.976562	
0.001000	18.074007	0.953125	
0.001000	18.155682	0.953125	
0.001000	18.079563	0.921875	
0.001000	17.999363	0.968750	
0.001000	18.080837	0.945312	
0.001000	17.973572	0.984375	
0.001000	17.985270	0.968750	
0.001000	18.017252	0.976562	
0.001000	18.067621	0.960938	
0.001000	17.998175	0.960938	
0.001000	18.084295	0.937500	
0.001000	17.987671	0.968750	
0.001000	17.985899	0.968750	
0.001000	17.988932	0.968750	
0.001000	18.087170	0.945312	
0.001000	17.975143	0.960938	
0.001000	17.937336	0.968750	
0.001000	18.006147	0.960938	
0.001000	18.024006	0.937500	
0.001000	17.939896	0.968750	
0.001000	17.886059	0.976562	
0.001000	17.868284	0.992188	
0.001000	17.873209	0.992188	
0.001000	17.832619	1.000000	
0.001000	17.859480	0.984375	
0.001000	17.907988	0.976562	
0.001000	17.866823	0.992188	
0.001000	17.961838	0.960938	
0.001000	17.846149	0.992188	
0.001000	17.838251	0.976562	
0.001000	17.795872	1.000000	
0.001000	17.815968	0.984375	
0.001000	18.020481	0.929688	
0.001000	17.799789	1.000000	
0.001000	17.799662	1.000000	
0.001000	17.777348	1.000000	
0.001000	17.774487	1.000000	
0.001000	17.784792	1.000000	
0.001000	17.770205	0.992188	
0.001000	17.790668	0.984375	
0.001000	17.761694	0.992188	
0.001000	17.757902	0.992188	
0.001000	17.880402	0.953125	
0.001000	17.744785	0.992188	
0.001000	17.796564	0.968750	
0.001000	17.758923	0.984375	
0.001000	17.768215	0.976562	
0.001000	17.737286	0.984375	
0.001000	17.713457	0.992188	
0.001000	17.695614	1.000000	
0.001000	17.692888	1.000000	
0.001000	17.789040	0.976562	
0.001000	17.693487	0.992188	
0.001000	17.692259	0.992188	
0.001000	17.676081	1.000000	
0.001000	17.682566	0.992188	
0.001000	17.852234	0.945312	
0.001000	17.940802	0.937500	
0.001000	17.806719	0.953125	
0.001000	17.645180	1.000000	
0.001000	15.305911	0.992188	
0.001000	15.321886	0.976562	
0.001000	15.332411	0.976562	
0.001000	15.362847	0.976562	
0.001000	15.354850	0.976562	
0.001000	15.321598	0.984375	
0.001000	15.339234	0.968750	
0.001000	15.381786	0.960938	
0.001000	15.344393	0.960938	
0.001000	15.361525	0.960938	
0.001000	15.343020	0.953125	
0.001000	15.350189	0.960938	
0.001000	15.302695	0.968750	
0.001000	15.310822	0.968750	
0.001000	15.283290	0.984375	
0.001000	15.301191	0.968750	
0.001000	15.439882	0.945312	
0.001000	15.276405	0.976562	
0.001000	15.322587	0.960938	
0.001000	15.286768	0.984375	
0.001000	15.315479	0.968750	
0.001000	15.267860	0.968750	
0.001000	15.212649	1.000000	
0.001000	15.287824	0.953125	
0.001000	15.192155	1.000000	
0.001000	15.190040	0.992188	
0.001000	15.276433	0.953125	
0.001000	15.266791	0.960938	
0.001000	15.185119	0.984375	
0.001000	15.314780	0.953125	
0.001000	15.192062	0.984375	
0.001000	15.196539	0.976562	
0.001000	15.184442	0.976562	
0.001000	15.209289	0.968750	
0.001000	15.219166	0.984375	
0.001000	15.213151	0.960938	
0.001000	15.187914	0.976562	
0.001000	15.206196	0.960938	
0.001000	15.264032	0.953125	
0.001000	15.132437	0.984375	
0.001000	15.112337	0.992188	
0.001000	15.105524	0.992188	
0.001000	15.083616	1.000000	
0.001000	15.148255	0.984375	
0.001000	15.135789	0.968750	
0.001000	15.102482	0.984375	
0.001000	15.228804	0.953125	
0.001000	15.186108	0.960938	
0.001000	15.075499	0.992188	
0.001000	15.056473	1.000000	
0.001000	15.055651	0.992188	
0.001000	15.208915	0.937500	
0.001000	15.097389	0.984375	
0.001000	15.071747	0.984375	
0.001000	15.034023	1.000000	
0.001000	15.045966	0.992188	
0.001000	15.024468	1.000000	
0.001000	15.012608	1.000000	
0.001000	15.051779	0.992188	
0.001000	15.003354	1.000000	
0.001000	14.997437	1.000000	
0.001000	15.165896	0.953125	
0.001000	14.988293	1.000000	
0.001000	15.036944	0.984375	
0.001000	14.990826	0.992188	
0.001000	15.042748	0.992188	
0.001000	14.991640	0.992188	
0.001000	14.961752	1.000000	
0.001000	14.956254	1.000000	
0.001000	14.953139	1.000000	
0.001000	14.997322	0.992188	
0.001000	14.944185	1.000000	
0.001000	14.945535	1.000000	
0.001000	14.963065	0.984375	
0.001000	14.977689	0.992188	
0.001000	15.158940	0.937500	
0.001000	15.062601	0.953125	
0.001000	14.993119	0.976562	
0.001000	14.907294	1.000000	
0.001000	12.757729	0.992188	
0.001000	12.780656	0.984375	
0.001000	12.745520	0.992188	
0.001000	12.831966	0.984375	
0.001000	12.872381	0.945312	
0.001000	12.836124	0.968750	
0.001000	12.737865	0.992188	
0.001000	12.806708	0.976562	
0.001000	12.771066	0.968750	
0.001000	12.831004	0.953125	
0.001000	12.781547	0.968750	
0.001000	12.806475	0.960938	
0.001000	12.724686	0.992188	
0.001000	12.740146	0.984375	
0.001000	12.713359	0.976562	
0.001000	12.698344	0.992188	
0.001000	12.786042	0.968750	
0.001000	12.744534	0.937500	
0.001000	12.738083	0.976562	
0.001000	12.780749	0.960938	
0.001000	12.802825	0.976562	
0.001000	12.663003	0.992188	
0.001000	12.672917	0.984375	
0.001000	12.744756	0.960938	
0.001000	12.631814	1.000000	
0.001000	12.625473	1.000000	
0.001000	12.708669	0.968750	
0.001000	12.809814	0.953125	
0.001000	12.648192	0.984375	
0.001000	12.717231	0.960938	
0.001000	12.682446	0.968750	
0.001000	12.674273	0.968750	
0.001000	12.604717	1.000000	
