Learning Rate	Test Loss	Test Acc.	
0.010000	3.283195	0.937500	
0.010000	3.179425	0.953125	
0.010000	3.343778	0.929688	
0.010000	3.385873	0.929688	
0.010000	3.255629	0.945312	
0.010000	3.221223	0.960938	
0.010000	3.202812	0.945312	
0.010000	3.512784	0.898438	
0.010000	3.343381	0.929688	
0.010000	3.479863	0.906250	
0.010000	3.173399	0.929688	
0.010000	3.225901	0.937500	
0.010000	3.189856	0.937500	
0.010000	3.233169	0.945312	
0.010000	3.234655	0.929688	
0.010000	3.154341	0.945312	
0.010000	3.172731	0.906250	
0.010000	3.124808	0.929688	
0.010000	3.179798	0.929688	
0.010000	3.016289	0.968750	
0.010000	3.094727	0.976562	
0.010000	3.031450	0.960938	
0.010000	3.040660	0.945312	
0.010000	3.010326	0.945312	
0.010000	3.049960	0.953125	
0.010000	3.016095	0.953125	
0.010000	2.966486	0.945312	
0.010000	3.015296	0.937500	
0.010000	2.909269	0.976562	
0.010000	3.084765	0.929688	
0.010000	2.946641	0.937500	
0.010000	2.965885	0.937500	
0.010000	2.915313	0.968750	
0.010000	2.856790	0.968750	
0.010000	2.892684	0.945312	
0.010000	2.884509	0.960938	
0.010000	2.856004	0.968750	
0.010000	2.914392	0.921875	
0.010000	2.853089	0.945312	
0.010000	2.735499	1.000000	
0.010000	2.795578	0.976562	
0.010000	2.805800	0.960938	
0.010000	2.700430	1.000000	
0.010000	2.732109	0.992188	
0.010000	2.740392	0.984375	
0.010000	2.771634	0.976562	
0.010000	2.795617	0.968750	
0.010000	2.844445	0.945312	
0.010000	2.686055	0.984375	
0.010000	2.636599	1.000000	
0.010000	2.699785	0.976562	
0.010000	3.122797	0.835938	
0.010000	2.688230	0.968750	
0.010000	2.712609	0.968750	
0.010000	2.665272	0.984375	
0.010000	2.608230	0.992188	
0.010000	2.617257	0.984375	
0.010000	2.609379	0.992188	
0.010000	2.700449	0.960938	
0.010000	2.616629	0.976562	
0.010000	2.620578	0.968750	
0.010000	2.837255	0.906250	
0.010000	2.565979	0.984375	
0.010000	2.621608	0.984375	
0.010000	2.559905	0.976562	
0.010000	2.667382	0.929688	
0.010000	2.690519	0.937500	
0.010000	2.492202	1.000000	
0.010000	2.574304	0.976562	
0.010000	2.511983	0.976562	
0.010000	2.587528	0.976562	
0.010000	2.511864	0.976562	
0.010000	2.528421	0.976562	
0.010000	2.505744	0.968750	
0.010000	2.534688	0.968750	
0.010000	2.670721	0.929688	
0.010000	2.668885	0.953125	
0.010000	2.527711	0.960938	
0.010000	2.570758	0.937500	
0.010000	1.084667	0.960938	
0.010000	1.102872	0.953125	
0.010000	1.239671	0.953125	
0.010000	1.190604	0.929688	
0.010000	1.145451	0.953125	
0.010000	1.215755	0.945312	
0.010000	1.130974	0.960938	
0.010000	1.184691	0.921875	
0.010000	1.159438	0.945312	
0.010000	1.284377	0.929688	
0.010000	1.108293	0.960938	
0.010000	1.091348	0.953125	
0.010000	1.106475	0.976562	
0.010000	1.094890	0.968750	
0.010000	1.108173	0.960938	
0.010000	1.114506	0.929688	
0.010000	1.118138	0.968750	
0.010000	1.168255	0.937500	
0.010000	1.116442	0.953125	
0.010000	1.065291	0.960938	
0.010000	1.070500	0.968750	
0.010000	1.098592	0.968750	
0.010000	1.134044	0.976562	
0.010000	1.105902	0.968750	
0.010000	1.012843	0.992188	
0.010000	1.136376	0.937500	
0.010000	1.079266	0.960938	
0.010000	1.206413	0.968750	
0.010000	1.060078	0.976562	
0.010000	1.297781	0.929688	
0.010000	1.137280	0.929688	
0.010000	1.088741	0.945312	
0.010000	1.033515	0.976562	
0.010000	1.098202	0.945312	
0.010000	1.091336	0.937500	
0.010000	1.088403	0.937500	
0.010000	1.075044	0.953125	
0.010000	1.039876	0.976562	
0.010000	0.992968	0.992188	
0.010000	0.965388	0.992188	
0.010000	0.958928	0.992188	
0.010000	0.949225	0.992188	
0.010000	0.955238	0.992188	
0.010000	0.974689	0.984375	
0.010000	1.017818	0.960938	
0.010000	1.024747	0.968750	
0.010000	1.217625	0.937500	
0.010000	0.974166	0.984375	
0.010000	0.991345	0.992188	
0.010000	0.934117	1.000000	
0.010000	1.021339	0.984375	
0.010000	1.200476	0.914062	
0.010000	0.956411	1.000000	
0.010000	0.992218	0.992188	
0.010000	0.933672	1.000000	
0.010000	0.935749	1.000000	
0.010000	0.945456	0.992188	
0.010000	0.940366	0.984375	
0.010000	0.983143	0.976562	
0.010000	0.923168	1.000000	
0.010000	0.954115	0.984375	
0.010000	1.210726	0.945312	
0.010000	0.982359	0.976562	
0.010000	1.017169	0.968750	
0.010000	0.961174	0.992188	
0.010000	1.059438	0.960938	
0.010000	0.973504	0.968750	
0.010000	0.909332	1.000000	
0.010000	0.924690	0.992188	
0.010000	0.907637	1.000000	
0.010000	0.980868	0.976562	
0.010000	0.955373	0.984375	
0.010000	0.918603	0.992188	
0.010000	0.913819	1.000000	
0.010000	1.004195	0.976562	
0.010000	1.339174	0.906250	
0.010000	1.016209	0.960938	
0.010000	1.136864	0.921875	
0.010000	1.341556	0.875000	
0.010000	0.714304	0.960938	
0.010000	0.734525	0.960938	
0.010000	0.809596	0.945312	
0.010000	0.846201	0.929688	
0.010000	0.788049	0.945312	
0.010000	0.679786	0.976562	
0.010000	0.698239	0.976562	
0.010000	0.832032	0.945312	
0.010000	0.742298	0.937500	
0.010000	0.760259	0.929688	
0.010000	0.817265	0.921875	
0.010000	0.744413	0.960938	
0.010000	0.662787	0.984375	
0.010000	0.866461	0.960938	
0.010000	0.747298	0.960938	
0.010000	0.704376	0.960938	
0.010000	0.752707	0.953125	
0.010000	0.779862	0.937500	
0.010000	0.759040	0.960938	
0.010000	0.726499	0.945312	
0.010000	0.702178	0.976562	
0.010000	0.649950	0.984375	
0.010000	0.727012	0.937500	
0.010000	0.682534	0.968750	
0.010000	0.665962	0.968750	
0.010000	0.686280	0.968750	
0.010000	0.651980	0.968750	
0.010000	0.696977	0.953125	
0.010000	0.686936	0.968750	
0.010000	0.862376	0.937500	
0.010000	0.797463	0.953125	
0.010000	0.654669	0.984375	
0.010000	0.690405	0.976562	
0.010000	0.761302	0.953125	
0.010000	0.846000	0.929688	
0.010000	0.667916	0.968750	
0.010000	0.684372	0.968750	
0.010000	0.796318	0.929688	
0.010000	0.682840	0.984375	
0.010000	0.620547	0.984375	
0.010000	0.604833	0.984375	
0.010000	0.594888	0.984375	
0.010000	0.587890	1.000000	
0.010000	0.639372	0.992188	
0.010000	0.741924	0.929688	
0.010000	0.666028	0.976562	
0.010000	0.731562	0.968750	
0.010000	0.655285	0.984375	
0.010000	0.635270	0.976562	
0.010000	0.583801	0.992188	
0.010000	0.617630	0.976562	
0.010000	0.939287	0.882812	
0.010000	0.636212	0.992188	
0.010000	0.704191	0.968750	
0.010000	0.577406	1.000000	
0.010000	0.582740	1.000000	
0.010000	0.588867	0.992188	
0.010000	0.596711	0.984375	
0.010000	0.651146	0.984375	
0.010000	0.578597	1.000000	
0.010000	0.587436	0.992188	
0.010000	0.780536	0.929688	
0.010000	0.578059	1.000000	
0.010000	0.625154	0.968750	
0.010000	0.724214	0.953125	
0.010000	0.703247	0.953125	
0.010000	0.603407	0.992188	
0.010000	0.570427	1.000000	
0.010000	0.565635	1.000000	
0.010000	0.573302	1.000000	
0.010000	0.574790	1.000000	
0.010000	0.565253	1.000000	
0.010000	0.605610	0.992188	
0.010000	0.603374	0.968750	
0.010000	0.570014	1.000000	
