Learning Rate	Test Loss	Test Acc.	
0.010000	23.620018	0.828125	
0.010000	23.818865	0.742188	
0.010000	23.877436	0.687500	
0.010000	23.833033	0.734375	
0.010000	23.968641	0.726562	
0.010000	23.888855	0.765625	
0.010000	23.658804	0.781250	
0.010000	23.784958	0.734375	
0.010000	23.790710	0.710938	
0.010000	24.188408	0.601562	
0.010000	23.883947	0.679688	
0.010000	23.839420	0.742188	
0.010000	24.096668	0.671875	
0.010000	24.017214	0.718750	
0.010000	23.691944	0.742188	
0.010000	23.827530	0.718750	
0.010000	23.942434	0.695312	
0.010000	23.724951	0.804688	
0.010000	23.919136	0.695312	
0.010000	23.691629	0.765625	
0.010000	23.765060	0.718750	
0.010000	23.863441	0.734375	
0.010000	23.718157	0.734375	
0.010000	23.690117	0.812500	
0.010000	23.867331	0.765625	
0.010000	23.664007	0.750000	
0.010000	23.795134	0.750000	
0.010000	23.898567	0.765625	
0.010000	23.676535	0.757812	
0.010000	23.991171	0.710938	
0.010000	23.910183	0.703125	
0.010000	23.716942	0.757812	
0.010000	23.841455	0.695312	
0.010000	23.865252	0.726562	
0.010000	23.823019	0.773438	
0.010000	23.825651	0.750000	
0.010000	23.683609	0.757812	
0.010000	23.768696	0.765625	
0.010000	23.783136	0.765625	
0.010000	23.576490	0.835938	
0.010000	23.426357	0.867188	
0.010000	23.438217	0.859375	
0.010000	23.291157	0.906250	
0.010000	23.688591	0.804688	
0.010000	23.589680	0.828125	
0.010000	23.627266	0.796875	
0.010000	23.625792	0.835938	
0.010000	23.811342	0.796875	
0.010000	23.483650	0.859375	
0.010000	23.354082	0.890625	
0.010000	23.652214	0.796875	
0.010000	23.804661	0.718750	
0.010000	23.611059	0.820312	
0.010000	23.550068	0.804688	
0.010000	23.406876	0.867188	
0.010000	23.389755	0.859375	
0.010000	23.611298	0.812500	
0.010000	23.409182	0.875000	
0.010000	23.664997	0.734375	
0.010000	23.608032	0.812500	
0.010000	23.523098	0.835938	
0.010000	24.065876	0.671875	
0.010000	23.337637	0.875000	
0.010000	23.473547	0.812500	
0.010000	23.708761	0.750000	
0.010000	23.511452	0.851562	
0.010000	23.347263	0.906250	
0.010000	23.352835	0.921875	
0.010000	23.272141	0.945312	
0.010000	23.363886	0.867188	
0.010000	23.596643	0.820312	
0.010000	23.376236	0.906250	
0.010000	23.417355	0.867188	
0.010000	23.372458	0.875000	
0.010000	23.428514	0.867188	
0.010000	23.746855	0.757812	
0.010000	23.820629	0.726562	
0.010000	23.956480	0.695312	
0.010000	23.398088	0.812500	
0.010000	23.318354	0.906250	
0.010000	23.345659	0.875000	
0.010000	23.376404	0.851562	
0.010000	23.558624	0.828125	
0.010000	23.480881	0.835938	
0.010000	23.437258	0.835938	
0.010000	23.378498	0.890625	
0.010000	23.712730	0.835938	
0.010000	23.522955	0.835938	
0.010000	23.591280	0.796875	
0.010000	23.466967	0.812500	
0.010000	23.388121	0.875000	
0.010000	23.431864	0.835938	
0.010000	23.742262	0.812500	
0.010000	23.471430	0.898438	
0.010000	23.547848	0.875000	
0.010000	23.512796	0.851562	
0.010000	23.465601	0.890625	
0.010000	23.565187	0.812500	
0.010000	23.428358	0.820312	
0.010000	23.399296	0.867188	
0.010000	23.616045	0.843750	
0.010000	23.433887	0.875000	
0.010000	23.253445	0.921875	
0.010000	23.415085	0.875000	
0.010000	23.358318	0.882812	
0.010000	23.553787	0.835938	
0.010000	23.438469	0.867188	
0.010000	23.341188	0.882812	
0.010000	23.802496	0.773438	
0.010000	23.492403	0.859375	
0.010000	23.470261	0.851562	
0.010000	23.359047	0.882812	
0.010000	23.682156	0.773438	
0.010000	23.483721	0.882812	
0.010000	23.393303	0.859375	
0.010000	23.398550	0.875000	
0.010000	23.400112	0.867188	
0.010000	23.441378	0.859375	
0.010000	23.262777	0.921875	
0.010000	23.198566	0.937500	
0.010000	23.078920	0.960938	
0.010000	23.070946	1.000000	
0.010000	23.259701	0.914062	
0.010000	23.285675	0.890625	
0.010000	23.291470	0.898438	
0.010000	23.481499	0.859375	
0.010000	23.641251	0.859375	
0.010000	23.268604	0.937500	
0.010000	23.130419	0.953125	
0.010000	23.244122	0.921875	
0.010000	23.720226	0.789062	
0.010000	23.372789	0.882812	
0.010000	23.298494	0.898438	
0.010000	23.127323	0.953125	
0.010000	23.282225	0.914062	
0.010000	23.297823	0.890625	
0.010000	23.193638	0.945312	
0.010000	23.406872	0.843750	
0.010000	23.241245	0.921875	
0.010000	23.175152	0.960938	
0.010000	23.479052	0.882812	
0.010000	23.171949	0.953125	
0.010000	23.331505	0.906250	
0.010000	23.303783	0.906250	
0.010000	23.257252	0.898438	
0.010000	23.212696	0.945312	
0.010000	23.154808	0.937500	
0.010000	23.101377	0.976562	
0.010000	23.135839	0.953125	
0.010000	23.481590	0.882812	
0.010000	23.232210	0.906250	
0.010000	23.228609	0.929688	
0.010000	23.162548	0.945312	
0.010000	23.177055	0.945312	
0.010000	23.545921	0.867188	
0.010000	23.613426	0.804688	
0.010000	23.564690	0.796875	
0.010000	23.192175	0.937500	
0.010000	23.237928	0.929688	
0.010000	23.256142	0.906250	
0.010000	23.340345	0.898438	
0.010000	23.365379	0.890625	
0.010000	23.337467	0.859375	
0.010000	23.288416	0.921875	
0.010000	23.230997	0.929688	
0.010000	23.569386	0.875000	
0.010000	23.321777	0.921875	
0.010000	23.518913	0.867188	
0.010000	23.427588	0.867188	
0.010000	23.343912	0.867188	
0.010000	23.344391	0.890625	
0.010000	23.495760	0.851562	
0.010000	23.336973	0.898438	
0.010000	23.505243	0.867188	
0.010000	23.515333	0.835938	
0.010000	23.343363	0.921875	
0.010000	23.319643	0.882812	
0.010000	23.353844	0.921875	
0.010000	23.312157	0.882812	
0.010000	23.450649	0.859375	
0.010000	23.352457	0.859375	
0.010000	23.264799	0.914062	
0.010000	23.338322	0.898438	
0.010000	23.287151	0.914062	
0.010000	23.303078	0.882812	
0.010000	23.330526	0.914062	
0.010000	23.291895	0.929688	
0.010000	23.740559	0.804688	
0.010000	23.421329	0.898438	
0.010000	23.312082	0.882812	
0.010000	23.281929	0.914062	
0.010000	23.437443	0.882812	
0.010000	23.361544	0.875000	
0.010000	23.278694	0.906250	
0.010000	23.341875	0.906250	
0.010000	23.439438	0.875000	
0.010000	23.372194	0.906250	
0.010000	23.236801	0.921875	
0.010000	23.146278	0.960938	
0.010000	23.121861	0.960938	
0.010000	23.077534	0.976562	
0.010000	23.207399	0.937500	
0.010000	23.230021	0.929688	
0.010000	23.183159	0.921875	
0.010000	23.551859	0.882812	
0.010000	23.425556	0.882812	
0.010000	23.202768	0.929688	
0.010000	23.099669	0.960938	
0.010000	23.170965	0.960938	
0.010000	23.545664	0.820312	
0.010000	23.264700	0.914062	
0.010000	23.243132	0.929688	
0.010000	23.105417	0.976562	
0.010000	23.173824	0.929688	
0.010000	23.285376	0.914062	
0.010000	23.126541	0.968750	
0.010000	23.235725	0.914062	
0.010000	23.158241	0.976562	
0.010000	23.193514	0.937500	
0.010000	23.297798	0.898438	
0.010000	23.148100	0.953125	
0.010000	23.241106	0.921875	
0.010000	23.257290	0.898438	
0.010000	23.215080	0.921875	
0.010000	23.128971	0.960938	
0.010000	23.085913	0.976562	
0.010000	23.033054	0.984375	
0.010000	23.056820	0.976562	
0.010000	23.259998	0.914062	
0.010000	23.160160	0.937500	
0.010000	23.245287	0.929688	
0.010000	23.155750	0.937500	
0.010000	23.151678	0.945312	
0.010000	23.446018	0.882812	
0.010000	23.492201	0.835938	
0.010000	23.312870	0.898438	
0.010000	23.080423	0.937500	
0.010000	23.144390	0.953125	
0.010000	23.211634	0.914062	
0.010000	23.206572	0.914062	
0.010000	23.371704	0.882812	
0.010000	23.288443	0.906250	
0.010000	23.454531	0.898438	
0.010000	23.259769	0.921875	
0.010000	23.446171	0.875000	
0.010000	23.398449	0.890625	
0.010000	23.360559	0.867188	
0.010000	23.286730	0.898438	
0.010000	23.214201	0.914062	
0.010000	23.303633	0.929688	
0.010000	23.504210	0.851562	
0.010000	23.272594	0.921875	
0.010000	23.331516	0.898438	
0.010000	23.401051	0.867188	
0.010000	23.398582	0.882812	
0.010000	23.342491	0.875000	
0.010000	23.254694	0.937500	
0.010000	23.168428	0.937500	
0.010000	23.225292	0.937500	
0.010000	23.198986	0.914062	
0.010000	23.318045	0.875000	
0.010000	23.301912	0.882812	
0.010000	23.228893	0.921875	
0.010000	23.240799	0.929688	
0.010000	23.289392	0.929688	
0.010000	23.319889	0.921875	
0.010000	23.481691	0.867188	
0.010000	23.311550	0.914062	
0.010000	23.320414	0.914062	
0.010000	23.215513	0.937500	
0.010000	23.359716	0.867188	
0.010000	23.265272	0.890625	
0.010000	23.317131	0.898438	
0.010000	23.271322	0.937500	
0.010000	23.344357	0.898438	
0.010000	23.250994	0.914062	
0.010000	23.149490	0.953125	
0.010000	23.152725	0.953125	
0.010000	23.080620	0.984375	
0.010000	23.053656	0.984375	
0.010000	23.194862	0.937500	
0.010000	23.268826	0.898438	
0.010000	23.192616	0.937500	
0.010000	23.303555	0.906250	
0.010000	23.361235	0.914062	
0.010000	23.202354	0.960938	
0.010000	23.023672	1.000000	
0.010000	23.133064	0.945312	
0.010000	23.523129	0.859375	
0.010000	23.205927	0.906250	
0.010000	23.170862	0.937500	
0.010000	23.061691	0.992188	
0.010000	23.106718	0.960938	
0.010000	23.073744	0.976562	
0.010000	23.050505	0.992188	
0.010000	23.147167	0.937500	
0.010000	23.101482	0.960938	
0.010000	23.117315	0.968750	
0.010000	23.295691	0.898438	
0.010000	23.136457	0.953125	
0.010000	23.124214	0.960938	
0.010000	23.191031	0.945312	
0.010000	23.202734	0.945312	
0.010000	23.118116	0.968750	
0.010000	23.046585	0.984375	
0.010000	23.016600	0.992188	
0.010000	23.111658	0.968750	
0.010000	23.281109	0.906250	
0.010000	23.134016	0.960938	
0.010000	23.087633	0.968750	
0.010000	23.069805	0.976562	
0.010000	23.069822	0.968750	
0.010000	23.364597	0.914062	
0.010000	23.371782	0.890625	
0.010000	23.347836	0.882812	
0.010000	23.162798	0.875000	
0.010000	23.162401	0.945312	
0.010000	23.142950	0.945312	
0.010000	23.276375	0.898438	
0.010000	23.441261	0.851562	
0.010000	23.195572	0.921875	
0.010000	23.212036	0.945312	
0.010000	23.243074	0.937500	
0.010000	23.331959	0.914062	
0.010000	23.334572	0.914062	
0.010000	23.446716	0.867188	
0.010000	23.369736	0.882812	
0.010000	23.293139	0.906250	
0.010000	23.240772	0.929688	
0.010000	23.346050	0.890625	
0.010000	23.277287	0.929688	
0.010000	23.305363	0.882812	
0.010000	23.367762	0.890625	
0.010000	23.176191	0.929688	
0.010000	23.201063	0.929688	
0.010000	23.221087	0.929688	
0.010000	23.267530	0.898438	
0.010000	23.231161	0.937500	
0.010000	23.198664	0.937500	
0.010000	23.192860	0.937500	
0.010000	23.261175	0.914062	
0.010000	23.153097	0.945312	
0.010000	23.242844	0.929688	
0.010000	23.292969	0.937500	
0.010000	23.167799	0.953125	
0.010000	23.493931	0.851562	
0.010000	23.416887	0.890625	
0.010000	23.239508	0.914062	
0.010000	23.267021	0.898438	
0.010000	23.200281	0.937500	
0.010000	23.218767	0.921875	
0.010000	23.201488	0.929688	
0.010000	23.151506	0.960938	
0.010000	23.337191	0.906250	
0.010000	23.205029	0.921875	
0.010000	23.129602	0.960938	
0.010000	23.169098	0.914062	
0.010000	23.109392	0.968750	
0.010000	23.057024	0.992188	
0.010000	23.113918	0.968750	
0.010000	23.213118	0.945312	
0.010000	23.127384	0.953125	
0.010000	23.191656	0.945312	
0.010000	23.322176	0.921875	
0.010000	23.172207	0.968750	
0.010000	23.021650	0.992188	
0.010000	23.120831	0.960938	
0.010000	23.472567	0.859375	
0.010000	23.223295	0.929688	
0.010000	23.125473	0.968750	
0.010000	23.066019	0.984375	
0.010000	23.084614	0.960938	
0.010000	23.231878	0.937500	
0.010000	23.057215	0.984375	
0.010000	23.164732	0.953125	
0.010000	23.088751	0.976562	
0.010000	23.120176	0.945312	
0.010000	23.236252	0.921875	
0.010000	23.126320	0.960938	
0.010000	23.172745	0.929688	
0.010000	23.270956	0.906250	
0.010000	23.156870	0.937500	
0.010000	23.075998	0.984375	
0.010000	23.039970	0.992188	
0.010000	23.025640	0.992188	
0.010000	23.023117	0.984375	
0.010000	23.201756	0.937500	
0.010000	23.102982	0.953125	
0.010000	23.048319	0.984375	
0.010000	23.087029	0.976562	
0.010000	23.103859	0.968750	
0.010000	23.383711	0.914062	
0.010000	23.351486	0.882812	
0.010000	23.336464	0.867188	
0.010000	23.076740	0.937500	
0.010000	23.102440	0.945312	
0.010000	23.164454	0.929688	
0.010000	23.281134	0.921875	
0.010000	23.299147	0.859375	
0.010000	23.214088	0.921875	
0.010000	23.330389	0.906250	
0.010000	23.194641	0.937500	
0.010000	23.288746	0.906250	
0.010000	23.272659	0.906250	
0.010000	23.352953	0.898438	
0.010000	23.241709	0.890625	
0.010000	23.323511	0.890625	
0.010000	23.132866	0.945312	
0.010000	23.384752	0.882812	
0.010000	23.151222	0.945312	
0.010000	23.349159	0.890625	
0.010000	23.423550	0.898438	
0.010000	23.273794	0.921875	
0.010000	23.218632	0.914062	
0.010000	23.180281	0.929688	
0.010000	23.273655	0.921875	
0.010000	23.279074	0.914062	
0.010000	23.219795	0.953125	
0.010000	23.150494	0.937500	
0.010000	23.272577	0.921875	
0.010000	23.137156	0.976562	
0.010000	23.222652	0.937500	
0.010000	23.241980	0.953125	
0.010000	23.081453	0.976562	
0.010000	23.423460	0.875000	
0.010000	23.278887	0.906250	
0.010000	23.285975	0.929688	
0.010000	23.154198	0.945312	
0.010000	23.285406	0.882812	
0.010000	23.256880	0.882812	
0.010000	23.323875	0.898438	
0.010000	23.209429	0.929688	
0.010000	23.321356	0.898438	
0.010000	23.222712	0.929688	
0.010000	23.081585	0.968750	
0.010000	23.073187	0.976562	
0.010000	23.052416	0.968750	
0.010000	23.023378	0.992188	
0.010000	23.076599	0.968750	
0.010000	23.151281	0.937500	
0.010000	23.129566	0.960938	
0.010000	23.332499	0.921875	
0.010000	23.298929	0.906250	
0.010000	23.182974	0.953125	
0.010000	23.019342	1.000000	
0.010000	23.085972	0.960938	
0.010000	23.460354	0.859375	
0.010000	23.142752	0.937500	
0.010000	23.119522	0.945312	
0.010000	23.060770	0.984375	
0.010000	23.075172	0.968750	
0.010000	23.125875	0.960938	
0.010000	23.088068	0.960938	
0.010000	23.191832	0.937500	
0.010000	23.028639	0.992188	
0.010000	23.095736	0.968750	
0.010000	23.392084	0.875000	
0.010000	23.071823	0.976562	
0.010000	23.168217	0.960938	
0.010000	23.223883	0.929688	
0.010000	23.107897	0.953125	
0.010000	23.102310	0.960938	
0.010000	23.068214	0.976562	
0.010000	23.011223	0.992188	
0.010000	23.005163	1.000000	
0.010000	23.208761	0.937500	
0.010000	23.060740	0.968750	
0.010000	23.037651	0.992188	
0.010000	23.066507	0.976562	
0.010000	23.082588	0.960938	
