Learning Rate	Test Loss	Test Acc.	
0.001000	25.260862	0.179688	
0.001000	25.298531	0.148438	
0.001000	25.339279	0.164062	
0.001000	25.331802	0.140625	
0.001000	25.348946	0.164062	
0.001000	25.291193	0.187500	
0.001000	25.242596	0.171875	
0.001000	25.151283	0.234375	
0.001000	25.280809	0.210938	
0.001000	25.198219	0.156250	
0.001000	25.164927	0.218750	
0.001000	25.212433	0.234375	
0.001000	25.305485	0.164062	
0.001000	25.278503	0.187500	
0.001000	25.201279	0.218750	
0.001000	25.395790	0.156250	
0.001000	25.436829	0.156250	
0.001000	25.185635	0.164062	
0.001000	25.325119	0.179688	
0.001000	25.147957	0.210938	
0.001000	25.297745	0.187500	
0.001000	25.335176	0.203125	
0.001000	25.270889	0.203125	
0.001000	25.197144	0.210938	
0.001000	25.270218	0.171875	
0.001000	25.316740	0.171875	
0.001000	25.152214	0.242188	
0.001000	25.331421	0.164062	
0.001000	25.291832	0.179688	
0.001000	25.204710	0.187500	
0.001000	25.299168	0.257812	
0.001000	25.211348	0.218750	
0.001000	25.227684	0.187500	
0.001000	25.292894	0.117188	
0.001000	25.176865	0.171875	
0.001000	25.220039	0.187500	
0.001000	25.210346	0.210938	
0.001000	25.253319	0.179688	
0.001000	25.149351	0.218750	
0.001000	25.208019	0.187500	
0.001000	25.224442	0.234375	
0.001000	25.117069	0.250000	
0.001000	25.152563	0.226562	
0.001000	25.376844	0.125000	
0.001000	25.204163	0.218750	
0.001000	25.302650	0.171875	
0.001000	25.291794	0.195312	
0.001000	25.265404	0.179688	
0.001000	25.074051	0.281250	
0.001000	25.073925	0.335938	
0.001000	25.274651	0.187500	
0.001000	25.264881	0.117188	
0.001000	25.340862	0.164062	
0.001000	25.317244	0.140625	
0.001000	25.165346	0.234375	
0.001000	25.170017	0.257812	
0.001000	25.427166	0.140625	
0.001000	25.154640	0.179688	
0.001000	25.175125	0.203125	
0.001000	25.191856	0.210938	
0.001000	25.194515	0.218750	
0.001000	25.233059	0.242188	
0.001000	25.021469	0.304688	
0.001000	25.197990	0.250000	
0.001000	25.247829	0.187500	
0.001000	25.209408	0.171875	
0.001000	25.157988	0.226562	
0.001000	25.159815	0.250000	
0.001000	24.998627	0.304688	
0.001000	25.080515	0.257812	
0.001000	25.295429	0.171875	
0.001000	25.102325	0.226562	
0.001000	25.137608	0.242188	
0.001000	25.131733	0.289062	
0.001000	25.193422	0.203125	
0.001000	25.296278	0.164062	
0.001000	25.352896	0.164062	
0.001000	25.199127	0.195312	
0.001000	25.052496	0.125000	
0.001000	24.718328	0.437500	
0.001000	24.917910	0.359375	
0.001000	24.941782	0.320312	
0.001000	24.881464	0.335938	
0.001000	24.911669	0.343750	
0.001000	24.894985	0.398438	
0.001000	24.735950	0.406250	
0.001000	25.008333	0.320312	
0.001000	24.939299	0.351562	
0.001000	24.971182	0.304688	
0.001000	24.844028	0.390625	
0.001000	24.977859	0.312500	
0.001000	24.936747	0.320312	
0.001000	24.905931	0.359375	
0.001000	24.872932	0.359375	
0.001000	24.964563	0.335938	
0.001000	25.010540	0.281250	
0.001000	24.951870	0.343750	
0.001000	24.944883	0.367188	
0.001000	24.843948	0.375000	
0.001000	24.860176	0.289062	
0.001000	24.771229	0.390625	
0.001000	24.863684	0.367188	
0.001000	24.794037	0.390625	
0.001000	24.966352	0.320312	
0.001000	24.851950	0.359375	
0.001000	24.932348	0.382812	
0.001000	25.049192	0.312500	
0.001000	24.789776	0.390625	
0.001000	25.067492	0.281250	
0.001000	25.008722	0.265625	
0.001000	24.822792	0.351562	
0.001000	24.942230	0.265625	
0.001000	24.981133	0.250000	
0.001000	24.932735	0.343750	
0.001000	24.813902	0.390625	
0.001000	24.891272	0.351562	
0.001000	24.964151	0.312500	
0.001000	25.016562	0.296875	
0.001000	24.807943	0.390625	
0.001000	24.674774	0.437500	
0.001000	24.577198	0.492188	
0.001000	24.574070	0.460938	
0.001000	24.938070	0.343750	
0.001000	24.831772	0.351562	
0.001000	24.839979	0.398438	
0.001000	24.996656	0.343750	
0.001000	24.889914	0.367188	
0.001000	24.619137	0.484375	
0.001000	24.710032	0.359375	
0.001000	24.821266	0.335938	
0.001000	24.807673	0.398438	
0.001000	25.030556	0.273438	
0.001000	24.781958	0.382812	
0.001000	24.700666	0.429688	
0.001000	24.866693	0.367188	
0.001000	24.793888	0.382812	
0.001000	24.718830	0.351562	
0.001000	24.832525	0.343750	
0.001000	24.721684	0.429688	
0.001000	24.869896	0.398438	
0.001000	24.872490	0.359375	
0.001000	24.709295	0.421875	
0.001000	24.725803	0.351562	
0.001000	24.899410	0.304688	
0.001000	24.641256	0.429688	
0.001000	24.721449	0.398438	
0.001000	24.708702	0.406250	
0.001000	24.633671	0.468750	
0.001000	24.628862	0.468750	
0.001000	24.965570	0.367188	
0.001000	24.813030	0.375000	
0.001000	24.728838	0.382812	
0.001000	24.669512	0.390625	
0.001000	24.891945	0.367188	
0.001000	24.864212	0.367188	
0.001000	24.880421	0.375000	
0.001000	24.916458	0.390625	
0.001000	24.370880	0.437500	
0.001000	24.488121	0.484375	
0.001000	24.521303	0.460938	
0.001000	24.487190	0.515625	
0.001000	24.414474	0.531250	
0.001000	24.534719	0.500000	
0.001000	24.567831	0.437500	
0.001000	24.363724	0.507812	
0.001000	24.624777	0.429688	
0.001000	24.592945	0.437500	
0.001000	24.712925	0.406250	
0.001000	24.580000	0.468750	
0.001000	24.572372	0.492188	
0.001000	24.506893	0.476562	
0.001000	24.608496	0.492188	
0.001000	24.434902	0.515625	
0.001000	24.586626	0.437500	
0.001000	24.516666	0.484375	
0.001000	24.580976	0.492188	
0.001000	24.555672	0.515625	
0.001000	24.458309	0.460938	
0.001000	24.493475	0.500000	
0.001000	24.631401	0.421875	
0.001000	24.591177	0.460938	
0.001000	24.386719	0.507812	
0.001000	24.385921	0.531250	
0.001000	24.481867	0.492188	
0.001000	24.532858	0.468750	
0.001000	24.683325	0.414062	
0.001000	24.372463	0.593750	
0.001000	24.740173	0.453125	
0.001000	24.596378	0.453125	
0.001000	24.324024	0.554688	
0.001000	24.521509	0.460938	
0.001000	24.629385	0.429688	
0.001000	24.590887	0.406250	
0.001000	24.510303	0.507812	
0.001000	24.418276	0.546875	
0.001000	24.378538	0.539062	
0.001000	24.483892	0.484375	
0.001000	24.204390	0.554688	
0.001000	24.367041	0.507812	
0.001000	24.017681	0.632812	
0.001000	24.107029	0.593750	
0.001000	24.535883	0.476562	
0.001000	24.462460	0.445312	
