Learning Rate	Train Loss	Train Acc.	
0.010000	30.940994	0.109375	
0.010000	38.175930	0.140625	
0.010000	27.188438	0.117188	
0.010000	25.774607	0.125000	
0.010000	25.340097	0.109375	
0.010000	25.134413	0.109375	
0.010000	25.101475	0.156250	
0.010000	25.092257	0.078125	
0.010000	25.032022	0.101562	
0.010000	24.951046	0.117188	
0.010000	24.894201	0.148438	
0.010000	24.841770	0.132812	
0.010000	24.747837	0.203125	
0.010000	24.656368	0.273438	
0.010000	24.566772	0.257812	
0.010000	24.615313	0.281250	
0.010000	24.402746	0.296875	
0.010000	24.309240	0.242188	
0.010000	24.124685	0.398438	
0.010000	24.097898	0.273438	
0.010000	23.822924	0.445312	
0.010000	23.670492	0.406250	
0.010000	23.499712	0.484375	
0.010000	23.541704	0.445312	
0.010000	23.358747	0.507812	
0.010000	23.396338	0.460938	
0.010000	23.111591	0.484375	
0.010000	23.221661	0.476562	
0.010000	23.456936	0.414062	
0.010000	23.009880	0.492188	
0.010000	22.676767	0.609375	
0.010000	22.783096	0.515625	
0.010000	22.671127	0.593750	
0.010000	22.551779	0.570312	
0.010000	22.451908	0.664062	
0.010000	22.354132	0.632812	
0.010000	22.343233	0.656250	
0.010000	22.181429	0.679688	
0.010000	22.272215	0.671875	
0.010000	22.223763	0.664062	
0.010000	21.873507	0.687500	
0.010000	21.700554	0.726562	
0.010000	21.564661	0.695312	
0.010000	21.684715	0.710938	
0.010000	21.776737	0.648438	
0.010000	21.907726	0.656250	
0.010000	21.343864	0.765625	
0.010000	21.042404	0.859375	
0.010000	21.374254	0.734375	
0.010000	21.548109	0.601562	
0.010000	21.242172	0.726562	
0.010000	20.946642	0.796875	
0.010000	21.090855	0.726562	
0.010000	21.196987	0.687500	
0.010000	21.196653	0.656250	
0.010000	20.840872	0.757812	
0.010000	21.018373	0.718750	
0.010000	20.718220	0.781250	
0.010000	20.669527	0.757812	
0.010000	20.647631	0.757812	
0.010000	20.526598	0.750000	
0.010000	20.502258	0.820312	
0.010000	20.500059	0.765625	
0.010000	20.329044	0.828125	
0.010000	20.325527	0.718750	
0.010000	20.304489	0.757812	
0.010000	20.166344	0.734375	
0.010000	20.287102	0.750000	
0.010000	20.015953	0.773438	
0.010000	20.133921	0.820312	
0.010000	19.707468	0.835938	
0.010000	19.715654	0.820312	
0.010000	19.709503	0.796875	
0.010000	19.866261	0.734375	
0.010000	19.835981	0.773438	
0.010000	19.659573	0.804688	
0.010000	19.478228	0.828125	
0.010000	19.450817	0.812500	
0.010000	19.282341	0.812500	
0.010000	19.223927	0.859375	
0.010000	19.304903	0.781250	
0.010000	19.049782	0.875000	
0.010000	19.167467	0.828125	
0.010000	19.180763	0.742188	
0.010000	19.023952	0.773438	
0.010000	18.780704	0.859375	
0.010000	18.740887	0.859375	
0.010000	18.723076	0.867188	
0.010000	18.658981	0.843750	
0.010000	18.672213	0.812500	
0.010000	18.656948	0.812500	
0.010000	18.590250	0.796875	
0.010000	18.629612	0.773438	
0.010000	18.358431	0.843750	
0.010000	18.309855	0.828125	
0.010000	18.307734	0.851562	
0.010000	18.314539	0.789062	
0.010000	18.215212	0.796875	
0.010000	18.297726	0.796875	
0.010000	17.980270	0.851562	
0.010000	17.875765	0.867188	
0.010000	18.147898	0.812500	
0.010000	17.950796	0.796875	
0.010000	17.743101	0.875000	
0.010000	17.652586	0.835938	
0.010000	17.528006	0.882812	
0.010000	17.629366	0.835938	
0.010000	17.376179	0.914062	
0.010000	17.607971	0.796875	
0.010000	17.509233	0.804688	
0.010000	17.310555	0.859375	
0.010000	17.308512	0.835938	
0.010000	17.431608	0.851562	
0.010000	17.202028	0.859375	
0.010000	17.132792	0.835938	
0.010000	17.256090	0.796875	
0.010000	16.849516	0.890625	
0.010000	16.778843	0.898438	
0.010000	16.881220	0.851562	
0.010000	16.726919	0.898438	
0.010000	16.813042	0.820312	
0.010000	16.661438	0.859375	
0.010000	16.508318	0.890625	
0.010000	16.805056	0.773438	
0.010000	16.515240	0.843750	
0.010000	16.565781	0.828125	
0.010000	16.224756	0.914062	
0.010000	16.102964	0.906250	
0.010000	16.176302	0.906250	
0.010000	16.124521	0.875000	
0.010000	16.186678	0.835938	
0.010000	16.016851	0.898438	
0.010000	16.059828	0.835938	
0.010000	15.899643	0.875000	
0.010000	15.947280	0.843750	
0.010000	15.725563	0.921875	
0.010000	15.753667	0.859375	
0.010000	15.784066	0.882812	
0.010000	15.632806	0.898438	
0.010000	15.704109	0.828125	
0.010000	15.463124	0.898438	
0.010000	15.328790	0.929688	
0.010000	15.118346	0.960938	
0.010000	15.287191	0.875000	
0.010000	15.309587	0.875000	
0.010000	15.308246	0.890625	
0.010000	15.022260	0.906250	
0.010000	14.951023	0.906250	
0.010000	14.953388	0.875000	
0.010000	15.056840	0.851562	
0.010000	14.801517	0.945312	
0.010000	14.762084	0.921875	
0.010000	14.682328	0.914062	
0.010000	14.553539	0.945312	
0.010000	14.487642	0.945312	
0.010000	14.575432	0.906250	
0.010000	14.488148	0.882812	
0.010000	14.400026	0.921875	
0.010000	14.314821	0.937500	
0.010000	14.168700	0.945312	
0.010000	14.238812	0.921875	
0.010000	14.181601	0.937500	
0.010000	14.255792	0.890625	
0.010000	14.257015	0.867188	
0.010000	14.094619	0.898438	
0.010000	13.990779	0.921875	
0.010000	13.839095	0.937500	
0.010000	13.809628	0.929688	
0.010000	13.792111	0.937500	
0.010000	13.743838	0.921875	
0.010000	13.699142	0.906250	
0.010000	13.668953	0.906250	
0.010000	13.553450	0.914062	
0.010000	13.594102	0.882812	
0.010000	13.401270	0.921875	
0.010000	13.453732	0.906250	
0.010000	13.535972	0.859375	
0.010000	13.291516	0.898438	
0.010000	13.220564	0.914062	
0.010000	13.100953	0.945312	
0.010000	13.292185	0.843750	
0.010000	12.960601	0.960938	
0.010000	12.987532	0.921875	
0.010000	12.995536	0.898438	
0.010000	12.912094	0.921875	
0.010000	13.035357	0.851562	
0.010000	12.855234	0.906250	
0.010000	12.780179	0.921875	
0.010000	12.796396	0.882812	
0.010000	12.679957	0.875000	
0.010000	12.469395	0.945312	
0.010000	12.587029	0.921875	
0.010000	12.629580	0.851562	
0.010000	12.570295	0.859375	
0.010000	12.475113	0.859375	
0.010000	12.296722	0.906250	
0.010000	12.164529	0.945312	
0.010000	12.329428	0.867188	
0.010000	12.051735	0.960938	
0.010000	12.024367	0.960938	
0.010000	11.981879	0.937500	
0.010000	12.156710	0.867188	
0.010000	11.853580	0.929688	
0.010000	11.805334	0.921875	
0.010000	11.716784	0.953125	
0.010000	11.670895	0.953125	
0.010000	11.871614	0.898438	
0.010000	11.770291	0.914062	
0.010000	11.864879	0.875000	
0.010000	11.587828	0.929688	
0.010000	11.561020	0.945312	
0.010000	11.450202	0.921875	
0.010000	11.336452	0.929688	
0.010000	11.333232	0.945312	
0.010000	11.274555	0.898438	
0.010000	11.166614	0.937500	
0.010000	11.119405	0.945312	
0.010000	11.126755	0.960938	
0.010000	11.036843	0.937500	
0.010000	10.989653	0.968750	
0.010000	10.901786	0.953125	
0.010000	11.009354	0.890625	
0.010000	11.043135	0.914062	
0.010000	11.007714	0.890625	
0.010000	10.943036	0.937500	
0.010000	10.684007	0.937500	
0.010000	10.815995	0.906250	
0.010000	10.656083	0.914062	
0.010000	10.625238	0.921875	
0.010000	10.646898	0.921875	
0.010000	10.473422	0.945312	
0.010000	10.528736	0.906250	
0.010000	10.541696	0.898438	
0.010000	10.483875	0.921875	
0.010000	10.342518	0.882812	
0.010000	10.304478	0.890625	
0.010000	10.157025	0.953125	
0.010000	10.110776	0.953125	
0.010000	10.236151	0.867188	
0.010000	10.160836	0.906250	
0.010000	10.036386	0.906250	
0.010000	10.156103	0.859375	
0.010000	9.954496	0.937500	
0.010000	9.908470	0.921875	
0.010000	10.045372	0.906250	
0.010000	9.865564	0.906250	
0.010000	9.743435	0.953125	
0.010000	9.909781	0.867188	
0.010000	9.734610	0.890625	
0.010000	9.608173	0.929688	
0.010000	9.590683	0.898438	
0.010000	9.555907	0.921875	
0.010000	9.621662	0.875000	
0.010000	9.654100	0.859375	
0.010000	9.326030	0.945312	
0.010000	9.264496	0.960938	
0.010000	9.357116	0.929688	
