Learning Rate	Train Loss	Train Acc.	
0.010000	33.708138	0.093750	
0.010000	27.510786	0.117188	
0.010000	26.977705	0.093750	
0.010000	26.253796	0.156250	
0.010000	26.382431	0.054688	
0.010000	26.177973	0.078125	
0.010000	25.819963	0.093750	
0.010000	25.730495	0.132812	
0.010000	25.546549	0.070312	
0.010000	25.868086	0.109375	
0.010000	25.887327	0.093750	
0.010000	25.737787	0.109375	
0.010000	25.481146	0.109375	
0.010000	25.517885	0.125000	
0.010000	25.634176	0.125000	
0.010000	25.573551	0.085938	
0.010000	25.506960	0.062500	
0.010000	25.627796	0.132812	
0.010000	25.441629	0.156250	
0.010000	25.361284	0.156250	
0.010000	25.317156	0.156250	
0.010000	25.476633	0.109375	
0.010000	25.485142	0.132812	
0.010000	25.427570	0.085938	
0.010000	25.401543	0.109375	
0.010000	25.459620	0.070312	
0.010000	25.289900	0.132812	
0.010000	25.345201	0.117188	
0.010000	25.341063	0.148438	
0.010000	25.364107	0.164062	
0.010000	25.369274	0.156250	
0.010000	25.352320	0.187500	
0.010000	25.321215	0.195312	
0.010000	25.343636	0.125000	
0.010000	25.438675	0.132812	
0.010000	25.281563	0.148438	
0.010000	25.303450	0.164062	
0.010000	25.317404	0.156250	
0.010000	25.247765	0.187500	
0.010000	25.311644	0.132812	
0.010000	25.274921	0.187500	
0.010000	25.396502	0.109375	
0.010000	25.332300	0.156250	
0.010000	25.247442	0.187500	
0.010000	25.330696	0.171875	
0.010000	25.235968	0.210938	
0.010000	25.294481	0.125000	
0.010000	25.407160	0.171875	
0.010000	25.332369	0.125000	
0.010000	25.321466	0.125000	
0.010000	25.346308	0.171875	
0.010000	25.208584	0.218750	
0.010000	25.325081	0.109375	
0.010000	25.284449	0.179688	
0.010000	25.218477	0.195312	
0.010000	25.272352	0.195312	
0.010000	25.297705	0.164062	
0.010000	25.192499	0.218750	
0.010000	25.323751	0.148438	
0.010000	25.267544	0.203125	
0.010000	25.312429	0.148438	
0.010000	25.352545	0.148438	
0.010000	25.240541	0.273438	
0.010000	25.229696	0.187500	
0.010000	25.274069	0.171875	
0.010000	25.264933	0.156250	
0.010000	25.172735	0.218750	
0.010000	25.273718	0.187500	
0.010000	25.293152	0.132812	
0.010000	25.182199	0.195312	
0.010000	25.160545	0.273438	
0.010000	25.264854	0.156250	
0.010000	25.219503	0.250000	
0.010000	25.144808	0.250000	
0.010000	25.228071	0.195312	
0.010000	25.145798	0.265625	
0.010000	25.206686	0.187500	
0.010000	25.126213	0.195312	
0.010000	25.223169	0.156250	
0.010000	25.197680	0.210938	
0.010000	25.347094	0.226562	
0.010000	25.076628	0.265625	
0.010000	25.196905	0.171875	
0.010000	25.127939	0.242188	
0.010000	25.112556	0.250000	
0.010000	25.192575	0.164062	
0.010000	25.176298	0.210938	
0.010000	25.242723	0.187500	
0.010000	25.118090	0.273438	
0.010000	25.093044	0.257812	
0.010000	25.132648	0.234375	
0.010000	25.222172	0.187500	
0.010000	25.112740	0.250000	
0.010000	25.137478	0.218750	
0.010000	25.094414	0.289062	
0.010000	25.100739	0.289062	
0.010000	25.150202	0.242188	
0.010000	25.162245	0.218750	
0.010000	24.957840	0.351562	
0.010000	25.120953	0.242188	
0.010000	25.160650	0.234375	
0.010000	25.176409	0.257812	
0.010000	25.120731	0.242188	
0.010000	25.036680	0.343750	
0.010000	25.128555	0.210938	
0.010000	25.093582	0.234375	
0.010000	25.024529	0.257812	
0.010000	25.088165	0.296875	
0.010000	25.086603	0.273438	
0.010000	25.120304	0.234375	
0.010000	25.010006	0.296875	
0.010000	25.054886	0.250000	
0.010000	25.039410	0.304688	
0.010000	24.969790	0.273438	
0.010000	25.057358	0.304688	
0.010000	25.035679	0.296875	
0.010000	25.103907	0.265625	
0.010000	24.993931	0.320312	
0.010000	25.103298	0.265625	
0.010000	25.038136	0.304688	
0.010000	24.958652	0.343750	
0.010000	25.017673	0.296875	
0.010000	25.001646	0.351562	
0.010000	25.118029	0.218750	
0.010000	24.893116	0.382812	
0.010000	24.930012	0.351562	
0.010000	24.823208	0.414062	
0.010000	24.882175	0.390625	
0.010000	24.875589	0.343750	
0.010000	24.817116	0.351562	
0.010000	24.937302	0.367188	
0.010000	24.985981	0.257812	
0.010000	24.924881	0.351562	
0.010000	24.905060	0.335938	
0.010000	24.857092	0.390625	
0.010000	24.895002	0.328125	
0.010000	24.855316	0.382812	
0.010000	25.049871	0.273438	
0.010000	24.967562	0.343750	
0.010000	24.895880	0.351562	
0.010000	24.825386	0.414062	
0.010000	24.733622	0.445312	
0.010000	24.759747	0.335938	
0.010000	24.789503	0.421875	
0.010000	24.809135	0.367188	
0.010000	24.748171	0.406250	
0.010000	24.748453	0.437500	
0.010000	24.701538	0.460938	
0.010000	24.764339	0.414062	
0.010000	24.827900	0.406250	
0.010000	24.657816	0.445312	
0.010000	24.587030	0.414062	
0.010000	24.519455	0.531250	
0.010000	24.571318	0.437500	
0.010000	24.777882	0.429688	
0.010000	24.675606	0.484375	
0.010000	24.649586	0.507812	
0.010000	24.820906	0.390625	
0.010000	24.783245	0.429688	
0.010000	24.640646	0.445312	
0.010000	24.552673	0.445312	
0.010000	24.557140	0.531250	
0.010000	24.726437	0.484375	
0.010000	24.759241	0.414062	
0.010000	24.737791	0.382812	
0.010000	24.635878	0.492188	
0.010000	24.513460	0.507812	
0.010000	24.646065	0.492188	
0.010000	24.647049	0.460938	
0.010000	24.608341	0.445312	
0.010000	24.416563	0.484375	
0.010000	24.452436	0.515625	
0.010000	24.517746	0.492188	
0.010000	24.676693	0.445312	
0.010000	24.539188	0.492188	
