Learning Rate	Train Loss	Train Acc.	
0.001000	29.076290	0.093750	
0.001000	27.717949	0.101562	
0.001000	27.153479	0.078125	
0.001000	26.281080	0.109375	
0.001000	26.069714	0.093750	
0.001000	25.557076	0.140625	
0.001000	25.585367	0.125000	
0.001000	25.457863	0.125000	
0.001000	25.432915	0.148438	
0.001000	25.318653	0.164062	
0.001000	25.222525	0.156250	
0.001000	25.408407	0.070312	
0.001000	25.281622	0.164062	
0.001000	25.240049	0.156250	
0.001000	25.228100	0.148438	
0.001000	25.228577	0.187500	
0.001000	25.198944	0.187500	
0.001000	25.225750	0.171875	
0.001000	25.228590	0.117188	
0.001000	25.212749	0.171875	
0.001000	25.207350	0.132812	
0.001000	25.242918	0.179688	
0.001000	25.191235	0.156250	
0.001000	25.202888	0.148438	
0.001000	25.192781	0.117188	
0.001000	25.177454	0.148438	
0.001000	25.148699	0.187500	
0.001000	25.149187	0.156250	
0.001000	25.141325	0.179688	
0.001000	25.160442	0.140625	
0.001000	25.128904	0.187500	
0.001000	25.184055	0.101562	
0.001000	25.122574	0.156250	
0.001000	25.091898	0.250000	
0.001000	25.074526	0.218750	
0.001000	25.048405	0.281250	
0.001000	25.095045	0.187500	
0.001000	25.043854	0.187500	
0.001000	25.054974	0.218750	
0.001000	25.009935	0.312500	
0.001000	24.949507	0.257812	
0.001000	24.930243	0.289062	
0.001000	24.913649	0.281250	
0.001000	24.933472	0.312500	
0.001000	24.914953	0.281250	
0.001000	24.836071	0.312500	
0.001000	24.828344	0.320312	
0.001000	24.819433	0.265625	
0.001000	24.817501	0.296875	
0.001000	24.741253	0.375000	
0.001000	24.786894	0.320312	
0.001000	24.534395	0.398438	
0.001000	24.585297	0.414062	
0.001000	24.694988	0.351562	
0.001000	24.533266	0.437500	
0.001000	24.391909	0.414062	
0.001000	24.484913	0.398438	
0.001000	24.528160	0.343750	
0.001000	24.470903	0.367188	
0.001000	24.254566	0.507812	
0.001000	24.512781	0.414062	
0.001000	24.278931	0.484375	
0.001000	24.306789	0.531250	
0.001000	24.021528	0.578125	
0.001000	24.242752	0.484375	
0.001000	24.138407	0.531250	
0.001000	23.978746	0.570312	
0.001000	24.048346	0.554688	
0.001000	23.998552	0.554688	
0.001000	23.998638	0.570312	
0.001000	23.762329	0.679688	
0.001000	23.827980	0.632812	
0.001000	23.723949	0.703125	
0.001000	23.676008	0.687500	
0.001000	23.683069	0.695312	
0.001000	23.601389	0.695312	
0.001000	23.715387	0.671875	
0.001000	23.665854	0.703125	
0.001000	23.737373	0.625000	
0.001000	23.634724	0.734375	
0.001000	23.693840	0.664062	
0.001000	23.462013	0.742188	
0.001000	23.368847	0.781250	
0.001000	23.401226	0.765625	
0.001000	23.281490	0.773438	
0.001000	23.336748	0.789062	
0.001000	23.332731	0.804688	
0.001000	23.319990	0.781250	
0.001000	23.285992	0.812500	
0.001000	23.318899	0.710938	
0.001000	23.670622	0.679688	
0.001000	23.420673	0.765625	
0.001000	23.257885	0.765625	
0.001000	23.294878	0.781250	
0.001000	23.226149	0.765625	
0.001000	23.501884	0.750000	
0.001000	23.376049	0.718750	
0.001000	23.410078	0.734375	
0.001000	23.582417	0.742188	
0.001000	23.455383	0.703125	
0.001000	23.147907	0.789062	
0.001000	23.531069	0.734375	
0.001000	23.346231	0.750000	
0.001000	23.258406	0.812500	
0.001000	23.050180	0.828125	
0.001000	23.138134	0.828125	
0.001000	23.055111	0.804688	
0.001000	23.160362	0.835938	
0.001000	23.220304	0.765625	
0.001000	23.253910	0.773438	
0.001000	23.107843	0.828125	
0.001000	23.255014	0.781250	
0.001000	23.228540	0.789062	
0.001000	23.079573	0.789062	
0.001000	23.201311	0.773438	
0.001000	23.116737	0.820312	
0.001000	22.942421	0.843750	
0.001000	22.941320	0.875000	
0.001000	23.117615	0.789062	
0.001000	22.972078	0.843750	
0.001000	22.974337	0.867188	
0.001000	22.984262	0.820312	
0.001000	22.988529	0.835938	
0.001000	23.104364	0.781250	
0.001000	23.107813	0.812500	
0.001000	23.187216	0.757812	
0.001000	22.927176	0.875000	
0.001000	22.843346	0.906250	
0.001000	22.783718	0.914062	
0.001000	22.859446	0.851562	
0.001000	22.867945	0.867188	
0.001000	22.971260	0.828125	
0.001000	22.970856	0.828125	
0.001000	22.951691	0.835938	
0.001000	22.893576	0.835938	
0.001000	22.714565	0.906250	
0.001000	22.868895	0.835938	
0.001000	23.146292	0.796875	
0.001000	22.977364	0.812500	
0.001000	22.868963	0.851562	
0.001000	22.846003	0.882812	
0.001000	22.776300	0.890625	
0.001000	22.754301	0.875000	
0.001000	22.869951	0.828125	
0.001000	22.719397	0.898438	
0.001000	22.782816	0.882812	
