Learning Rate	Test Loss	Test Acc.	
0.001000	20.873610	0.953125	
0.001000	20.908524	0.945312	
0.001000	20.951000	0.929688	
0.001000	21.016409	0.906250	
0.001000	20.974468	0.914062	
0.001000	21.125708	0.914062	
0.001000	20.890608	0.953125	
0.001000	20.986557	0.914062	
0.001000	20.959553	0.921875	
0.001000	21.009546	0.929688	
0.001000	20.928314	0.929688	
0.001000	20.894548	0.937500	
0.001000	20.923315	0.937500	
0.001000	20.950563	0.937500	
0.001000	20.912497	0.929688	
0.001000	20.810495	0.960938	
0.001000	21.062580	0.898438	
0.001000	20.893768	0.945312	
0.001000	20.860071	0.929688	
0.001000	20.831144	0.953125	
0.001000	20.896111	0.937500	
0.001000	20.866268	0.906250	
0.001000	20.777321	0.960938	
0.001000	20.817154	0.937500	
0.001000	20.781467	0.937500	
0.001000	20.806808	0.937500	
0.001000	20.768639	0.953125	
0.001000	20.938196	0.921875	
0.001000	20.761827	0.953125	
0.001000	20.924524	0.914062	
0.001000	20.912302	0.906250	
0.001000	20.828657	0.937500	
0.001000	20.731865	0.953125	
0.001000	20.815006	0.929688	
0.001000	20.779989	0.945312	
0.001000	20.720486	0.945312	
0.001000	20.787489	0.945312	
0.001000	20.826969	0.929688	
0.001000	20.766853	0.929688	
0.001000	20.679245	0.953125	
0.001000	20.670599	0.960938	
0.001000	20.624161	0.984375	
0.001000	20.561737	1.000000	
0.001000	20.625528	0.968750	
0.001000	20.706133	0.953125	
0.001000	20.598097	0.984375	
0.001000	20.835861	0.921875	
0.001000	20.771629	0.921875	
0.001000	20.635252	0.960938	
0.001000	20.539722	0.984375	
0.001000	20.599882	0.984375	
0.001000	20.848946	0.898438	
0.001000	20.617029	0.953125	
0.001000	20.607967	0.953125	
0.001000	20.612026	0.976562	
0.001000	20.521818	0.984375	
0.001000	20.597029	0.945312	
0.001000	20.509537	0.992188	
0.001000	20.614250	0.945312	
0.001000	20.483309	1.000000	
0.001000	20.496695	0.984375	
0.001000	20.691452	0.929688	
0.001000	20.517258	0.976562	
0.001000	20.641418	0.921875	
0.001000	20.562029	0.976562	
0.001000	20.509106	0.968750	
0.001000	20.480562	0.968750	
0.001000	20.433092	0.992188	
0.001000	20.413551	1.000000	
0.001000	20.416264	0.992188	
0.001000	20.588507	0.953125	
0.001000	20.411730	1.000000	
0.001000	20.491989	0.976562	
0.001000	20.403467	0.992188	
0.001000	20.476883	0.968750	
0.001000	20.663809	0.906250	
0.001000	20.593769	0.929688	
0.001000	20.626028	0.921875	
0.001000	20.493595	0.937500	
0.001000	17.935534	0.992188	
0.001000	17.997099	0.976562	
0.001000	18.029036	0.968750	
0.001000	18.010138	0.953125	
0.001000	18.106731	0.945312	
0.001000	18.006285	0.968750	
0.001000	17.945215	0.976562	
0.001000	17.994696	0.953125	
0.001000	18.056412	0.929688	
0.001000	18.090553	0.937500	
0.001000	17.965492	0.945312	
0.001000	17.934011	0.968750	
0.001000	17.948206	0.968750	
0.001000	18.036100	0.960938	
0.001000	17.930639	0.968750	
0.001000	18.069630	0.929688	
0.001000	18.001120	0.929688	
0.001000	17.963146	0.953125	
0.001000	17.882812	0.968750	
0.001000	17.873610	0.953125	
0.001000	17.946783	0.945312	
0.001000	17.936878	0.960938	
0.001000	17.923452	0.960938	
0.001000	17.942732	0.921875	
0.001000	17.863321	0.945312	
0.001000	17.865269	0.984375	
0.001000	17.822372	0.976562	
0.001000	17.969109	0.953125	
0.001000	17.839527	0.976562	
0.001000	17.926844	0.953125	
0.001000	17.833893	0.976562	
0.001000	17.811623	0.976562	
0.001000	17.866117	0.968750	
0.001000	17.897421	0.937500	
0.001000	17.791039	0.976562	
0.001000	17.803484	0.960938	
0.001000	17.851965	0.960938	
0.001000	17.785982	0.968750	
0.001000	17.852070	0.976562	
0.001000	17.740879	0.984375	
0.001000	17.717657	0.984375	
0.001000	17.690748	1.000000	
0.001000	17.687939	1.000000	
0.001000	17.743124	0.984375	
0.001000	17.803381	0.960938	
0.001000	17.722553	0.976562	
0.001000	17.803644	0.953125	
0.001000	17.790588	0.960938	
0.001000	17.716217	0.984375	
0.001000	17.655869	0.992188	
0.001000	17.648972	1.000000	
0.001000	17.850227	0.937500	
0.001000	17.654528	1.000000	
0.001000	17.655514	0.992188	
0.001000	17.644176	0.992188	
0.001000	17.636793	0.992188	
0.001000	17.653084	0.984375	
0.001000	17.635145	0.984375	
0.001000	17.653458	0.976562	
0.001000	17.605164	0.984375	
0.001000	17.634064	0.992188	
0.001000	17.635181	0.984375	
0.001000	17.593103	1.000000	
0.001000	17.629974	0.976562	
0.001000	17.627882	0.976562	
0.001000	17.591705	0.992188	
0.001000	17.613632	0.976562	
0.001000	17.549175	1.000000	
0.001000	17.548420	0.992188	
0.001000	17.537189	1.000000	
0.001000	17.569809	0.984375	
0.001000	17.526617	1.000000	
0.001000	17.547630	0.984375	
0.001000	17.521465	1.000000	
0.001000	17.519133	0.992188	
0.001000	17.778507	0.929688	
0.001000	17.603731	0.976562	
0.001000	17.612530	0.960938	
0.001000	17.493622	1.000000	
