Learning Rate	Train Loss	Train Acc.	
0.001000	30.606562	0.132812	
0.001000	30.347179	0.093750	
0.001000	29.142731	0.148438	
0.001000	28.480238	0.156250	
0.001000	28.654322	0.093750	
0.001000	28.528551	0.093750	
0.001000	28.421068	0.109375	
0.001000	27.730740	0.140625	
0.001000	27.773483	0.101562	
0.001000	27.565271	0.117188	
0.001000	27.130928	0.117188	
0.001000	26.937870	0.171875	
0.001000	27.073380	0.078125	
0.001000	27.710381	0.109375	
0.001000	27.004421	0.132812	
0.001000	27.207005	0.101562	
0.001000	27.042355	0.109375	
0.001000	26.800667	0.148438	
0.001000	26.871431	0.148438	
0.001000	26.852495	0.117188	
0.001000	26.645679	0.101562	
0.001000	27.015343	0.062500	
0.001000	26.750597	0.070312	
0.001000	26.426107	0.109375	
0.001000	26.715912	0.125000	
0.001000	26.590025	0.070312	
0.001000	26.614922	0.085938	
0.001000	26.482777	0.125000	
0.001000	26.705626	0.093750	
0.001000	26.410364	0.109375	
0.001000	26.295702	0.101562	
0.001000	26.338825	0.085938	
0.001000	26.572239	0.093750	
0.001000	26.404270	0.132812	
0.001000	26.414413	0.109375	
0.001000	26.485191	0.039062	
0.001000	26.873716	0.085938	
0.001000	26.539818	0.101562	
0.001000	26.228615	0.109375	
0.001000	26.532207	0.070312	
0.001000	26.285786	0.085938	
0.001000	26.185627	0.101562	
0.001000	26.125828	0.171875	
0.001000	26.410276	0.093750	
0.001000	26.046478	0.078125	
0.001000	26.179771	0.039062	
0.001000	26.420523	0.054688	
0.001000	26.066685	0.109375	
0.001000	26.252853	0.117188	
0.001000	26.179432	0.117188	
0.001000	26.120943	0.093750	
0.001000	26.278965	0.085938	
0.001000	26.111036	0.101562	
0.001000	25.999561	0.125000	
0.001000	25.954863	0.117188	
0.001000	26.159679	0.078125	
0.001000	25.980862	0.062500	
0.001000	25.893021	0.085938	
0.001000	26.070610	0.085938	
0.001000	26.124500	0.132812	
0.001000	25.963558	0.093750	
0.001000	25.878086	0.109375	
0.001000	25.862209	0.117188	
0.001000	25.872276	0.148438	
0.001000	25.974327	0.085938	
0.001000	25.938465	0.070312	
0.001000	25.957582	0.101562	
0.001000	25.879452	0.070312	
0.001000	25.919382	0.085938	
0.001000	25.796715	0.125000	
0.001000	25.847569	0.101562	
0.001000	25.760899	0.164062	
0.001000	25.610859	0.117188	
0.001000	25.763956	0.093750	
0.001000	26.085674	0.140625	
0.001000	25.910158	0.109375	
0.001000	26.054146	0.054688	
0.001000	26.005558	0.117188	
0.001000	25.844078	0.109375	
0.001000	25.964035	0.117188	
0.001000	25.829487	0.156250	
0.001000	25.977562	0.132812	
0.001000	25.849642	0.085938	
0.001000	25.832315	0.101562	
0.001000	25.807175	0.109375	
0.001000	25.759600	0.078125	
0.001000	25.974586	0.109375	
0.001000	25.696301	0.125000	
0.001000	25.635414	0.117188	
0.001000	25.770229	0.078125	
0.001000	25.833241	0.093750	
0.001000	25.824245	0.085938	
0.001000	25.775869	0.125000	
0.001000	25.703959	0.101562	
0.001000	25.718960	0.125000	
0.001000	25.985369	0.101562	
0.001000	25.736462	0.109375	
0.001000	25.754751	0.109375	
0.001000	25.731771	0.078125	
0.001000	25.682140	0.132812	
0.001000	25.631989	0.148438	
0.001000	25.761002	0.171875	
0.001000	25.709654	0.140625	
0.001000	25.749063	0.085938	
0.001000	25.795332	0.085938	
0.001000	25.993977	0.101562	
