Learning Rate	Train Loss	Train Acc.	
0.001000	29.224543	0.132812	
0.001000	28.308809	0.156250	
0.001000	28.388512	0.101562	
0.001000	27.959278	0.117188	
0.001000	27.807381	0.140625	
0.001000	27.732323	0.101562	
0.001000	27.341970	0.117188	
0.001000	27.603642	0.093750	
0.001000	27.229420	0.109375	
0.001000	27.238510	0.109375	
0.001000	27.054216	0.085938	
0.001000	26.898508	0.078125	
0.001000	26.692408	0.062500	
0.001000	26.745480	0.101562	
0.001000	26.780956	0.109375	
0.001000	26.527611	0.101562	
0.001000	26.501282	0.093750	
0.001000	26.919146	0.101562	
0.001000	26.482388	0.085938	
0.001000	26.695818	0.078125	
0.001000	26.250830	0.125000	
0.001000	25.943863	0.140625	
0.001000	26.247126	0.109375	
0.001000	26.294415	0.093750	
0.001000	25.828514	0.125000	
0.001000	25.914249	0.132812	
0.001000	26.085754	0.171875	
0.001000	26.201527	0.078125	
0.001000	26.228632	0.062500	
0.001000	26.194496	0.070312	
0.001000	26.075447	0.125000	
0.001000	26.146185	0.117188	
0.001000	26.125702	0.093750	
0.001000	26.236786	0.117188	
0.001000	26.190128	0.125000	
0.001000	25.913967	0.132812	
0.001000	25.833975	0.132812	
0.001000	25.822971	0.140625	
0.001000	25.894566	0.171875	
0.001000	25.954365	0.156250	
0.001000	25.904797	0.132812	
0.001000	26.268311	0.085938	
0.001000	25.947338	0.093750	
0.001000	25.845217	0.093750	
0.001000	25.672884	0.117188	
0.001000	25.914467	0.117188	
0.001000	25.829147	0.101562	
0.001000	25.915226	0.156250	
0.001000	25.745605	0.148438	
0.001000	25.710516	0.093750	
0.001000	25.761974	0.132812	
0.001000	25.729866	0.117188	
0.001000	25.581955	0.132812	
0.001000	25.760094	0.046875	
0.001000	25.996170	0.101562	
0.001000	25.751003	0.101562	
0.001000	25.877449	0.054688	
0.001000	25.747917	0.117188	
0.001000	25.608173	0.132812	
0.001000	25.646082	0.101562	
0.001000	25.844418	0.078125	
0.001000	25.934685	0.039062	
0.001000	25.556133	0.093750	
0.001000	25.558125	0.132812	
0.001000	25.731277	0.085938	
0.001000	25.724922	0.101562	
0.001000	25.649250	0.140625	
0.001000	25.771866	0.109375	
0.001000	25.608667	0.140625	
0.001000	25.613308	0.132812	
0.001000	25.801018	0.062500	
0.001000	25.782030	0.125000	
0.001000	25.627913	0.117188	
0.001000	25.706045	0.171875	
0.001000	25.596460	0.171875	
