Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.184487	2.277365	12.828333	2.276494	12.540000	95.416253	
0.100000	1.078499	2.235372	19.323334	2.233492	19.430000	184.203941	
0.100000	0.981490	2.187798	42.529999	2.184991	43.029999	274.266171	
0.100000	0.917580	2.133931	61.488335	2.129932	62.790001	363.699814	
0.100000	0.886645	2.076359	73.165001	2.071079	74.650002	447.481401	
0.100000	0.840025	2.011512	79.811668	2.004881	81.260002	529.065320	
0.100000	0.806136	1.947606	83.493332	1.939666	84.970001	612.609962	
0.100000	0.775004	1.865662	86.663330	1.855915	87.239998	701.970690	
0.100000	0.744993	1.785019	88.566666	1.773869	89.430000	788.229523	
0.100000	0.741946	1.705593	89.518333	1.692530	90.459999	874.540522	
