Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	0.937310	2.246625	29.893333	2.245142	31.309999	61.474864	
0.100000	0.768975	2.163522	63.331665	2.160280	63.869999	121.643647	
0.100000	0.661737	2.019096	76.120003	2.013183	76.820000	181.514970	
0.100000	0.607608	1.844742	87.941666	1.836356	88.570000	240.823871	
0.100000	0.570807	1.623303	91.760002	1.611810	92.470001	300.461445	
0.100000	0.547289	1.368999	93.848335	1.354547	94.360001	360.935044	
0.100000	0.535066	1.159297	94.839996	1.142863	95.320000	422.860097	
0.100000	0.509439	0.950904	95.411667	0.932238	95.699997	482.013979	
0.100000	0.496892	0.778688	95.701668	0.759528	95.860001	544.418515	
0.100000	0.493335	0.638871	95.943336	0.620542	96.080002	605.485428	
