Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.969359	2.262252	21.610001	2.261602	21.330000	575.064028	
0.100000	1.785750	2.206117	46.173332	2.204392	46.040001	1147.529796	
0.100000	1.619050	2.136348	58.983334	2.133215	58.869999	1713.338124	
0.100000	1.492215	2.054242	70.970001	2.049364	71.970001	2201.466030	
0.100000	1.384736	1.961750	76.581665	1.955082	77.389999	2679.901970	
0.100000	1.317133	1.865141	79.680000	1.856669	80.500000	3236.512396	
0.100000	1.239017	1.755911	81.996666	1.745502	83.010002	3749.743657	
0.100000	1.189724	1.647700	83.673332	1.635314	84.550003	4257.740073	
0.100000	1.116967	1.526919	85.088333	1.512486	85.720001	4752.416053	
0.100000	1.082809	1.410292	86.129997	1.393922	86.610001	5269.799189	
