Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.225279	2.269098	12.436666	2.268345	12.340000	83.353359	
0.100000	1.032270	2.211388	38.310001	2.209435	39.150002	170.086699	
0.100000	0.917819	2.131147	64.651665	2.128088	65.860001	257.356715	
0.100000	0.829657	2.029133	79.794998	2.023835	81.040001	341.102761	
0.100000	0.782720	1.893531	87.095001	1.885097	88.120003	428.222842	
0.100000	0.732198	1.740124	90.425003	1.727755	91.500000	512.841420	
0.100000	0.693670	1.575966	92.238335	1.560515	93.099998	596.188824	
0.100000	0.678885	1.390381	93.586670	1.371651	94.139999	679.914208	
0.100000	0.647612	1.231180	94.153336	1.209924	94.669998	765.073132	
0.100000	0.616484	1.075635	94.654999	1.052486	95.089996	846.724999	
