Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.109876	1.360119	84.006668	1.343081	85.480003	152.166944	
0.100000	0.708663	0.326316	93.801666	0.303061	94.449997	305.292262	
0.100000	0.571529	0.200743	95.343330	0.183931	95.589996	458.062162	
0.100000	0.521241	0.163269	95.948334	0.148457	96.430000	610.145917	
0.100000	0.510609	0.150025	96.279999	0.138327	96.339996	765.042948	
0.100000	0.517530	0.149637	96.248337	0.138058	96.300003	918.497112	
0.100000	0.567643	0.159831	95.945000	0.149197	96.220001	1071.657733	
0.100000	0.627993	0.160326	96.091667	0.150820	96.120003	1223.601179	
0.100000	0.692334	0.185272	95.836670	0.175763	96.029999	1376.803336	
0.100000	0.768198	0.205700	95.110001	0.196186	95.300003	1528.796168	
