Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.554345	2.312103	9.873333	2.312545	9.950000	557.385007	
0.100000	1.426057	2.283645	12.855000	2.283442	13.170000	1125.044671	
0.100000	1.330023	2.249179	18.786667	2.248090	19.620001	1668.447479	
0.100000	1.256743	2.212160	28.900000	2.210270	29.530001	2218.974021	
0.100000	1.202150	2.180420	35.695000	2.177610	36.540001	2709.334867	
0.100000	1.161305	2.146481	40.536667	2.142536	40.730000	3206.355123	
0.100000	1.131453	2.125231	41.099998	2.120591	41.209999	3703.744148	
0.100000	1.097955	2.103937	40.994999	2.098301	41.220001	4267.412990	
0.100000	1.100918	2.078673	40.898335	2.072070	41.020000	4767.275239	
0.100000	1.096703	2.064931	39.366665	2.057722	39.669998	5293.309158	
