Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.600523	2.252579	30.373333	2.251604	30.090000	392.902625	
0.100000	1.377444	2.172491	61.259998	2.170322	61.959999	831.866724	
0.100000	1.210321	2.063223	70.976669	2.059129	71.510002	1245.014332	
0.100000	1.109369	1.932869	78.551666	1.926076	79.300003	1604.785244	
0.100000	1.035994	1.790762	83.934998	1.781081	84.550003	1963.562698	
0.100000	0.970212	1.634770	87.294998	1.622313	88.019997	2326.837318	
0.100000	0.924525	1.481984	89.160004	1.466686	89.970001	2683.999841	
0.100000	0.877816	1.319167	90.371666	1.300736	91.010002	3047.260555	
0.100000	0.842268	1.173243	91.269997	1.152452	91.750000	3473.708110	
0.100000	0.800048	1.039862	91.861664	1.017332	92.440002	3862.338178	
