Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000077	2.292001	9.536667	11.410000	
0.000076	2.280432	11.303333	12.970000	
0.000076	2.267225	13.925000	18.040000	
0.000075	2.248584	20.361667	28.130000	
0.000075	2.227992	28.950000	34.160000	
0.000074	2.206514	35.108333	40.990000	
0.000073	2.183240	42.820000	50.020000	
0.000073	2.158929	50.340000	53.750000	
0.000072	2.132630	53.976667	56.200000	
0.000071	2.102797	56.481667	58.520000	
0.000070	2.069027	58.706667	59.820000	
0.000069	2.030562	59.946667	61.120000	
0.000067	1.986702	61.148333	62.480000	
0.000066	1.935913	62.371667	63.700000	
0.000064	1.878446	63.835000	65.470000	
