Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000918	0.002769	31.148000	15.320000	8.613345	0.000315	
0.000712	0.001794	47.696000	38.100000	9.636577	0.000137	
0.000595	0.001233	56.868000	56.030000	9.505287	0.000103	
0.000492	0.001587	64.834000	52.880000	9.141328	0.000085	
0.000427	0.000877	69.458000	69.760000	8.892581	0.000074	
0.000366	0.001011	73.962000	65.810000	8.424811	0.000067	
0.000326	0.000951	77.224000	69.490000	8.211243	0.000061	
0.000298	0.000758	79.266000	74.560000	7.686301	0.000056	
0.000259	0.000645	81.976000	78.970000	6.980871	0.000052	
0.000241	0.000648	83.236000	78.210000	7.333628	0.000049	
0.000224	0.000615	84.380000	79.410000	6.970771	0.000047	
0.000213	0.000610	85.134000	79.990000	6.947586	0.000044	
0.000192	0.000645	86.572000	78.970000	6.413739	0.000042	
0.000182	0.000518	87.496000	83.030000	6.873632	0.000041	
0.000172	0.000598	88.062000	80.440000	6.662364	0.000039	
0.000162	0.000538	88.474000	82.680000	6.498323	0.000038	
0.000150	0.000507	89.524000	83.830000	6.348032	0.000036	
0.000143	0.000472	90.058000	84.540000	6.159725	0.000035	
0.000135	0.000509	90.570000	83.310000	6.124934	0.000034	
0.000131	0.000490	90.872000	84.130000	6.279422	0.000033	
0.000125	0.000459	91.184000	85.220000	6.091318	0.000032	
0.000113	0.000491	92.136000	84.760000	5.893988	0.000031	
0.000108	0.000638	92.524000	80.880000	5.984028	0.000031	
0.000106	0.000605	92.538000	82.760000	6.087028	0.000030	
0.000099	0.000422	93.092000	86.940000	6.026568	0.000029	
0.000097	0.000646	93.220000	81.760000	5.869544	0.000029	
0.000091	0.000488	93.614000	85.910000	5.817285	0.000028	
0.000087	0.000453	93.940000	86.610000	5.780099	0.000028	
0.000083	0.000448	94.090000	86.800000	5.824741	0.000027	
0.000079	0.000461	94.512000	86.290000	5.559176	0.000026	
0.000076	0.000496	94.592000	86.160000	5.784112	0.000026	
0.000068	0.000510	95.206000	85.900000	5.391934	0.000026	
0.000070	0.000652	94.996000	82.830000	5.580232	0.000025	
0.000069	0.000418	95.078000	87.740000	5.766764	0.000025	
0.000062	0.000435	95.618000	87.900000	5.233323	0.000024	
0.000054	0.000482	96.186000	86.650000	5.089993	0.000024	
0.000056	0.000565	96.074000	85.280000	5.415372	0.000024	
0.000050	0.000549	96.510000	86.480000	5.014288	0.000023	
0.000048	0.000564	96.628000	85.610000	5.024771	0.000023	
0.000051	0.000527	96.360000	86.360000	5.436398	0.000023	
0.000049	0.000473	96.520000	87.570000	5.238928	0.000022	
0.000045	0.000543	96.864000	86.000000	4.963843	0.000022	
0.000042	0.000454	97.070000	88.130000	5.015698	0.000022	
0.000043	0.000560	96.962000	85.940000	5.122858	0.000021	
0.000042	0.000482	97.030000	87.950000	5.191403	0.000021	
0.000038	0.000456	97.264000	88.180000	4.834366	0.000021	
0.000036	0.000429	97.496000	89.120000	4.690761	0.000021	
0.000036	0.000497	97.482000	87.440000	4.824488	0.000020	
