Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001418	0.030783	12.202000	12.500000	
0.001057	0.002149	19.790000	20.910000	
0.000980	0.001890	24.712000	29.670000	
0.000910	0.002007	30.134000	28.410000	
0.000858	0.001805	35.208000	34.280000	
0.000780	0.001630	41.478000	41.340000	
0.000737	0.001421	44.998000	47.110000	
0.000682	0.001458	49.670000	46.600000	
0.000634	0.001231	53.660000	56.030000	
0.000586	0.001188	57.546000	58.310000	
0.000540	0.001153	60.880000	59.820000	
0.000491	0.000992	64.708000	64.080000	
0.000447	0.000969	68.068000	66.870000	
0.000424	0.001004	69.772000	65.670000	
0.000394	0.000907	72.168000	69.510000	
0.000358	0.000754	74.634000	74.060000	
0.000332	0.000787	76.564000	73.330000	
0.000312	0.000690	78.170000	76.590000	
0.000285	0.000798	80.282000	74.120000	
0.000268	0.000725	81.214000	76.040000	
0.000253	0.000752	82.254000	75.500000	
0.000241	0.000695	83.116000	76.780000	
0.000228	0.000568	84.086000	80.850000	
0.000214	0.000586	85.112000	80.650000	
0.000206	0.000688	85.468000	78.300000	
0.000198	0.000559	86.040000	81.340000	
0.000187	0.000589	86.838000	81.670000	
0.000179	0.000615	87.486000	81.040000	
0.000172	0.000576	87.874000	81.950000	
0.000164	0.000542	88.530000	82.270000	
0.000157	0.000515	89.042000	83.770000	
0.000150	0.000524	89.446000	83.700000	
0.000141	0.000524	90.062000	83.960000	
0.000134	0.000559	90.652000	82.780000	
0.000132	0.000538	90.642000	83.960000	
0.000126	0.000527	91.104000	83.850000	
0.000118	0.000548	91.740000	84.270000	
0.000115	0.000504	91.884000	85.230000	
0.000111	0.000549	92.158000	83.900000	
0.000105	0.000496	92.554000	85.490000	
0.000101	0.000467	92.900000	85.610000	
0.000098	0.000455	93.064000	87.010000	
0.000092	0.000478	93.462000	85.780000	
0.000088	0.000481	93.842000	86.180000	
0.000086	0.000506	93.970000	85.850000	
0.000085	0.000458	93.986000	86.520000	
0.000077	0.000464	94.590000	86.750000	
0.000075	0.000460	94.644000	86.750000	
0.000074	0.000446	94.772000	87.410000	
0.000069	0.000532	95.112000	85.510000	
0.000069	0.000595	95.028000	85.290000	
0.000062	0.000543	95.606000	85.900000	
0.000062	0.000464	95.582000	87.860000	
0.000056	0.000475	95.990000	87.280000	
0.000055	0.000610	96.042000	85.260000	
0.000055	0.000589	96.126000	85.890000	
0.000054	0.000539	96.120000	86.330000	
0.000050	0.000502	96.334000	87.260000	
0.000048	0.000550	96.570000	86.950000	
0.000048	0.000531	96.670000	86.920000	
0.000043	0.000523	96.960000	87.730000	
0.000041	0.000494	97.068000	88.200000	
0.000040	0.000548	97.134000	87.200000	
