Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000300	0.002313	19.498000	10.000000	6.980538	0.000005	
0.000259	0.002470	29.660000	10.000000	12.260798	0.000003	
0.000232	0.002816	37.312000	12.510000	7.806049	0.000002	
0.000217	0.002956	42.012000	16.550000	9.665271	0.000002	
0.000202	0.001820	46.002000	35.760000	8.239527	0.000001	
0.000186	0.001594	51.096000	42.290000	8.355440	0.000001	
0.000173	0.001324	54.768000	52.320000	9.745235	0.000001	
0.000163	0.001590	57.718000	51.170000	10.883853	0.000001	
0.000153	0.001357	60.672000	53.500000	10.193340	0.000001	
0.000143	0.001101	63.118000	61.400000	8.386141	0.000001	
0.000133	0.001001	65.902000	64.150000	8.576261	0.000001	
0.000128	0.001284	66.932000	58.720000	9.815209	0.000001	
0.000118	0.001272	69.826000	58.220000	7.955926	0.000001	
0.000110	0.001040	71.962000	65.220000	7.118420	0.000001	
0.000103	0.000990	74.084000	66.760000	7.289551	0.000001	
0.000098	0.001156	75.204000	63.500000	8.652871	0.000001	
0.000096	0.000959	75.752000	69.000000	9.006171	0.000001	
0.000092	0.000970	76.870000	67.300000	8.523363	0.000001	
0.000087	0.001112	78.392000	64.880000	7.908004	0.000001	
0.000084	0.001090	79.054000	67.080000	8.511723	0.000001	
0.000080	0.000880	80.188000	71.790000	7.293831	0.000001	
0.000075	0.000835	81.324000	71.670000	7.123664	0.000001	
0.000073	0.000772	81.552000	73.470000	7.607956	0.000001	
0.000070	0.001176	82.438000	68.640000	7.090181	0.000001	
0.000066	0.000748	83.430000	76.390000	7.281551	0.000001	
0.000067	0.000742	83.178000	76.170000	7.926609	0.000001	
0.000063	0.000632	84.388000	79.360000	6.942166	0.000001	
0.000059	0.000608	85.536000	80.270000	6.336491	0.000001	
0.000058	0.000646	85.706000	79.420000	6.785938	0.000001	
0.000056	0.000686	86.256000	78.760000	6.683548	0.000001	
0.000053	0.000753	86.688000	76.450000	6.712635	0.000001	
0.000054	0.000937	86.800000	73.540000	7.694438	0.000001	
0.000052	0.000590	86.914000	80.520000	6.825160	0.000001	
0.000049	0.000634	88.056000	79.560000	6.237161	0.000000	
0.000048	0.000625	87.940000	79.580000	6.634728	0.000000	
0.000045	0.000485	88.740000	84.060000	6.195176	0.000000	
0.000044	0.000539	89.220000	82.870000	6.098448	0.000000	
0.000044	0.000568	89.284000	82.370000	6.618976	0.000000	
0.000044	0.000639	89.102000	79.950000	6.797146	0.000000	
0.000042	0.000553	89.528000	82.690000	6.792714	0.000000	
0.000041	0.000638	89.784000	80.420000	6.536026	0.000000	
0.000041	0.000583	89.830000	82.520000	6.451066	0.000000	
0.000040	0.000824	89.974000	77.310000	6.590823	0.000000	
0.000040	0.000542	90.154000	82.860000	6.806129	0.000000	
0.000038	0.000649	90.566000	81.030000	6.422710	0.000000	
0.000036	0.000748	90.766000	77.760000	6.302334	0.000000	
0.000036	0.000535	91.134000	83.310000	5.873876	0.000000	
0.000035	0.000561	91.588000	83.120000	6.066081	0.000000	
0.000034	0.000492	91.404000	84.610000	6.613691	0.000000	
0.000033	0.000516	91.674000	84.310000	6.068058	0.000000	
0.000031	0.000655	92.364000	81.440000	5.812104	0.000000	
0.000030	0.000589	92.422000	82.860000	5.883678	0.000000	
0.000029	0.000474	92.694000	85.580000	5.494703	0.000000	
0.000030	0.000615	92.482000	82.300000	6.322956	0.000000	
0.000029	0.000562	92.806000	83.590000	5.887742	0.000000	
0.000028	0.000577	92.946000	82.920000	6.321360	0.000000	
0.000028	0.000490	92.838000	85.370000	6.374579	0.000000	
0.000028	0.000653	93.280000	81.760000	6.205982	0.000000	
0.000028	0.000520	93.100000	84.510000	6.467880	0.000000	
0.000027	0.000760	93.536000	79.580000	5.983105	0.000000	
0.000027	0.000581	93.346000	83.280000	5.947267	0.000000	
0.000026	0.000545	93.478000	84.380000	6.357300	0.000000	
0.000026	0.000572	93.526000	83.900000	6.351300	0.000000	
0.000024	0.000525	93.864000	85.160000	5.523694	0.000000	
0.000024	0.000602	94.044000	83.150000	5.957183	0.000000	
0.000023	0.000482	94.242000	85.730000	5.628591	0.000000	
0.000022	0.000491	94.564000	86.200000	5.309920	0.000000	
0.000021	0.000579	94.730000	84.580000	5.179500	0.000000	
0.000021	0.000462	94.976000	86.980000	5.516471	0.000000	
0.000019	0.000500	94.980000	85.990000	5.146339	0.000000	
0.000020	0.000544	95.198000	85.170000	5.212888	0.000000	
0.000020	0.000668	95.206000	82.660000	5.360034	0.000000	
0.000018	0.000465	95.404000	87.120000	5.222966	0.000000	
0.000018	0.000477	95.546000	87.080000	5.149528	0.000000	
0.000018	0.000591	95.670000	84.740000	5.505704	0.000000	
0.000018	0.000436	95.452000	87.320000	5.718301	0.000000	
0.000018	0.000516	95.560000	85.900000	5.763284	0.000000	
0.000018	0.000552	95.374000	85.590000	5.737037	0.000000	
0.000017	0.000468	95.632000	87.190000	5.425490	0.000000	
0.000016	0.000548	95.852000	86.190000	5.529282	0.000000	
0.000015	0.000384	96.402000	89.200000	4.836594	0.000000	
0.000012	0.000369	97.118000	89.510000	3.772765	0.000000	
0.000010	0.000355	97.686000	89.980000	3.158817	0.000000	
0.000010	0.000349	97.840000	89.950000	3.159554	0.000000	
0.000009	0.000343	97.960000	90.110000	2.934330	0.000000	
0.000009	0.000340	98.088000	90.120000	2.940790	0.000000	
0.000009	0.000337	98.160000	90.210000	2.720912	0.000000	
0.000009	0.000338	98.178000	90.360000	2.957907	0.000000	
0.000009	0.000340	98.144000	90.220000	2.850844	0.000000	
0.000008	0.000340	98.294000	90.250000	2.737488	0.000000	
0.000008	0.000338	98.300000	90.230000	2.986022	0.000000	
0.000008	0.000344	98.416000	90.200000	2.829487	0.000000	
0.000008	0.000342	98.376000	90.130000	2.774328	0.000000	
0.000008	0.000344	98.354000	90.200000	2.710631	0.000000	
0.000008	0.000344	98.434000	90.180000	2.822486	0.000000	
0.000008	0.000345	98.440000	90.210000	2.746794	0.000000	
0.000007	0.000342	98.444000	90.320000	2.776459	0.000000	
0.000007	0.000343	98.520000	90.310000	2.409499	0.000000	
0.000007	0.000343	98.544000	90.360000	2.633407	0.000000	
0.000007	0.000344	98.556000	90.160000	2.533347	0.000000	
0.000007	0.000342	98.626000	90.410000	2.536940	0.000000	
0.000007	0.000343	98.626000	90.440000	2.801114	0.000000	
0.000007	0.000346	98.638000	90.290000	2.953312	0.000000	
0.000006	0.000352	98.712000	90.250000	2.667879	0.000000	
0.000007	0.000356	98.630000	90.240000	2.682402	0.000000	
0.000006	0.000352	98.666000	90.250000	2.674367	0.000000	
0.000006	0.000352	98.706000	90.380000	2.682523	0.000000	
0.000006	0.000347	98.822000	90.400000	2.700185	0.000000	
0.000007	0.000349	98.840000	90.200000	2.822870	0.000000	
0.000006	0.000348	98.734000	90.370000	2.592151	0.000000	
