Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000750	0.603012	60.753333	80.750000	
0.000174	0.231074	89.390000	93.020000	
0.000105	0.164698	93.696667	95.180000	
0.000078	0.138916	95.401667	95.710000	
0.000065	0.124443	96.218333	96.290000	
0.000055	0.094531	96.751667	97.060000	
0.000048	0.089390	97.150000	97.210000	
0.000044	0.083453	97.395000	97.450000	
0.000040	0.068072	97.600000	97.860000	
0.000037	0.069074	97.850000	97.840000	
0.000034	0.064245	97.938333	97.900000	
0.000032	0.058791	98.093333	98.060000	
0.000030	0.054151	98.221667	98.260000	
0.000028	0.054668	98.320000	98.210000	
0.000027	0.055167	98.400000	98.260000	
