Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000077	2.281833	10.183333	11.630000	
0.000075	2.010306	16.200000	37.380000	
0.000064	1.500541	42.328333	58.730000	
0.000048	1.898956	59.013333	50.460000	
0.000075	2.957807	51.181667	39.450000	
0.000081	1.600380	40.275000	59.580000	
0.000050	1.063720	62.645000	70.880000	
0.000032	0.614208	75.191667	84.220000	
0.000019	0.446356	84.393333	86.940000	
0.000015	0.386402	86.573333	88.160000	
0.000014	0.447998	86.898333	84.150000	
0.000017	0.573459	82.733333	82.820000	
0.000015	0.346870	85.761667	88.720000	
0.000012	0.284736	89.195000	91.610000	
0.000010	0.257826	91.295000	92.510000	
