Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000918	0.002794	30.750000	15.900000	
0.000714	0.001487	47.374000	48.260000	
0.000591	0.001345	57.126000	56.230000	
0.000497	0.001512	64.338000	51.990000	
0.000430	0.001102	69.160000	63.920000	
0.000373	0.000788	73.520000	72.160000	
0.000329	0.000868	76.964000	72.440000	
0.000299	0.000655	78.988000	77.780000	
0.000272	0.000980	81.234000	70.690000	
0.000254	0.000622	82.166000	78.590000	
0.000234	0.000650	83.750000	78.400000	
0.000218	0.000597	84.904000	80.310000	
0.000202	0.000667	85.852000	78.180000	
0.000193	0.000547	86.614000	81.790000	
0.000180	0.000673	87.522000	79.140000	
0.000170	0.000535	88.148000	82.490000	
0.000165	0.000460	88.620000	84.860000	
0.000151	0.000526	89.512000	83.330000	
0.000142	0.000504	90.088000	84.510000	
0.000138	0.000498	90.370000	84.160000	
