Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001222	0.217719	16.290000	9.700000	
0.000951	0.001910	27.404000	29.130000	
0.000874	0.001808	34.128000	33.990000	
0.000795	0.001684	40.528000	39.820000	
0.000731	0.001487	45.742000	46.240000	
0.000678	0.001462	50.134000	46.770000	
0.000629	0.001357	54.540000	51.600000	
0.000572	0.001263	58.754000	54.770000	
0.000512	0.001111	63.134000	61.450000	
0.000481	0.001041	65.740000	63.460000	
0.000447	0.000979	68.176000	66.340000	
0.000422	0.001082	70.092000	63.650000	
0.000389	0.000875	72.502000	71.040000	
0.000361	0.001123	74.762000	65.700000	
0.000339	0.000866	76.226000	71.180000	
0.000317	0.000749	77.720000	75.330000	
0.000301	0.000755	78.790000	74.580000	
0.000285	0.000768	80.074000	74.150000	
0.000261	0.000659	81.692000	78.320000	
0.000249	0.000664	82.488000	78.110000	
0.000234	0.000658	83.516000	78.030000	
0.000217	0.000561	84.816000	81.000000	
0.000207	0.000676	85.470000	78.010000	
0.000200	0.000597	86.012000	81.110000	
0.000186	0.000576	86.744000	81.430000	
0.000182	0.000602	87.310000	81.020000	
0.000174	0.000611	87.904000	80.740000	
0.000159	0.000581	88.850000	81.610000	
0.000151	0.000565	89.412000	82.200000	
0.000143	0.000530	90.058000	83.330000	
0.000142	0.000587	90.040000	82.270000	
0.000135	0.000550	90.490000	83.040000	
0.000130	0.000496	90.802000	84.080000	
0.000120	0.000535	91.648000	83.630000	
0.000116	0.000506	91.764000	84.890000	
0.000113	0.000618	92.002000	81.760000	
0.000108	0.000509	92.258000	84.570000	
0.000099	0.000493	93.066000	85.460000	
0.000096	0.000622	93.210000	82.530000	
0.000091	0.000487	93.382000	86.070000	
0.000085	0.000517	93.968000	85.430000	
0.000084	0.000499	94.006000	85.500000	
0.000077	0.000468	94.576000	86.630000	
0.000074	0.000513	94.718000	85.750000	
0.000071	0.000478	94.862000	86.140000	
0.000068	0.000480	95.044000	86.640000	
0.000070	0.000588	95.066000	84.640000	
0.000068	0.000482	95.188000	86.980000	
0.000061	0.000614	95.630000	84.590000	
0.000058	0.000508	95.768000	86.510000	
0.000056	0.000521	96.082000	86.860000	
0.000051	0.000633	96.324000	84.570000	
0.000051	0.000653	96.412000	85.060000	
0.000047	0.000515	96.672000	86.790000	
0.000048	0.000602	96.546000	85.860000	
0.000047	0.000562	96.694000	86.740000	
0.000046	0.000676	96.698000	84.660000	
0.000046	0.000530	96.638000	86.740000	
0.000040	0.000615	97.144000	86.080000	
0.000036	0.000580	97.454000	86.400000	
0.000034	0.000521	97.584000	87.940000	
0.000035	0.000537	97.478000	87.750000	
0.000035	0.000563	97.468000	87.120000	
0.000033	0.000565	97.736000	87.450000	
0.000038	0.000567	97.436000	87.350000	
0.000034	0.000583	97.570000	87.850000	
0.000032	0.000533	97.720000	87.990000	
0.000030	0.000531	97.892000	88.130000	
0.000027	0.000532	98.136000	87.820000	
0.000025	0.000535	98.274000	87.980000	
0.000024	0.000509	98.282000	88.250000	
0.000023	0.000608	98.424000	87.430000	
0.000023	0.000552	98.410000	88.220000	
0.000022	0.000635	98.432000	86.870000	
0.000022	0.000656	98.386000	87.160000	
0.000023	0.000538	98.394000	88.790000	
0.000022	0.000571	98.486000	88.250000	
0.000021	0.000564	98.556000	88.200000	
0.000021	0.000581	98.538000	88.170000	
0.000020	0.000581	98.552000	88.020000	
0.000013	0.000486	99.190000	89.680000	
0.000008	0.000479	99.516000	89.820000	
0.000007	0.000472	99.634000	90.050000	
0.000006	0.000472	99.686000	90.000000	
0.000006	0.000470	99.688000	90.060000	
0.000005	0.000474	99.740000	90.140000	
0.000005	0.000475	99.708000	90.090000	
0.000005	0.000473	99.782000	90.090000	
0.000005	0.000470	99.766000	90.120000	
0.000005	0.000476	99.780000	90.030000	
0.000004	0.000473	99.782000	89.980000	
0.000004	0.000476	99.772000	90.140000	
0.000004	0.000484	99.802000	90.140000	
0.000004	0.000483	99.784000	90.200000	
0.000003	0.000479	99.874000	90.170000	
0.000003	0.000482	99.844000	90.080000	
0.000003	0.000485	99.874000	90.200000	
0.000003	0.000483	99.830000	90.190000	
0.000003	0.000492	99.828000	90.090000	
0.000003	0.000488	99.838000	90.120000	
0.000003	0.000491	99.858000	90.140000	
0.000003	0.000490	99.870000	90.100000	
0.000003	0.000492	99.854000	90.190000	
0.000003	0.000489	99.884000	90.230000	
0.000003	0.000492	99.892000	90.380000	
0.000003	0.000500	99.872000	90.300000	
0.000003	0.000495	99.838000	90.120000	
