Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.001264	0.065128	16.342000	10.540000	6.813949	0.000003	
0.000971	0.001957	25.646000	27.300000	1.287742	0.000001	
0.000902	0.001866	31.736000	29.800000	1.849693	0.000001	
0.000840	0.001763	36.366000	36.040000	2.711541	0.000001	
0.000772	0.001613	42.576000	40.550000	2.823397	0.000001	
0.000722	0.001694	46.610000	43.010000	3.192040	0.000001	
0.000680	0.001431	49.960000	48.010000	3.487368	0.000001	
0.000630	0.001630	54.028000	45.220000	3.783831	0.000001	
0.000584	0.001816	57.888000	43.370000	3.654431	0.000001	
0.000553	0.001538	60.046000	50.650000	3.728523	0.000000	
0.000508	0.001153	63.598000	60.000000	3.695945	0.000000	
0.000470	0.001035	66.560000	63.220000	3.499547	0.000000	
0.000450	0.001083	68.050000	62.850000	3.624788	0.000000	
0.000463	0.001127	67.040000	63.270000	3.631615	0.000000	
0.000416	0.001072	70.542000	65.150000	3.305446	0.000000	
0.000384	0.000786	72.972000	72.510000	3.214381	0.000000	
0.000369	0.000864	73.836000	70.870000	3.434950	0.000000	
0.000354	0.000866	75.106000	71.870000	3.376040	0.000000	
0.000326	0.000888	77.158000	71.020000	3.356597	0.000000	
0.000311	0.000744	78.066000	74.780000	3.252865	0.000000	
0.000292	0.000646	79.334000	77.890000	3.224259	0.000000	
0.000274	0.000759	80.808000	75.330000	3.044682	0.000000	
0.000258	0.000711	81.838000	76.460000	3.084805	0.000000	
0.000244	0.000778	83.000000	74.330000	2.980712	0.000000	
0.000236	0.000748	83.248000	76.420000	3.111148	0.000000	
0.000226	0.000674	84.226000	78.000000	2.909455	0.000000	
0.000212	0.000607	85.066000	80.730000	2.952482	0.000000	
0.000202	0.000528	85.814000	82.580000	2.821477	0.000000	
0.000187	0.000665	86.780000	78.820000	2.782441	0.000000	
0.000185	0.000596	86.988000	80.260000	2.892724	0.000000	
0.000175	0.000612	87.742000	80.750000	2.851677	0.000000	
0.000168	0.000581	88.186000	80.700000	2.809314	0.000000	
0.000161	0.000564	88.694000	82.590000	2.827338	0.000000	
0.000150	0.000524	89.382000	83.690000	2.687759	0.000000	
0.000143	0.000513	89.854000	83.590000	2.707681	0.000000	
0.000144	0.000588	89.842000	81.930000	2.966769	0.000000	
0.000135	0.000531	90.454000	84.140000	2.672813	0.000000	
0.000126	0.000588	91.092000	82.450000	2.698937	0.000000	
0.000127	0.000520	91.030000	84.550000	2.835690	0.000000	
0.000120	0.000511	91.482000	85.120000	2.770290	0.000000	
0.000115	0.000588	91.814000	83.890000	2.855846	0.000000	
0.000110	0.000476	92.228000	85.690000	2.655671	0.000000	
0.000102	0.000544	92.738000	84.470000	2.653142	0.000000	
0.000100	0.000485	92.942000	85.960000	2.682626	0.000000	
0.000093	0.000507	93.292000	85.350000	2.517792	0.000000	
0.000089	0.000476	93.652000	86.570000	2.600337	0.000000	
0.000082	0.000474	94.126000	86.880000	2.473906	0.000000	
0.000083	0.000463	94.070000	87.130000	2.659727	0.000000	
0.000079	0.000483	94.466000	86.630000	2.605072	0.000000	
0.000078	0.000593	94.446000	84.870000	2.688700	0.000000	
0.000073	0.000508	94.872000	86.320000	2.546544	0.000000	
0.000069	0.000539	95.068000	85.860000	2.554149	0.000000	
0.000065	0.000556	95.254000	85.970000	2.454994	0.000000	
0.000060	0.000584	95.786000	85.540000	2.395955	0.000000	
0.000059	0.000537	95.708000	86.450000	2.392498	0.000000	
0.000053	0.000517	96.148000	86.940000	2.342185	0.000000	
0.000054	0.000577	96.194000	86.850000	2.399172	0.000000	
0.000054	0.000555	96.160000	86.820000	2.524661	0.000000	
0.000050	0.000631	96.416000	85.230000	2.344891	0.000000	
0.000048	0.000499	96.676000	87.510000	2.336258	0.000000	
