Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000736	83.559250	12.062000	10.000000	10.615484	0.000100	
0.000640	0.023859	11.304000	10.630000	2.219657	0.000100	
0.000576	0.002378	16.092000	15.230000	1.115609	0.000100	
0.000520	0.002106	23.184000	20.810000	1.320654	0.000100	
0.000499	0.002190	24.786000	21.710000	2.480276	0.000100	
0.000482	0.001911	28.180000	27.660000	2.447701	0.000100	
0.000463	0.001744	30.642000	32.950000	1.999671	0.000100	
0.000443	0.001656	34.084000	36.930000	2.080831	0.000100	
0.000423	0.001601	38.324000	38.830000	2.348896	0.000100	
0.000405	0.001596	41.024000	39.990000	2.865373	0.000100	
0.000388	0.001504	44.464000	43.850000	3.323062	0.000100	
0.000382	0.001607	45.854000	40.900000	3.528146	0.000100	
0.000366	0.001485	48.148000	44.850000	3.455931	0.000100	
0.000353	0.001337	50.048000	51.080000	3.711346	0.000100	
0.000336	0.001270	52.578000	53.740000	3.365323	0.000100	
0.000334	0.001324	53.200000	52.810000	4.303367	0.000100	
0.000313	0.001247	56.070000	55.700000	3.312148	0.000100	
0.000300	0.001250	58.044000	54.590000	3.905837	0.000100	
0.000285	0.001190	60.426000	57.900000	3.491637	0.000100	
0.000279	0.001230	61.414000	55.970000	4.390505	0.000100	
0.000280	0.001341	61.604000	55.020000	3.607249	0.000100	
0.000256	0.001084	64.960000	62.580000	3.479841	0.000100	
0.000242	0.001047	66.622000	63.060000	3.497085	0.000100	
0.000238	0.001170	67.576000	58.180000	3.999343	0.000100	
0.000234	0.000932	67.802000	67.580000	3.672834	0.000100	
0.000218	0.000884	70.148000	69.020000	3.482035	0.000100	
0.000215	0.000900	70.948000	68.770000	4.066779	0.000100	
0.000202	0.000936	72.458000	68.760000	3.423868	0.000100	
0.000190	0.000907	74.096000	67.680000	3.281964	0.000100	
0.000187	0.000879	74.618000	69.370000	3.663257	0.000100	
0.000176	0.000854	75.988000	71.190000	3.339295	0.000100	
0.000177	0.001142	76.208000	62.630000	4.030001	0.000100	
0.000171	0.000784	76.852000	73.220000	3.085838	0.000100	
0.000155	0.000897	78.892000	71.030000	3.000722	0.000100	
0.000155	0.000841	78.932000	72.070000	3.577474	0.000100	
0.000145	0.000646	80.510000	78.390000	3.222813	0.000100	
0.000139	0.000661	81.126000	77.790000	3.084963	0.000100	
0.000128	0.000692	82.732000	76.000000	2.861299	0.000100	
0.000124	0.000687	83.282000	77.580000	2.822240	0.000100	
0.000120	0.000626	83.852000	79.660000	2.880880	0.000100	
0.000119	0.000658	84.092000	77.820000	3.350295	0.000100	
0.000117	0.000639	84.182000	79.290000	3.230115	0.000100	
0.000111	0.000659	85.082000	78.450000	2.870332	0.000100	
0.000107	0.000543	85.500000	81.680000	2.951147	0.000100	
0.000098	0.000558	86.816000	81.330000	2.689752	0.000100	
0.000094	0.000640	87.140000	79.500000	2.775348	0.000100	
0.000094	0.000536	87.394000	82.250000	2.969052	0.000100	
0.000093	0.000559	87.592000	82.150000	3.015422	0.000100	
0.000089	0.000560	87.904000	82.210000	3.026310	0.000100	
0.000085	0.000533	88.442000	82.660000	2.766969	0.000100	
0.000081	0.000601	89.166000	80.960000	2.745463	0.000100	
0.000079	0.000778	89.174000	76.910000	2.902720	0.000100	
0.000075	0.000505	89.868000	84.240000	2.749818	0.000100	
0.000073	0.000559	90.128000	82.570000	2.735106	0.000100	
0.000071	0.000505	90.336000	84.210000	2.904907	0.000100	
0.000070	0.000613	90.738000	82.160000	2.853095	0.000100	
0.000072	0.000579	90.186000	82.690000	3.042590	0.000100	
0.000066	0.000481	91.184000	84.890000	2.665070	0.000100	
0.000060	0.000577	91.958000	82.620000	2.465529	0.000100	
0.000060	0.000528	92.064000	83.910000	2.708119	0.000100	
0.000057	0.000484	92.254000	85.200000	2.689969	0.000100	
0.000056	0.000535	92.362000	83.800000	2.846397	0.000100	
0.000052	0.000498	92.948000	84.910000	2.608058	0.000100	
0.000051	0.000586	93.044000	83.640000	2.717523	0.000100	
0.000052	0.000597	92.932000	84.150000	2.780358	0.000100	
0.000048	0.000537	93.420000	84.150000	2.551547	0.000100	
0.000045	0.000528	93.804000	84.420000	2.478266	0.000100	
0.000043	0.000506	94.132000	85.610000	2.521180	0.000100	
0.000040	0.000520	94.508000	85.610000	2.489209	0.000100	
0.000040	0.000508	94.596000	85.780000	2.482724	0.000100	
0.000039	0.000566	94.758000	84.160000	2.542249	0.000100	
0.000037	0.000499	94.816000	86.040000	2.458698	0.000100	
0.000037	0.000552	95.006000	85.280000	2.561244	0.000100	
0.000036	0.000551	95.076000	85.460000	2.620084	0.000100	
0.000038	0.000542	94.804000	85.410000	2.698756	0.000100	
0.000037	0.000482	94.896000	86.870000	2.701792	0.000100	
0.000035	0.000570	95.248000	84.990000	2.497074	0.000100	
0.000031	0.000523	95.874000	86.160000	2.285078	0.000100	
0.000031	0.000612	95.706000	84.240000	2.563060	0.000100	
0.000030	0.000546	95.774000	86.000000	2.486650	0.000100	
0.000023	0.000411	96.970000	88.720000	1.925480	0.000010	
0.000017	0.000395	97.938000	88.940000	1.397962	0.000010	
0.000015	0.000395	98.264000	89.170000	1.292158	0.000010	
0.000014	0.000400	98.334000	89.000000	1.255788	0.000010	
0.000013	0.000401	98.454000	89.180000	1.222082	0.000010	
0.000012	0.000400	98.622000	89.160000	1.217559	0.000010	
0.000012	0.000401	98.702000	89.190000	1.177963	0.000010	
0.000011	0.000404	98.716000	89.180000	1.206238	0.000010	
0.000011	0.000407	98.710000	89.440000	1.190842	0.000010	
0.000010	0.000412	98.810000	89.320000	1.157048	0.000010	
0.000010	0.000411	98.846000	89.470000	1.182461	0.000010	
0.000010	0.000414	98.882000	89.460000	1.154397	0.000010	
0.000010	0.000415	98.882000	89.370000	1.159532	0.000010	
0.000009	0.000415	98.922000	89.420000	1.127181	0.000010	
0.000009	0.000416	99.074000	89.540000	1.130550	0.000010	
0.000009	0.000415	99.106000	89.480000	1.089605	0.000010	
0.000008	0.000418	99.112000	89.540000	1.073058	0.000010	
0.000008	0.000426	99.120000	89.420000	1.100281	0.000010	
0.000008	0.000426	99.130000	89.500000	1.154325	0.000010	
0.000008	0.000424	99.086000	89.390000	1.104374	0.000010	
0.000007	0.000426	99.212000	89.590000	1.061328	0.000010	
0.000008	0.000429	99.198000	89.360000	1.095577	0.000010	
0.000007	0.000433	99.210000	89.350000	1.079207	0.000010	
0.000007	0.000431	99.180000	89.500000	1.099970	0.000010	
0.000007	0.000433	99.276000	89.490000	1.064260	0.000010	
0.000007	0.000433	99.280000	89.500000	1.138370	0.000010	
0.000007	0.000433	99.288000	89.580000	1.117935	0.000010	
0.000007	0.000438	99.332000	89.510000	1.048254	0.000010	
0.000007	0.000438	99.324000	89.590000	1.061291	0.000010	
0.000006	0.000438	99.306000	89.650000	1.075665	0.000010	
0.000006	0.000444	99.360000	89.380000	1.036087	0.000010	
0.000006	0.000443	99.358000	89.750000	1.050800	0.000010	
0.000006	0.000446	99.366000	89.680000	1.051451	0.000010	
0.000006	0.000449	99.346000	89.570000	1.124255	0.000010	
0.000006	0.000449	99.406000	89.600000	1.081599	0.000010	
0.000005	0.000450	99.486000	89.660000	1.013327	0.000010	
0.000006	0.000454	99.448000	89.550000	1.083979	0.000010	
0.000005	0.000452	99.460000	89.740000	1.005436	0.000010	
0.000005	0.000458	99.484000	89.480000	1.036366	0.000010	
0.000005	0.000455	99.536000	89.730000	0.973704	0.000010	
0.000005	0.000455	99.508000	89.710000	0.965353	0.000001	
0.000005	0.000453	99.542000	89.700000	0.965020	0.000001	
0.000005	0.000453	99.560000	89.690000	0.993978	0.000001	
0.000005	0.000454	99.538000	89.740000	0.982000	0.000001	
0.000005	0.000454	99.520000	89.680000	0.934871	0.000001	
0.000005	0.000452	99.580000	89.640000	0.941017	0.000001	
0.000005	0.000454	99.482000	89.740000	0.995863	0.000001	
0.000005	0.000451	99.574000	89.760000	0.920061	0.000001	
0.000005	0.000450	99.538000	89.740000	0.949388	0.000001	
0.000005	0.000451	99.536000	89.720000	0.961722	0.000001	
0.000005	0.000453	99.546000	89.740000	0.986443	0.000001	
0.000005	0.000453	99.570000	89.800000	0.943028	0.000001	
0.000005	0.000453	99.570000	89.790000	0.910633	0.000001	
0.000005	0.000453	99.594000	89.910000	0.931705	0.000001	
0.000005	0.000453	99.580000	89.700000	0.940961	0.000001	
0.000005	0.000453	99.580000	89.700000	0.955203	0.000001	
0.000005	0.000452	99.546000	89.750000	0.950033	0.000001	
0.000004	0.000454	99.572000	89.680000	0.930760	0.000001	
0.000005	0.000453	99.512000	89.720000	0.990938	0.000001	
0.000004	0.000454	99.592000	89.800000	0.917617	0.000001	
0.000005	0.000454	99.592000	89.700000	0.936837	0.000001	
0.000005	0.000454	99.580000	89.800000	0.970028	0.000001	
0.000005	0.000454	99.540000	89.770000	0.981945	0.000001	
0.000004	0.000457	99.566000	89.670000	0.915523	0.000001	
0.000005	0.000456	99.574000	89.670000	0.913964	0.000001	
0.000004	0.000454	99.614000	89.820000	0.940364	0.000001	
0.000004	0.000455	99.634000	89.710000	0.928294	0.000001	
0.000004	0.000455	99.578000	89.720000	0.912621	0.000001	
0.000005	0.000455	99.584000	89.740000	0.931621	0.000001	
0.000005	0.000456	99.568000	89.690000	0.970991	0.000001	
