Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000766	0.411497	59.268333	86.530000	
0.000134	0.147787	91.821667	95.590000	
0.000069	0.110522	95.863333	96.550000	
0.000051	0.082417	96.918333	97.530000	
0.000042	0.075009	97.448333	97.710000	
0.000037	0.065854	97.760000	97.750000	
0.000032	0.060890	98.081667	98.040000	
0.000030	0.054869	98.225000	98.250000	
0.000027	0.047935	98.373333	98.430000	
0.000024	0.045263	98.535000	98.590000	
0.000023	0.046581	98.666667	98.410000	
0.000021	0.047344	98.708333	98.420000	
0.000020	0.036702	98.821667	98.750000	
0.000019	0.044023	98.855000	98.570000	
0.000018	0.041837	98.933333	98.610000	
