Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000298	0.002330	19.696000	10.570000	
0.000263	0.002492	27.670000	13.080000	
0.000233	0.002257	36.558000	19.750000	
0.000229	0.002062	39.498000	27.290000	
0.000220	0.001855	41.166000	35.240000	
0.000200	0.001720	46.668000	41.040000	
0.000190	0.001912	49.836000	38.620000	
0.000177	0.001466	53.366000	49.810000	
0.000170	0.001331	55.964000	54.420000	
0.000156	0.001167	59.412000	59.150000	
0.000148	0.001088	61.908000	61.190000	
0.000138	0.003054	64.664000	35.110000	
0.000178	0.001924	54.666000	37.750000	
0.000154	0.001463	59.848000	50.940000	
0.000140	0.001178	64.162000	58.490000	
0.000125	0.001218	67.812000	61.210000	
0.000116	0.000993	70.550000	66.870000	
0.000109	0.000901	72.304000	68.890000	
0.000104	0.001045	73.926000	65.490000	
0.000100	0.000882	74.742000	69.580000	
