Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001054	0.053333	20.736000	11.230000	
0.000915	0.004097	31.374000	22.380000	
0.000842	0.002300	37.222000	32.300000	
0.000795	0.001909	41.070000	37.980000	
0.000769	0.001601	43.424000	45.080000	
0.000734	0.001491	46.234000	46.530000	
0.000704	0.001398	48.346000	49.910000	
0.000679	0.001330	50.412000	52.570000	
0.000662	0.001348	52.126000	52.890000	
0.000647	0.001402	53.076000	51.740000	
0.000619	0.001244	55.370000	55.850000	
0.000606	0.001477	56.258000	50.290000	
0.000589	0.001228	57.406000	56.860000	
0.000573	0.001205	58.934000	57.320000	
0.000560	0.001127	59.800000	59.900000	
0.000547	0.001140	60.828000	59.470000	
0.000536	0.001118	61.658000	60.360000	
0.000523	0.001061	62.500000	62.710000	
0.000515	0.001096	63.114000	61.260000	
0.000503	0.001029	63.912000	64.270000	
0.000500	0.001076	64.208000	63.280000	
0.000492	0.001085	64.882000	63.060000	
0.000479	0.000989	65.692000	65.280000	
0.000468	0.000988	66.446000	65.820000	
0.000467	0.000991	66.678000	65.720000	
0.000453	0.000935	67.820000	67.270000	
0.000451	0.000974	67.918000	66.240000	
0.000441	0.000965	68.646000	66.880000	
0.000436	0.000979	68.748000	67.220000	
0.000425	0.000919	69.870000	67.430000	
0.000421	0.000919	69.756000	68.110000	
0.000416	0.000883	70.358000	69.880000	
0.000407	0.000911	71.040000	69.010000	
0.000402	0.000884	71.282000	69.700000	
0.000394	0.000807	71.930000	71.790000	
0.000391	0.000835	71.948000	71.090000	
0.000383	0.000818	72.752000	70.970000	
0.000381	0.000858	72.980000	70.450000	
0.000372	0.000807	73.552000	71.560000	
0.000373	0.000833	73.712000	71.170000	
0.000371	0.000831	73.662000	71.480000	
0.000364	0.000799	74.110000	72.270000	
0.000359	0.000802	74.484000	72.820000	
0.000353	0.000798	74.976000	73.220000	
0.000349	0.000801	75.080000	73.360000	
0.000349	0.000763	75.166000	73.960000	
0.000342	0.000721	75.670000	75.450000	
0.000341	0.000830	75.718000	72.150000	
0.000339	0.000759	76.058000	74.110000	
0.000332	0.000825	76.482000	73.280000	
0.000329	0.000784	76.804000	73.460000	
0.000325	0.000730	77.112000	75.210000	
0.000325	0.000732	76.906000	75.320000	
0.000317	0.000739	77.520000	74.870000	
0.000316	0.000732	77.700000	75.160000	
0.000311	0.000781	78.056000	73.420000	
0.000307	0.000762	78.122000	74.560000	
0.000311	0.000723	78.130000	75.850000	
0.000305	0.000708	78.408000	76.070000	
0.000301	0.000714	78.632000	76.200000	
0.000295	0.000701	79.046000	76.700000	
0.000297	0.000713	78.774000	76.450000	
0.000290	0.000687	79.238000	76.600000	
0.000290	0.000677	79.434000	77.060000	
0.000286	0.000648	79.916000	78.480000	
0.000282	0.000655	80.110000	78.230000	
0.000278	0.000646	80.410000	78.580000	
0.000280	0.000701	80.220000	77.020000	
0.000277	0.000695	80.582000	77.190000	
