Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000486	20.723551	13.740000	10.000000	17.126385	0.000546	
0.000345	23.236241	10.604000	10.170000	3.617863	0.000271	
0.000326	0.766289	11.330000	9.300000	0.731464	0.000205	
0.000318	0.022304	15.250000	10.410000	1.086163	0.000171	
0.000305	0.006795	18.016000	14.300000	1.325184	0.000149	
0.000294	0.002824	21.044000	18.110000	0.900633	0.000133	
0.000285	0.002222	21.876000	20.460000	1.078415	0.000122	
0.000277	0.001980	23.154000	22.370000	1.125151	0.000113	
0.000272	0.001922	24.384000	23.300000	1.419351	0.000105	
0.000263	0.001845	26.266000	27.640000	1.263858	0.000099	
0.000258	0.001805	28.634000	28.530000	1.545425	0.000094	
0.000251	0.001781	29.974000	30.120000	1.537592	0.000089	
0.000244	0.001774	32.106000	30.230000	1.679025	0.000085	
0.000241	0.001961	33.762000	29.760000	2.881967	0.000082	
0.000235	0.001849	34.968000	30.730000	2.777889	0.000079	
0.000229	0.001889	36.982000	32.790000	2.908003	0.000076	
0.000223	0.001802	38.464000	33.400000	2.929940	0.000073	
0.000222	0.001677	39.666000	35.730000	3.887706	0.000071	
0.000215	0.001510	41.430000	43.340000	2.664481	0.000069	
0.000210	0.001526	43.754000	43.030000	2.519694	0.000067	
0.000208	0.001508	44.764000	44.170000	3.027196	0.000065	
0.000204	0.001517	46.038000	43.480000	3.720799	0.000063	
0.000196	0.001527	47.854000	43.930000	2.694264	0.000062	
0.000192	0.001367	49.252000	48.900000	3.312479	0.000060	
0.000187	0.001361	50.494000	49.760000	3.804742	0.000059	
0.000180	0.001490	52.724000	46.830000	3.519293	0.000058	
0.000183	0.001329	52.042000	52.410000	5.355287	0.000056	
0.000173	0.001474	54.340000	48.620000	3.862838	0.000055	
0.000172	0.001367	54.998000	51.610000	3.965213	0.000054	
0.000165	0.001226	57.002000	55.790000	3.646840	0.000053	
0.000158	0.001257	58.550000	54.430000	3.681532	0.000052	
0.000156	0.001143	60.010000	59.140000	4.382935	0.000051	
0.000150	0.001312	61.438000	55.990000	4.366074	0.000050	
0.000148	0.001265	61.720000	54.620000	4.105853	0.000050	
0.000142	0.001263	63.650000	56.640000	3.867360	0.000049	
0.000145	0.001138	62.718000	61.090000	4.974901	0.000048	
0.000140	0.001060	64.706000	63.000000	3.972319	0.000047	
0.000134	0.001329	65.686000	55.410000	4.046280	0.000047	
0.000148	0.001327	61.982000	55.720000	5.172929	0.000046	
0.000139	0.001268	64.332000	57.900000	3.908731	0.000045	
0.000139	0.001164	64.732000	60.230000	4.466942	0.000045	
0.000128	0.001012	67.232000	65.160000	3.309839	0.000044	
0.000120	0.001088	69.878000	62.120000	2.623382	0.000044	
0.000122	0.001129	69.096000	61.070000	4.095427	0.000043	
0.000116	0.000954	70.164000	67.380000	3.293094	0.000042	
0.000113	0.000883	71.194000	69.810000	3.257178	0.000042	
0.000109	0.000978	72.336000	67.930000	3.098145	0.000041	
0.000106	0.000967	73.106000	67.180000	3.285554	0.000041	
0.000102	0.000939	74.088000	67.500000	3.265474	0.000041	
0.000102	0.000935	74.130000	67.830000	3.601549	0.000040	
0.000104	0.000881	73.542000	70.020000	4.204396	0.000040	
0.000097	0.000925	75.196000	68.720000	3.167593	0.000039	
0.000094	0.000813	76.100000	72.150000	3.145908	0.000039	
0.000090	0.000911	76.978000	69.570000	3.217326	0.000038	
0.000091	0.000868	77.094000	71.450000	3.700353	0.000038	
0.000089	0.000752	77.850000	74.160000	3.464079	0.000038	
0.000087	0.000818	78.234000	72.810000	3.517696	0.000037	
0.000086	0.000792	78.834000	73.470000	3.383385	0.000037	
0.000082	0.000876	79.446000	70.180000	3.444545	0.000037	
0.000081	0.000961	79.744000	69.850000	3.407253	0.000036	
0.000078	0.000865	80.188000	72.760000	3.301233	0.000036	
0.000076	0.000904	81.222000	72.220000	3.072132	0.000036	
0.000076	0.000717	80.798000	75.730000	3.527382	0.000035	
0.000073	0.000855	81.880000	72.880000	3.186210	0.000035	
0.000070	0.000729	82.364000	76.130000	3.100145	0.000035	
0.000067	0.000773	83.150000	74.610000	2.905916	0.000034	
0.000068	0.000644	83.098000	79.450000	3.254993	0.000034	
0.000067	0.000670	83.372000	78.120000	3.349501	0.000034	
0.000067	0.000667	83.776000	77.990000	3.314329	0.000034	
0.000062	0.000712	84.380000	76.620000	3.024761	0.000033	
0.000062	0.000591	84.632000	80.510000	3.148529	0.000033	
0.000060	0.000592	85.400000	80.980000	2.862256	0.000033	
0.000057	0.000673	85.960000	79.140000	2.890109	0.000032	
0.000055	0.000556	86.304000	81.840000	2.875800	0.000032	
0.000056	0.000576	86.364000	81.240000	3.142797	0.000032	
0.000056	0.000622	86.200000	79.810000	3.396949	0.000032	
0.000056	0.000826	86.054000	75.610000	3.302680	0.000032	
0.000054	0.000638	86.734000	79.460000	3.078918	0.000031	
0.000053	0.000671	86.714000	79.220000	3.299218	0.000031	
0.000052	0.000739	87.190000	77.790000	3.280519	0.000031	
0.000048	0.000463	87.768000	84.800000	2.707142	0.000003	
0.000043	0.000436	89.214000	85.280000	2.037713	0.000003	
0.000041	0.000435	89.976000	85.670000	1.783854	0.000003	
0.000039	0.000420	90.420000	85.990000	1.672652	0.000003	
0.000038	0.000417	90.644000	86.270000	1.663331	0.000003	
0.000037	0.000424	90.738000	86.200000	1.731163	0.000003	
0.000037	0.000421	90.766000	86.360000	1.707095	0.000003	
0.000037	0.000419	91.024000	86.200000	1.846906	0.000003	
0.000035	0.000418	91.258000	86.680000	1.723544	0.000003	
0.000036	0.000422	91.324000	86.710000	1.770136	0.000003	
0.000036	0.000418	91.512000	86.720000	1.931437	0.000003	
0.000035	0.000424	91.388000	86.560000	1.785658	0.000003	
0.000034	0.000427	91.488000	86.760000	1.753843	0.000003	
0.000034	0.000421	91.588000	87.050000	1.828208	0.000003	
0.000033	0.000423	91.780000	86.920000	1.817412	0.000003	
0.000034	0.000420	91.812000	87.000000	1.876236	0.000003	
0.000033	0.000425	91.788000	86.890000	1.818857	0.000003	
0.000032	0.000428	91.768000	87.000000	1.836531	0.000003	
0.000033	0.000426	92.026000	86.870000	1.894450	0.000003	
0.000032	0.000426	91.954000	86.930000	1.955589	0.000003	
0.000031	0.000430	92.124000	87.110000	1.798787	0.000003	
0.000032	0.000432	92.256000	86.860000	1.937701	0.000003	
0.000031	0.000426	92.228000	86.970000	1.815132	0.000003	
0.000031	0.000427	92.328000	86.740000	1.885875	0.000003	
0.000032	0.000423	92.328000	86.860000	1.981392	0.000003	
0.000030	0.000430	92.544000	86.900000	2.069170	0.000003	
0.000031	0.000432	92.424000	86.890000	2.078419	0.000003	
0.000030	0.000429	92.492000	87.270000	2.026439	0.000003	
0.000031	0.000428	92.698000	87.020000	2.133980	0.000003	
0.000030	0.000432	92.584000	86.840000	2.236834	0.000003	
0.000029	0.000431	92.598000	87.280000	2.048056	0.000003	
0.000029	0.000432	92.762000	86.980000	2.131207	0.000003	
0.000029	0.000431	92.868000	87.100000	2.049174	0.000003	
0.000030	0.000438	92.832000	86.940000	2.211024	0.000003	
0.000029	0.000432	92.896000	87.270000	2.199041	0.000003	
0.000028	0.000433	93.034000	87.220000	2.255034	0.000003	
0.000029	0.000441	93.076000	86.960000	2.295501	0.000003	
0.000028	0.000445	93.138000	86.830000	2.172107	0.000002	
0.000029	0.000435	93.150000	87.100000	2.289681	0.000002	
0.000028	0.000437	93.220000	86.960000	2.219279	0.000002	
0.000027	0.000430	93.252000	87.310000	2.014989	0.000000	
0.000027	0.000430	93.580000	87.400000	1.970072	0.000000	
0.000026	0.000429	93.564000	87.390000	1.855050	0.000000	
0.000027	0.000428	93.516000	87.480000	1.876959	0.000000	
0.000026	0.000427	93.676000	87.310000	1.834837	0.000000	
0.000027	0.000427	93.542000	87.380000	1.978848	0.000000	
0.000026	0.000426	93.550000	87.410000	1.929010	0.000000	
0.000026	0.000428	93.712000	87.330000	1.982770	0.000000	
0.000026	0.000426	93.628000	87.510000	1.891260	0.000000	
0.000026	0.000428	93.604000	87.290000	1.881538	0.000000	
0.000026	0.000429	93.626000	87.340000	2.006087	0.000000	
0.000026	0.000429	93.594000	87.380000	1.913483	0.000000	
0.000026	0.000429	93.720000	87.380000	1.986682	0.000000	
0.000026	0.000428	93.816000	87.370000	1.855159	0.000000	
0.000026	0.000428	93.694000	87.400000	2.006321	0.000000	
0.000026	0.000429	93.788000	87.350000	1.945971	0.000000	
0.000026	0.000430	93.708000	87.310000	1.968129	0.000000	
0.000026	0.000428	93.716000	87.370000	1.889024	0.000000	
0.000025	0.000429	93.824000	87.390000	1.855681	0.000000	
0.000026	0.000428	93.770000	87.420000	1.961938	0.000000	
0.000025	0.000428	93.852000	87.420000	1.843011	0.000000	
0.000026	0.000429	93.702000	87.480000	1.903894	0.000000	
0.000025	0.000427	93.898000	87.520000	1.882920	0.000000	
0.000026	0.000428	93.800000	87.540000	1.885207	0.000000	
0.000025	0.000428	93.824000	87.480000	1.831607	0.000000	
0.000026	0.000429	93.990000	87.510000	1.946437	0.000000	
0.000025	0.000430	93.642000	87.520000	1.915601	0.000000	
0.000025	0.000430	93.916000	87.450000	1.951151	0.000000	
0.000025	0.000429	93.900000	87.450000	1.859679	0.000000	
0.000025	0.000429	93.824000	87.580000	1.888914	0.000000	
