Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000489	732.884338	13.032000	9.180000	17.488787	0.000005	
0.000348	171.628761	10.400000	10.000000	4.060866	0.000003	
0.000332	4.497960	10.772000	9.970000	0.739309	0.000002	
0.000324	0.058097	10.818000	13.660000	0.562323	0.000002	
0.000315	0.003878	16.888000	15.650000	0.646634	0.000001	
0.000298	0.003036	18.648000	13.050000	0.942250	0.000001	
0.000286	0.002551	20.546000	17.950000	1.770190	0.000001	
0.000288	0.002281	19.752000	19.430000	1.999443	0.000001	
0.000280	0.002119	21.088000	20.960000	1.071634	0.000001	
0.000275	0.002014	22.514000	18.980000	1.039647	0.000001	
0.000271	0.002018	23.276000	19.370000	1.181038	0.000001	
0.000269	0.002120	24.362000	19.230000	1.916221	0.000001	
0.000266	0.001998	24.960000	22.460000	1.791173	0.000001	
0.000260	0.001954	25.900000	24.470000	1.380144	0.000001	
0.000255	0.001852	27.666000	26.060000	1.144128	0.000001	
0.000251	0.002556	29.038000	19.540000	2.332893	0.000001	
0.000252	0.001942	28.924000	27.520000	3.079425	0.000001	
0.000247	0.001961	30.264000	25.170000	2.079127	0.000001	
0.000241	0.001815	31.498000	30.590000	1.912671	0.000001	
0.000238	0.001807	33.006000	30.350000	1.889683	0.000001	
0.000234	0.001824	34.888000	29.980000	2.188684	0.000001	
0.000236	0.001985	34.300000	30.400000	3.332865	0.000001	
0.000230	0.001662	35.478000	35.340000	2.268825	0.000001	
0.000222	0.001618	38.162000	36.940000	1.644850	0.000001	
0.000220	0.002517	39.142000	26.000000	3.032247	0.000001	
0.000219	0.002299	39.696000	29.010000	2.226408	0.000001	
0.000215	0.001777	41.150000	37.010000	2.456893	0.000001	
0.000213	0.001769	41.804000	38.700000	3.152259	0.000001	
0.000206	0.001711	43.368000	38.170000	2.645615	0.000001	
0.000202	0.001912	45.596000	34.420000	3.554863	0.000001	
0.000194	0.001552	47.714000	44.140000	2.671448	0.000001	
0.000194	0.001406	48.394000	47.590000	3.781655	0.000001	
0.000187	0.001352	50.390000	49.720000	3.267909	0.000001	
0.000182	0.001347	51.304000	50.610000	3.444767	0.000000	
0.000176	0.001758	53.718000	42.290000	3.221111	0.000000	
0.000182	0.001571	51.934000	44.450000	4.929802	0.000000	
0.000184	0.001573	51.560000	47.110000	3.461948	0.000000	
0.000172	0.001701	54.672000	45.800000	3.112516	0.000000	
0.000165	0.002747	56.944000	30.730000	3.581442	0.000000	
0.000189	0.001874	50.722000	41.060000	3.742904	0.000000	
0.000175	0.001399	53.704000	50.800000	2.630198	0.000000	
0.000166	0.001454	56.802000	48.810000	3.156778	0.000000	
0.000160	0.001287	58.510000	54.290000	3.021296	0.000000	
0.000152	0.001282	60.554000	55.550000	2.786063	0.000000	
0.000147	0.001136	61.742000	59.450000	2.922414	0.000000	
0.000142	0.001075	63.054000	61.340000	2.742103	0.000000	
0.000140	0.001592	64.452000	50.750000	3.260059	0.000000	
0.000150	0.001308	61.018000	54.880000	4.356653	0.000000	
0.000142	0.001394	63.312000	52.070000	3.290779	0.000000	
0.000136	0.001339	65.218000	56.930000	3.140829	0.000000	
0.000131	0.001038	66.232000	63.070000	2.981715	0.000000	
0.000127	0.001322	67.280000	58.220000	3.247059	0.000000	
0.000126	0.001143	67.408000	62.340000	3.599735	0.000000	
0.000120	0.000998	68.890000	64.610000	2.839983	0.000000	
0.000115	0.001004	70.274000	65.250000	2.875272	0.000000	
0.000115	0.001110	70.666000	63.500000	3.477301	0.000000	
0.000112	0.001006	71.082000	66.020000	3.167679	0.000000	
0.000110	0.001065	72.388000	63.760000	2.713399	0.000000	
0.000107	0.001087	72.886000	64.710000	3.056778	0.000000	
0.000106	0.001247	73.168000	61.490000	3.221820	0.000000	
0.000102	0.000907	73.692000	70.450000	3.306301	0.000000	
0.000099	0.000964	74.808000	67.110000	3.016836	0.000000	
0.000096	0.001213	75.226000	62.720000	2.917718	0.000000	
0.000093	0.000914	76.278000	70.360000	2.923406	0.000000	
0.000094	0.000875	76.414000	70.480000	3.058643	0.000000	
0.000092	0.001068	76.724000	67.190000	3.290634	0.000000	
0.000089	0.000771	77.562000	73.190000	3.113487	0.000000	
0.000088	0.000830	77.682000	72.080000	3.307750	0.000000	
0.000086	0.000793	78.716000	73.940000	2.973725	0.000000	
0.000082	0.001001	79.294000	68.820000	2.638072	0.000000	
0.000089	0.000765	77.754000	73.930000	4.007714	0.000000	
0.000082	0.000881	79.518000	70.830000	2.743395	0.000000	
0.000079	0.000842	80.258000	73.180000	2.789885	0.000000	
0.000075	0.000769	80.902000	73.910000	2.556962	0.000000	
0.000079	0.000906	80.548000	70.970000	3.183127	0.000000	
0.000078	0.000776	80.702000	74.980000	3.337588	0.000000	
0.000077	0.000788	80.666000	74.380000	3.224456	0.000000	
0.000074	0.001088	81.736000	67.960000	2.669054	0.000000	
0.000072	0.000752	81.970000	75.950000	3.090823	0.000000	
0.000072	0.000743	82.014000	75.840000	3.196648	0.000000	
0.000068	0.000572	83.238000	80.440000	2.458636	0.000000	
0.000062	0.000555	84.658000	81.610000	1.874814	0.000000	
0.000060	0.000522	85.048000	82.340000	1.628599	0.000000	
0.000058	0.000514	85.336000	82.780000	1.530689	0.000000	
0.000057	0.000511	85.676000	82.800000	1.547193	0.000000	
0.000057	0.000510	85.902000	82.860000	1.592026	0.000000	
0.000055	0.000509	86.048000	82.750000	1.562737	0.000000	
0.000057	0.000505	86.090000	83.060000	1.700882	0.000000	
