Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000821	9.566869	12.338333	8.710000	
0.000328	2.682029	12.663333	15.220000	
0.000172	2.448436	14.983333	8.550000	
0.000159	2.331137	15.291667	9.430000	
0.000153	2.238610	13.951667	23.530000	
0.000147	2.148989	22.435000	27.170000	
0.000142	2.033868	24.796667	34.420000	
0.000133	1.933316	34.985000	34.270000	
0.000127	1.801845	38.073333	40.480000	
0.000115	1.593816	43.101667	48.090000	
0.000101	1.447034	53.908333	56.530000	
0.000106	1.403261	46.298333	52.490000	
0.000089	1.203423	55.060000	60.390000	
0.000078	1.056440	61.245000	65.670000	
0.000068	0.922568	68.788333	74.140000	
0.000061	0.847217	72.903333	76.670000	
0.000062	0.800068	69.456667	73.180000	
0.000051	0.729969	76.895000	74.140000	
0.000047	0.706111	78.543333	73.560000	
0.000044	0.553042	78.640000	84.110000	
