Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000147	1.856856	35.900000	64.950000	
0.000181	2.574926	52.070000	20.910000	
0.000158	2.283883	15.673333	18.970000	
0.000151	2.190891	25.351667	35.430000	
0.000140	1.844800	41.418333	60.590000	
0.000097	1.140004	65.823333	63.770000	
0.000264	2.307873	32.138333	9.730000	
0.000153	2.293637	9.765000	17.040000	
0.000153	2.264927	13.850000	15.440000	
0.000148	2.103512	22.151667	34.030000	
0.000126	1.382085	42.080000	53.000000	
0.000119	2.000280	50.943333	41.120000	
0.000121	1.308391	49.618333	61.130000	
0.000092	2.394480	60.376667	44.250000	
0.000097	0.768192	58.438333	76.840000	
