Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000162	0.002303	10.106000	10.000000	
0.000156	0.002304	17.500000	8.220000	
0.000151	0.002312	21.502000	10.000000	
0.000145	0.002333	23.210000	10.000000	
0.000138	0.002302	25.560000	11.870000	
0.000133	0.002120	27.712000	17.210000	
0.000129	0.001988	30.172000	21.140000	
0.000126	0.001856	32.652000	26.930000	
0.000123	0.001743	34.224000	34.060000	
0.000120	0.001728	35.604000	34.140000	
0.000118	0.001681	36.670000	36.810000	
0.000116	0.001620	38.100000	38.830000	
0.000113	0.001585	39.492000	40.200000	
0.000111	0.001558	40.448000	41.720000	
0.000110	0.001593	41.552000	40.490000	
0.000108	0.001647	41.994000	39.800000	
0.000106	0.001736	42.932000	38.750000	
0.000105	0.001479	44.102000	44.780000	
0.000103	0.001497	44.820000	44.540000	
0.000102	0.001495	45.818000	45.530000	
