Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000943	0.002319	29.502000	18.710000	
0.000726	0.001465	46.342000	46.350000	
0.000635	0.002129	53.834000	40.460000	
0.000523	0.001082	62.606000	62.190000	
0.000453	0.001098	67.510000	63.230000	
0.000393	0.000800	72.008000	71.640000	
0.000345	0.000790	75.670000	73.460000	
0.000311	0.000702	78.284000	76.280000	
0.000277	0.000757	80.842000	75.440000	
0.000260	0.000850	81.708000	73.600000	
0.000238	0.000719	83.398000	76.100000	
0.000226	0.000712	84.236000	76.930000	
0.000202	0.000518	86.020000	82.640000	
0.000192	0.000568	86.664000	81.150000	
0.000179	0.000537	87.602000	82.340000	
0.000171	0.000627	88.132000	79.920000	
0.000162	0.000620	88.598000	80.990000	
0.000152	0.000651	89.376000	80.530000	
0.000142	0.000459	90.124000	85.250000	
0.000132	0.000403	90.796000	86.510000	
0.000128	0.000557	91.054000	83.510000	
0.000121	0.000478	91.606000	84.750000	
0.000115	0.000700	91.898000	79.760000	
0.000110	0.000491	92.236000	85.120000	
0.000105	0.000540	92.604000	84.130000	
0.000104	0.000731	92.668000	80.830000	
0.000097	0.000470	93.166000	86.270000	
0.000092	0.000458	93.584000	85.910000	
0.000087	0.000480	93.862000	85.930000	
0.000082	0.000461	94.350000	87.030000	
0.000080	0.000573	94.452000	83.220000	
0.000075	0.000477	94.744000	86.570000	
0.000072	0.000498	94.944000	85.900000	
0.000069	0.000420	95.060000	87.950000	
0.000065	0.000435	95.396000	87.490000	
0.000058	0.000528	95.884000	85.380000	
0.000062	0.000438	95.548000	87.900000	
0.000054	0.000460	96.260000	87.560000	
0.000054	0.000701	96.218000	83.380000	
0.000055	0.000471	96.068000	87.950000	
0.000046	0.000419	96.800000	88.250000	
0.000045	0.000506	96.844000	86.580000	
0.000044	0.000479	96.862000	87.300000	
0.000046	0.000452	96.676000	88.870000	
0.000041	0.000514	97.138000	87.120000	
0.000040	0.000528	97.212000	86.620000	
0.000036	0.000407	97.386000	89.870000	
0.000037	0.000458	97.434000	88.250000	
0.000033	0.000426	97.742000	89.520000	
0.000033	0.000570	97.670000	86.950000	
0.000032	0.000503	97.774000	88.140000	
0.000028	0.000488	97.964000	88.420000	
0.000026	0.000467	98.172000	88.910000	
0.000025	0.000491	98.274000	88.290000	
0.000025	0.000453	98.268000	89.160000	
0.000025	0.000497	98.288000	89.040000	
0.000022	0.000448	98.468000	89.660000	
0.000023	0.000667	98.358000	85.750000	
0.000022	0.000485	98.512000	89.270000	
0.000023	0.000475	98.424000	89.540000	
0.000021	0.000442	98.546000	89.880000	
0.000018	0.000458	98.780000	89.850000	
0.000020	0.000486	98.554000	89.480000	
0.000021	0.000709	98.578000	86.730000	
0.000022	0.000433	98.446000	89.660000	
0.000020	0.000589	98.594000	87.870000	
0.000018	0.000436	98.738000	90.140000	
0.000016	0.000448	98.942000	90.120000	
0.000015	0.000467	99.048000	89.950000	
0.000014	0.000475	99.102000	89.970000	
0.000014	0.000531	99.060000	88.830000	
0.000014	0.000510	99.004000	89.050000	
0.000015	0.000482	98.944000	90.050000	
0.000014	0.000502	99.088000	90.040000	
0.000015	0.000460	98.980000	90.210000	
0.000014	0.000492	98.970000	89.850000	
0.000014	0.000511	99.100000	89.680000	
0.000013	0.000505	99.152000	89.340000	
0.000011	0.000457	99.266000	90.320000	
0.000011	0.000476	99.238000	90.140000	
0.000007	0.000403	99.534000	91.540000	
0.000005	0.000392	99.770000	91.490000	
0.000004	0.000390	99.806000	91.640000	
0.000003	0.000387	99.884000	91.660000	
0.000003	0.000389	99.858000	91.470000	
0.000003	0.000391	99.870000	91.600000	
0.000003	0.000386	99.884000	91.680000	
0.000003	0.000388	99.900000	91.630000	
0.000003	0.000385	99.874000	91.770000	
0.000002	0.000387	99.922000	91.860000	
0.000003	0.000385	99.902000	91.730000	
0.000002	0.000386	99.940000	91.790000	
0.000002	0.000390	99.920000	91.660000	
0.000002	0.000391	99.932000	91.760000	
0.000002	0.000389	99.934000	91.750000	
0.000002	0.000389	99.928000	91.730000	
0.000002	0.000388	99.952000	91.710000	
0.000002	0.000388	99.936000	91.740000	
0.000002	0.000390	99.934000	91.580000	
0.000002	0.000389	99.934000	91.840000	
0.000002	0.000390	99.946000	91.820000	
0.000002	0.000389	99.944000	91.820000	
0.000002	0.000390	99.954000	91.880000	
0.000002	0.000388	99.948000	91.880000	
0.000002	0.000389	99.932000	91.880000	
0.000002	0.000391	99.934000	91.810000	
0.000002	0.000389	99.944000	91.780000	
0.000002	0.000387	99.958000	91.820000	
0.000002	0.000390	99.962000	91.840000	
0.000002	0.000391	99.950000	91.960000	
0.000001	0.000392	99.962000	91.730000	
0.000002	0.000390	99.942000	91.850000	
0.000001	0.000392	99.972000	91.840000	
0.000001	0.000393	99.952000	91.770000	
0.000001	0.000391	99.950000	91.920000	
0.000001	0.000390	99.958000	91.830000	
0.000001	0.000390	99.962000	91.900000	
0.000001	0.000393	99.962000	91.760000	
0.000001	0.000395	99.964000	91.750000	
0.000001	0.000394	99.968000	91.830000	
0.000001	0.000394	99.976000	91.830000	
0.000001	0.000393	99.956000	91.920000	
0.000001	0.000394	99.966000	91.870000	
0.000001	0.000392	99.976000	91.850000	
0.000001	0.000394	99.970000	91.840000	
0.000001	0.000393	99.966000	91.920000	
0.000001	0.000392	99.976000	91.850000	
0.000001	0.000394	99.974000	91.820000	
0.000001	0.000391	99.966000	91.840000	
0.000001	0.000394	99.968000	91.790000	
0.000001	0.000394	99.968000	91.820000	
0.000001	0.000395	99.976000	91.850000	
0.000001	0.000394	99.966000	91.760000	
0.000001	0.000392	99.980000	91.830000	
0.000001	0.000393	99.968000	91.810000	
0.000001	0.000392	99.972000	91.900000	
0.000001	0.000392	99.968000	91.880000	
0.000001	0.000392	99.972000	91.850000	
0.000001	0.000393	99.976000	91.950000	
0.000001	0.000393	99.966000	91.850000	
0.000001	0.000394	99.968000	91.870000	
0.000001	0.000392	99.968000	91.820000	
0.000001	0.000391	99.978000	91.840000	
0.000001	0.000394	99.974000	91.750000	
0.000001	0.000393	99.972000	91.850000	
0.000001	0.000394	99.958000	91.850000	
0.000001	0.000393	99.970000	91.920000	
0.000001	0.000394	99.968000	91.830000	
0.000001	0.000393	99.968000	91.840000	
0.000001	0.000391	99.968000	91.820000	
