Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000546	0.002199	22.064000	18.810000	11.071908	0.001000	
0.000458	0.001824	34.270000	32.550000	5.993806	0.001000	
0.000400	0.001641	42.834000	40.780000	4.816631	0.001000	
0.000370	0.001441	47.692000	48.450000	6.815489	0.001000	
0.000345	0.001626	51.434000	43.560000	7.316618	0.001000	
0.000316	0.001663	55.794000	45.950000	6.478748	0.001000	
0.000290	0.001448	59.668000	51.780000	7.242076	0.001000	
0.000267	0.001043	63.088000	63.610000	7.928129	0.001000	
0.000242	0.001729	66.636000	49.550000	7.344554	0.001000	
0.000221	0.000950	69.540000	67.080000	7.146378	0.001000	
0.000204	0.000945	72.384000	67.830000	6.803166	0.001000	
0.000192	0.000878	74.024000	70.290000	6.880965	0.001000	
0.000177	0.000949	76.040000	68.420000	6.537791	0.001000	
0.000169	0.000915	77.154000	70.680000	6.438662	0.001000	
0.000155	0.000929	79.012000	69.940000	5.696987	0.001000	
0.000142	0.000704	80.694000	76.760000	5.471694	0.001000	
0.000137	0.000831	81.672000	73.180000	5.958052	0.001000	
0.000132	0.000660	82.186000	77.870000	6.004611	0.001000	
0.000122	0.000605	83.376000	80.270000	5.324679	0.001000	
0.000118	0.000608	84.128000	80.250000	5.523730	0.001000	
0.000114	0.000684	84.580000	77.920000	5.314287	0.001000	
0.000107	0.000842	85.588000	74.270000	5.160670	0.001000	
0.000106	0.000773	85.878000	75.460000	5.307183	0.001000	
0.000099	0.000643	86.810000	79.290000	4.796624	0.001000	
0.000093	0.000692	87.414000	78.830000	4.856773	0.001000	
0.000092	0.000515	87.748000	83.660000	4.982682	0.001000	
0.000090	0.000579	88.106000	81.510000	5.142946	0.001000	
0.000086	0.000818	88.330000	76.220000	4.980780	0.001000	
0.000085	0.000513	88.610000	83.640000	4.951423	0.001000	
0.000081	0.000532	89.270000	83.620000	4.747547	0.001000	
0.000078	0.000561	89.290000	82.470000	4.909475	0.001000	
0.000075	0.000551	90.020000	82.710000	4.595985	0.001000	
0.000074	0.000615	89.964000	81.440000	4.820143	0.001000	
0.000071	0.000532	90.516000	83.650000	4.619937	0.001000	
0.000069	0.000587	90.740000	81.920000	4.650176	0.001000	
0.000067	0.000609	90.968000	82.470000	4.724475	0.001000	
0.000066	0.000522	91.076000	83.810000	4.470653	0.001000	
0.000064	0.000569	91.422000	83.540000	4.588908	0.001000	
0.000062	0.000589	91.702000	82.350000	4.434792	0.001000	
0.000060	0.000496	91.968000	85.010000	4.437452	0.001000	
0.000059	0.000525	92.166000	84.980000	4.650558	0.001000	
0.000059	0.000581	92.128000	83.410000	4.566066	0.001000	
0.000056	0.000512	92.444000	85.150000	4.316594	0.001000	
0.000057	0.000478	92.498000	85.600000	4.518906	0.001000	
0.000053	0.000472	92.860000	86.110000	4.147606	0.001000	
0.000050	0.000505	93.216000	85.070000	4.055682	0.001000	
0.000051	0.000621	93.150000	82.950000	4.521528	0.001000	
0.000050	0.000540	93.272000	84.320000	4.398716	0.001000	
0.000048	0.000722	93.380000	80.160000	4.332357	0.001000	
0.000047	0.000455	93.680000	86.710000	4.209859	0.001000	
0.000046	0.000663	93.810000	83.110000	4.359300	0.001000	
0.000045	0.000506	93.828000	85.740000	4.306119	0.001000	
0.000045	0.000472	93.998000	86.230000	4.421582	0.001000	
0.000045	0.000492	93.778000	86.210000	4.484425	0.001000	
0.000042	0.000473	94.348000	86.860000	3.992413	0.001000	
0.000041	0.000477	94.666000	86.340000	4.133682	0.001000	
0.000043	0.000515	94.082000	86.440000	4.372160	0.001000	
0.000040	0.000667	94.606000	82.140000	4.092479	0.001000	
0.000039	0.000576	94.640000	84.740000	3.956151	0.001000	
0.000037	0.000585	95.004000	84.590000	3.943388	0.001000	
0.000037	0.000575	94.860000	85.070000	4.346318	0.001000	
0.000035	0.000547	95.194000	85.620000	3.913495	0.001000	
0.000035	0.000540	95.228000	85.220000	3.948195	0.001000	
