Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000336	0.002293	17.980000	15.330000	15.086920	0.000000	
0.000333	0.117770	16.546000	10.000000	5.348625	0.000000	
0.000279	0.015144	24.528000	8.210000	2.718365	0.000000	
0.000262	0.003313	28.678000	11.410000	2.270414	0.000000	
0.000248	0.002204	32.986000	24.950000	2.714215	0.000000	
0.000238	0.001840	35.892000	32.770000	3.071757	0.000000	
0.000232	0.001820	37.294000	32.960000	3.801094	0.000000	
0.000224	0.001739	39.846000	35.510000	3.690844	0.000000	
0.000216	0.001565	42.740000	41.240000	3.566609	0.000000	
0.000207	0.001487	44.558000	43.520000	3.648409	0.000000	
0.000203	0.001462	46.304000	44.960000	5.247313	0.000000	
0.000198	0.001436	47.714000	46.220000	4.749346	0.000000	
0.000190	0.001495	49.722000	45.840000	4.656554	0.000000	
0.000188	0.001438	50.614000	48.310000	5.701189	0.000000	
0.000190	0.001790	50.510000	41.440000	6.954068	0.000000	
0.000182	0.001409	52.174000	49.470000	5.332343	0.000000	
0.000173	0.001438	54.968000	48.060000	4.987561	0.000000	
0.000167	0.001228	56.374000	55.100000	5.357745	0.000000	
0.000161	0.001178	58.342000	57.920000	5.267607	0.000000	
0.000158	0.001246	58.898000	54.940000	6.103070	0.000000	
0.000151	0.001197	61.350000	57.440000	5.060548	0.000000	
0.000145	0.001086	62.490000	61.350000	5.897689	0.000000	
0.000137	0.001098	64.716000	60.420000	5.183623	0.000000	
0.000147	0.001345	62.676000	54.800000	7.190315	0.000000	
0.000140	0.001184	64.166000	59.320000	5.133708	0.000000	
0.000131	0.001153	66.346000	59.740000	5.276509	0.000000	
0.000124	0.001313	68.612000	56.120000	5.046715	0.000000	
0.000122	0.001006	68.826000	64.720000	5.849139	0.000000	
0.000116	0.001033	70.242000	64.270000	5.115062	0.000000	
0.000115	0.001012	71.242000	65.730000	5.295992	0.000000	
0.000107	0.001083	72.320000	65.310000	4.870139	0.000000	
0.000106	0.001004	73.048000	66.060000	5.194203	0.000000	
0.000105	0.000857	72.968000	69.080000	5.775407	0.000000	
0.000101	0.000788	74.126000	73.240000	5.231256	0.000000	
0.000095	0.000932	75.612000	68.580000	4.637571	0.000000	
0.000109	0.000992	72.480000	67.430000	6.999698	0.000000	
0.000103	0.000977	73.852000	67.320000	4.608986	0.000000	
0.000099	0.000924	74.904000	69.150000	5.325146	0.000000	
0.000091	0.000882	77.096000	70.140000	4.195336	0.000000	
0.000087	0.000903	77.684000	69.650000	4.457014	0.000000	
0.000084	0.000779	78.726000	73.450000	4.673104	0.000000	
0.000081	0.000753	79.428000	74.680000	4.562055	0.000000	
0.000078	0.000874	80.156000	72.060000	4.461190	0.000000	
0.000079	0.000849	79.970000	72.570000	5.204659	0.000000	
