Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000153	2.287362	9.685000	10.860000	
0.000152	2.265689	13.575000	21.110000	
0.000150	2.242795	23.786667	30.570000	
0.000149	2.219401	34.076667	40.370000	
0.000147	2.193325	41.931667	45.510000	
0.000145	2.163110	46.206667	49.890000	
0.000143	2.128081	51.578333	56.310000	
0.000141	2.087237	56.705000	58.460000	
0.000138	2.040045	58.896667	61.200000	
0.000135	1.986178	62.183333	64.330000	
0.000131	1.921488	64.671667	65.960000	
0.000127	1.847726	66.283333	66.950000	
0.000121	1.762444	67.368333	67.360000	
0.000116	1.664237	67.880000	69.280000	
0.000109	1.553666	70.333333	71.890000	
0.000101	1.439279	72.438333	74.090000	
0.000094	1.323944	74.238333	75.340000	
0.000086	1.207694	75.788333	76.710000	
0.000079	1.100672	77.066667	77.900000	
0.000072	1.001239	78.015000	78.940000	
