Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000541	0.002274	22.538000	14.610000	
0.000449	0.001797	34.730000	32.990000	
0.000392	0.001712	44.152000	39.910000	
0.000365	0.001618	48.558000	41.180000	
0.000327	0.001430	54.204000	50.300000	
0.000302	0.001542	57.738000	46.970000	
0.000272	0.001153	62.420000	59.070000	
0.000251	0.001138	65.828000	61.070000	
0.000225	0.001085	69.278000	63.170000	
0.000199	0.000852	73.048000	70.240000	
0.000184	0.000876	75.112000	70.490000	
0.000174	0.001013	76.450000	67.080000	
0.000163	0.000824	78.016000	71.830000	
0.000146	0.000644	80.256000	77.630000	
0.000135	0.000734	81.762000	75.700000	
0.000123	0.000664	83.218000	78.050000	
0.000118	0.000684	83.996000	78.040000	
0.000112	0.000641	84.878000	78.880000	
0.000105	0.000585	85.892000	80.460000	
0.000103	0.000558	86.042000	81.550000	
0.000096	0.000712	87.150000	77.620000	
0.000090	0.000591	88.024000	81.110000	
0.000086	0.000700	88.450000	78.920000	
0.000081	0.000829	89.068000	75.830000	
0.000075	0.000561	89.918000	82.690000	
0.000075	0.000647	90.000000	80.750000	
0.000071	0.000501	90.404000	84.250000	
0.000069	0.000628	90.914000	81.470000	
0.000067	0.000539	90.806000	83.430000	
0.000064	0.000480	91.416000	85.290000	
0.000058	0.000555	92.176000	83.270000	
0.000056	0.000587	92.422000	83.050000	
0.000055	0.000504	92.600000	84.630000	
0.000053	0.000711	92.830000	80.320000	
0.000050	0.000694	93.266000	80.570000	
0.000049	0.000555	93.292000	84.490000	
0.000046	0.000467	93.834000	86.360000	
0.000043	0.000482	94.248000	86.050000	
0.000043	0.000662	94.034000	82.320000	
0.000040	0.000506	94.654000	85.740000	
0.000039	0.000457	94.618000	86.910000	
0.000036	0.000492	95.198000	86.570000	
0.000033	0.000540	95.514000	85.280000	
0.000033	0.000427	95.496000	87.630000	
0.000031	0.000534	95.724000	85.710000	
0.000033	0.000597	95.498000	84.810000	
0.000031	0.000505	95.754000	86.190000	
0.000028	0.000526	96.244000	86.400000	
0.000027	0.000682	96.206000	83.110000	
0.000025	0.000591	96.650000	85.880000	
0.000024	0.000523	96.712000	86.960000	
0.000023	0.000611	96.760000	85.510000	
0.000023	0.000665	96.852000	84.680000	
0.000023	0.000415	96.894000	89.020000	
0.000022	0.000526	96.986000	87.080000	
0.000022	0.000751	97.010000	83.490000	
0.000023	0.000551	96.758000	87.430000	
0.000021	0.000593	97.232000	85.980000	
0.000021	0.000634	97.156000	85.650000	
0.000018	0.000586	97.426000	86.220000	
0.000019	0.000519	97.402000	87.550000	
0.000019	0.000646	97.374000	85.650000	
0.000017	0.000519	97.646000	87.810000	
0.000015	0.000536	97.940000	87.790000	
0.000016	0.000517	97.940000	87.740000	
0.000016	0.000585	97.878000	86.730000	
0.000015	0.000691	97.962000	86.050000	
0.000016	0.000475	97.868000	88.770000	
0.000015	0.000504	97.972000	88.590000	
0.000014	0.000542	98.070000	88.110000	
0.000014	0.000497	98.040000	88.890000	
0.000014	0.000486	98.184000	88.940000	
0.000013	0.000590	98.308000	87.360000	
0.000012	0.000478	98.422000	89.260000	
0.000011	0.000569	98.592000	88.130000	
0.000011	0.000539	98.644000	88.490000	
0.000011	0.000575	98.514000	87.990000	
0.000010	0.000537	98.718000	88.840000	
0.000009	0.000513	98.800000	89.080000	
0.000010	0.000582	98.676000	87.810000	
0.000006	0.000416	99.186000	90.650000	
0.000004	0.000396	99.522000	91.070000	
0.000003	0.000391	99.664000	91.130000	
0.000003	0.000390	99.714000	91.190000	
0.000003	0.000389	99.742000	91.260000	
0.000003	0.000390	99.738000	91.310000	
0.000002	0.000393	99.808000	91.300000	
0.000002	0.000393	99.810000	91.390000	
0.000003	0.000392	99.796000	91.440000	
0.000002	0.000391	99.838000	91.380000	
0.000002	0.000391	99.848000	91.480000	
0.000002	0.000392	99.856000	91.520000	
0.000002	0.000393	99.864000	91.590000	
0.000002	0.000393	99.848000	91.530000	
0.000002	0.000393	99.868000	91.610000	
0.000002	0.000393	99.862000	91.420000	
0.000002	0.000394	99.890000	91.450000	
0.000002	0.000394	99.884000	91.370000	
0.000002	0.000397	99.868000	91.360000	
0.000002	0.000397	99.846000	91.460000	
0.000002	0.000396	99.888000	91.430000	
0.000002	0.000395	99.890000	91.420000	
0.000002	0.000398	99.892000	91.480000	
0.000002	0.000398	99.888000	91.530000	
0.000001	0.000398	99.912000	91.390000	
0.000002	0.000399	99.886000	91.460000	
0.000001	0.000399	99.918000	91.540000	
0.000001	0.000398	99.902000	91.590000	
0.000001	0.000399	99.940000	91.440000	
0.000001	0.000400	99.908000	91.440000	
0.000001	0.000403	99.922000	91.330000	
0.000001	0.000401	99.948000	91.450000	
0.000001	0.000400	99.928000	91.360000	
0.000001	0.000402	99.930000	91.470000	
0.000001	0.000401	99.920000	91.530000	
0.000001	0.000399	99.922000	91.550000	
0.000001	0.000400	99.930000	91.450000	
0.000001	0.000404	99.944000	91.460000	
0.000001	0.000402	99.940000	91.550000	
0.000001	0.000401	99.944000	91.500000	
0.000001	0.000401	99.944000	91.510000	
0.000001	0.000402	99.948000	91.560000	
0.000001	0.000402	99.954000	91.530000	
0.000001	0.000401	99.922000	91.550000	
0.000001	0.000403	99.962000	91.540000	
0.000001	0.000402	99.944000	91.480000	
0.000001	0.000402	99.950000	91.570000	
0.000001	0.000402	99.946000	91.570000	
0.000001	0.000400	99.932000	91.610000	
0.000001	0.000402	99.938000	91.610000	
0.000001	0.000402	99.934000	91.600000	
0.000001	0.000403	99.942000	91.590000	
0.000001	0.000403	99.930000	91.600000	
0.000001	0.000403	99.956000	91.630000	
0.000001	0.000403	99.960000	91.590000	
0.000001	0.000402	99.924000	91.570000	
0.000001	0.000401	99.952000	91.600000	
0.000001	0.000401	99.948000	91.560000	
0.000001	0.000403	99.948000	91.570000	
0.000001	0.000403	99.926000	91.630000	
0.000001	0.000403	99.922000	91.600000	
0.000001	0.000403	99.938000	91.570000	
0.000001	0.000402	99.954000	91.550000	
0.000001	0.000404	99.942000	91.550000	
0.000001	0.000402	99.942000	91.560000	
0.000001	0.000402	99.952000	91.590000	
0.000001	0.000404	99.950000	91.520000	
0.000001	0.000404	99.956000	91.590000	
0.000001	0.000402	99.962000	91.630000	
0.000001	0.000403	99.952000	91.620000	
