Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000156	0.002304	17.142000	10.000000	
0.000139	0.002384	25.166000	10.000000	
0.000129	0.002724	29.510000	10.000000	
0.000130	0.002520	30.324000	13.140000	
0.000121	0.001879	34.618000	30.940000	
0.000114	0.001659	38.796000	38.570000	
0.000109	0.001598	41.414000	40.710000	
0.000106	0.001511	43.900000	44.710000	
0.000102	0.001469	46.712000	46.290000	
0.000098	0.001434	48.780000	47.650000	
0.000095	0.001429	50.464000	47.960000	
0.000092	0.001488	52.500000	45.470000	
0.000088	0.001436	53.760000	49.180000	
0.000086	0.001648	55.680000	44.770000	
0.000085	0.002072	55.784000	42.600000	
0.000082	0.001247	57.442000	55.670000	
0.000079	0.001234	59.758000	56.080000	
0.000076	0.001501	60.848000	50.970000	
0.000076	0.001302	61.174000	56.110000	
0.000072	0.001147	63.008000	59.420000	
