Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.003497	22651.024000	11.252000	10.160000	
0.001018	6.790860	11.478000	8.270000	
0.000693	0.187566	13.184000	9.540000	
0.000625	0.006694	16.984000	10.730000	
0.000583	0.002669	19.776000	22.330000	
0.000567	0.002501	21.752000	22.340000	
0.000552	0.002147	23.360000	26.580000	
0.000534	0.002153	26.200000	26.760000	
0.000517	0.001944	27.688000	30.670000	
0.000498	0.001914	30.070000	30.460000	
0.000490	0.001923	31.160000	32.210000	
0.000478	0.001840	32.968000	34.460000	
0.000470	0.001839	33.704000	33.590000	
0.000461	0.001776	34.610000	37.020000	
0.000455	0.001746	35.678000	36.480000	
0.000446	0.001781	36.504000	36.870000	
0.000438	0.001714	37.586000	38.040000	
0.000431	0.001767	38.718000	37.250000	
0.000427	0.001604	38.988000	41.510000	
0.000424	0.001618	39.682000	41.590000	
0.000420	0.001582	40.468000	41.960000	
0.000417	0.001626	40.522000	41.130000	
0.000414	0.001551	41.042000	42.940000	
0.000408	0.001561	41.522000	43.450000	
0.000406	0.001549	42.056000	43.990000	
0.000404	0.001556	42.326000	43.220000	
0.000402	0.001505	42.828000	44.650000	
0.000399	0.001576	43.336000	43.080000	
0.000397	0.001507	43.514000	44.950000	
0.000393	0.001477	43.996000	46.170000	
0.000389	0.001475	44.576000	45.620000	
0.000391	0.001454	44.312000	46.360000	
0.000386	0.001460	45.032000	47.010000	
0.000384	0.001462	45.220000	46.090000	
0.000382	0.001416	45.402000	47.340000	
0.000380	0.001417	45.628000	47.170000	
0.000380	0.001456	46.292000	46.770000	
0.000377	0.001476	46.468000	46.150000	
0.000375	0.001476	46.658000	46.640000	
0.000374	0.001465	46.840000	46.800000	
0.000374	0.001428	46.986000	47.670000	
0.000369	0.001370	47.490000	49.630000	
0.000368	0.001380	47.724000	49.470000	
0.000367	0.001390	47.912000	48.880000	
0.000365	0.001521	48.590000	47.030000	
0.000367	0.001404	48.064000	48.970000	
0.000366	0.001347	48.184000	50.350000	
0.000361	0.001355	48.956000	50.270000	
0.000358	0.001340	49.098000	50.770000	
0.000357	0.001366	49.426000	50.260000	
0.000358	0.001330	49.590000	51.250000	
0.000354	0.001346	50.132000	51.050000	
0.000353	0.001352	50.024000	50.510000	
0.000352	0.001322	50.302000	51.820000	
0.000351	0.001321	50.310000	51.590000	
0.000350	0.001395	50.578000	48.680000	
0.000352	0.001376	50.038000	50.560000	
0.000349	0.001293	50.684000	52.700000	
0.000343	0.001294	51.578000	52.290000	
0.000341	0.001296	52.088000	52.930000	
0.000340	0.001304	51.712000	52.900000	
0.000340	0.001275	52.128000	53.190000	
0.000337	0.001288	52.562000	53.150000	
0.000335	0.001281	52.876000	53.230000	
0.000335	0.001273	52.928000	53.250000	
0.000334	0.001299	53.078000	53.490000	
0.000332	0.001281	53.186000	53.810000	
0.000332	0.001283	53.386000	54.080000	
0.000329	0.001266	53.710000	53.860000	
0.000328	0.001305	53.976000	53.220000	
0.000327	0.001254	54.016000	55.170000	
0.000326	0.001241	54.354000	55.220000	
0.000326	0.001219	54.516000	55.740000	
0.000324	0.001239	54.640000	54.940000	
0.000324	0.001217	54.802000	55.880000	
0.000322	0.001210	54.574000	56.320000	
0.000319	0.001245	55.236000	55.590000	
0.000318	0.001223	55.574000	55.910000	
0.000317	0.001200	55.640000	57.060000	
0.000314	0.001190	55.904000	57.190000	
0.000311	0.001160	56.478000	58.210000	
0.000312	0.001157	56.634000	58.180000	
0.000310	0.001155	56.720000	58.340000	
0.000308	0.001156	56.896000	58.290000	
0.000308	0.001153	56.888000	58.690000	
0.000309	0.001152	56.796000	58.500000	
0.000309	0.001153	56.848000	58.600000	
0.000309	0.001153	56.820000	58.460000	
0.000308	0.001149	56.852000	58.770000	
0.000308	0.001151	57.292000	58.440000	
0.000307	0.001151	56.932000	58.500000	
0.000307	0.001149	57.178000	58.650000	
0.000305	0.001148	57.192000	58.600000	
0.000305	0.001145	57.228000	58.620000	
0.000307	0.001147	57.156000	58.710000	
0.000305	0.001145	57.170000	58.740000	
0.000306	0.001145	57.422000	58.840000	
0.000306	0.001146	57.348000	58.700000	
0.000305	0.001142	57.606000	58.790000	
0.000305	0.001145	57.282000	59.090000	
0.000304	0.001143	57.550000	58.800000	
0.000305	0.001142	57.722000	58.770000	
0.000304	0.001144	57.604000	58.810000	
0.000304	0.001141	57.582000	59.030000	
0.000305	0.001139	57.508000	58.910000	
0.000303	0.001139	57.514000	59.140000	
0.000304	0.001138	57.504000	59.080000	
0.000305	0.001136	57.542000	59.140000	
0.000304	0.001135	57.450000	59.130000	
0.000303	0.001135	57.744000	58.990000	
0.000303	0.001134	57.708000	59.050000	
0.000303	0.001136	57.724000	58.890000	
0.000304	0.001135	57.712000	59.000000	
0.000304	0.001135	57.756000	59.010000	
0.000304	0.001134	57.812000	59.280000	
0.000302	0.001132	57.844000	59.170000	
0.000303	0.001132	57.988000	59.280000	
0.000301	0.001133	58.014000	59.100000	
0.000303	0.001133	57.944000	59.220000	
0.000301	0.001132	58.126000	59.290000	
0.000300	0.001130	58.156000	59.290000	
