Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000334	0.002325	18.086000	11.200000	14.590803	0.000546	
0.000349	0.046290	15.740000	10.010000	5.991998	0.000271	
0.000284	0.006815	23.846000	12.470000	2.456215	0.000205	
0.000264	0.002577	28.486000	18.170000	1.864132	0.000171	
0.000248	0.002162	32.248000	26.390000	2.443352	0.000149	
0.000238	0.001824	35.340000	33.310000	3.042782	0.000133	
0.000229	0.001720	37.708000	36.840000	3.655201	0.000122	
0.000223	0.001738	39.356000	35.950000	3.246677	0.000113	
0.000214	0.001586	42.042000	40.780000	3.456490	0.000105	
0.000205	0.001554	44.670000	43.840000	3.925396	0.000099	
0.000201	0.001505	46.666000	45.080000	4.293606	0.000094	
0.000197	0.001445	48.268000	46.240000	4.536239	0.000089	
0.000190	0.001557	50.242000	43.480000	4.795198	0.000085	
0.000184	0.001428	51.580000	47.930000	4.276178	0.000082	
0.000180	0.001286	52.708000	52.310000	5.703266	0.000079	
0.000169	0.001656	55.806000	42.590000	4.659670	0.000076	
0.000189	0.001568	50.908000	45.460000	6.444913	0.000073	
0.000174	0.001360	54.364000	52.110000	4.283825	0.000071	
0.000163	0.001376	57.636000	52.250000	4.345392	0.000069	
0.000156	0.001435	59.088000	50.600000	5.051544	0.000067	
0.000151	0.001240	61.390000	54.690000	4.745502	0.000065	
0.000142	0.001078	63.824000	61.600000	4.697257	0.000063	
0.000135	0.001195	65.392000	59.270000	4.686748	0.000062	
0.000132	0.001052	66.448000	63.590000	4.952039	0.000060	
0.000126	0.001136	67.604000	60.890000	5.119498	0.000059	
0.000123	0.001050	68.648000	63.160000	5.164823	0.000058	
0.000118	0.001330	70.218000	56.150000	4.892757	0.000056	
0.000118	0.000991	70.198000	66.390000	5.959677	0.000055	
0.000113	0.001014	71.246000	64.500000	5.361887	0.000054	
0.000110	0.000910	72.434000	68.580000	4.974417	0.000053	
0.000103	0.000970	73.752000	67.050000	4.965710	0.000052	
0.000101	0.001027	74.466000	65.560000	5.280586	0.000051	
0.000107	0.000974	73.000000	67.180000	6.512869	0.000050	
0.000101	0.000868	74.272000	69.740000	5.012173	0.000050	
0.000093	0.000854	76.398000	71.480000	4.291674	0.000049	
0.000090	0.000934	77.144000	69.840000	4.824456	0.000048	
0.000089	0.000841	77.688000	71.640000	4.863603	0.000047	
0.000086	0.000862	78.508000	71.000000	4.724506	0.000047	
0.000084	0.000966	78.898000	68.060000	4.721593	0.000046	
0.000081	0.000789	79.726000	73.810000	4.796111	0.000045	
0.000079	0.000671	80.196000	76.800000	4.668989	0.000045	
0.000073	0.000762	81.566000	74.780000	3.858661	0.000044	
0.000072	0.000725	81.832000	75.350000	4.429888	0.000044	
0.000072	0.000856	82.130000	72.540000	4.732750	0.000043	
0.000067	0.000801	82.922000	73.810000	4.093268	0.000042	
0.000066	0.000722	82.864000	75.840000	4.516543	0.000042	
0.000067	0.000721	83.558000	77.170000	4.493734	0.000041	
0.000063	0.000730	84.386000	77.250000	4.083216	0.000041	
0.000063	0.000716	84.252000	77.560000	4.580240	0.000041	
0.000061	0.000651	84.644000	78.210000	4.338578	0.000040	
0.000061	0.000694	84.858000	77.550000	4.660817	0.000040	
0.000056	0.000639	85.890000	78.930000	3.876490	0.000039	
0.000054	0.000585	86.480000	81.130000	3.676522	0.000039	
0.000052	0.000863	86.880000	74.860000	3.831578	0.000038	
0.000051	0.000584	87.060000	80.880000	3.916811	0.000038	
0.000051	0.000572	87.476000	81.740000	4.093672	0.000038	
0.000050	0.000630	87.540000	79.890000	4.249875	0.000037	
0.000049	0.000674	88.182000	78.900000	3.909818	0.000037	
0.000047	0.000574	88.140000	81.500000	4.051966	0.000037	
0.000047	0.000609	88.302000	79.800000	4.246774	0.000036	
