Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001197	1.530034	28.951667	58.050000	
0.001017	1.194722	32.548333	66.680000	
0.000388	0.290618	77.200000	90.610000	
0.000115	0.164471	92.760000	94.650000	
0.000135	0.135011	91.821667	95.540000	
0.000058	0.108448	96.333333	96.270000	
0.000046	0.107258	97.113333	96.610000	
0.000040	0.081658	97.475000	97.280000	
0.000034	0.071147	97.890000	97.590000	
0.000030	0.061315	98.091667	97.810000	
0.000027	0.065930	98.343333	97.770000	
0.000024	0.070736	98.488333	97.690000	
0.000022	0.058871	98.538333	98.150000	
0.000021	0.071507	98.725000	97.760000	
0.000019	0.057391	98.816667	98.180000	
