Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000156	0.002304	17.142000	10.000000	
0.000138	0.002386	24.754000	10.000000	
0.000128	0.002724	29.678000	10.000000	
0.000124	0.002706	32.216000	12.380000	
0.000116	0.001895	36.666000	27.030000	
0.000111	0.001629	39.342000	39.560000	
0.000107	0.001616	42.162000	41.520000	
0.000105	0.001489	44.002000	45.120000	
0.000102	0.001491	46.018000	46.520000	
0.000098	0.001754	47.888000	42.650000	
0.000095	0.001402	50.484000	49.100000	
0.000094	0.001671	51.388000	44.880000	
0.000089	0.001392	53.170000	49.860000	
0.000086	0.001399	55.402000	50.330000	
0.000082	0.001380	57.424000	52.630000	
0.000089	0.001648	54.688000	43.070000	
0.000089	0.001811	54.196000	41.780000	
0.000085	0.001427	56.048000	49.080000	
0.000082	0.001414	57.722000	50.600000	
0.000079	0.001207	59.128000	57.560000	
