Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000978	0.002155	26.812000	24.350000	8.455573	0.000010	
0.000784	0.001512	41.670000	43.710000	5.485369	0.000010	
0.000677	0.001416	50.202000	47.700000	6.359482	0.000010	
0.000585	0.001294	57.996000	55.240000	7.560893	0.000010	
0.000499	0.001084	64.360000	61.960000	6.966574	0.000010	
0.000430	0.000920	69.306000	67.470000	6.741877	0.000010	
0.000380	0.000901	73.114000	70.150000	6.767595	0.000010	
0.000345	0.000875	75.748000	71.820000	6.577826	0.000010	
0.000303	0.001110	78.870000	67.390000	5.698586	0.000010	
0.000279	0.000744	80.398000	74.590000	5.901467	0.000010	
0.000252	0.000874	82.262000	72.820000	5.409046	0.000010	
0.000239	0.000641	83.358000	78.840000	5.453648	0.000010	
0.000210	0.000629	85.326000	79.660000	4.769379	0.000010	
0.000200	0.000523	86.176000	82.270000	5.236598	0.000010	
0.000186	0.000535	86.976000	82.480000	5.002580	0.000010	
0.000173	0.000623	88.096000	80.920000	4.930654	0.000010	
0.000164	0.000480	88.678000	84.290000	4.985901	0.000010	
0.000157	0.000493	89.080000	84.070000	4.907685	0.000010	
0.000144	0.000473	89.744000	84.960000	4.712082	0.000010	
0.000135	0.000555	90.736000	82.580000	4.604181	0.000010	
0.000126	0.000601	91.112000	82.060000	4.621962	0.000010	
0.000122	0.000521	91.360000	83.860000	4.706858	0.000010	
0.000113	0.000572	92.108000	82.140000	4.578513	0.000010	
0.000108	0.000526	92.402000	84.330000	4.534139	0.000010	
0.000101	0.000507	92.774000	85.280000	4.623123	0.000010	
0.000100	0.000583	92.992000	83.840000	4.653070	0.000010	
0.000096	0.000486	93.246000	86.400000	4.620496	0.000010	
0.000089	0.000455	93.762000	86.810000	4.432792	0.000010	
0.000084	0.000424	93.964000	87.390000	4.411915	0.000010	
0.000080	0.000443	94.360000	86.690000	4.309580	0.000010	
0.000073	0.000610	94.710000	84.160000	4.106210	0.000010	
0.000072	0.000629	94.928000	83.810000	4.381717	0.000010	
0.000068	0.000455	95.160000	87.260000	4.160216	0.000010	
0.000065	0.000443	95.364000	87.100000	4.210907	0.000010	
0.000057	0.000463	95.880000	87.960000	3.997253	0.000010	
0.000055	0.000481	96.124000	87.310000	3.958263	0.000010	
0.000054	0.000521	96.208000	86.430000	4.011215	0.000010	
0.000051	0.000530	96.396000	86.760000	3.956296	0.000010	
0.000055	0.000585	96.054000	85.850000	4.253224	0.000010	
0.000051	0.000448	96.396000	88.220000	4.002278	0.000010	
0.000050	0.000465	96.460000	88.330000	4.135193	0.000010	
0.000044	0.000503	96.892000	87.330000	3.710128	0.000010	
0.000041	0.000492	97.126000	87.920000	3.657600	0.000010	
0.000036	0.000442	97.516000	88.840000	3.500548	0.000010	
0.000034	0.000463	97.658000	88.850000	3.459299	0.000010	
0.000032	0.000479	97.744000	88.550000	3.390015	0.000010	
0.000030	0.000519	97.842000	87.610000	3.423543	0.000010	
0.000033	0.000530	97.698000	88.170000	3.628569	0.000010	
0.000032	0.000437	97.784000	89.420000	3.586834	0.000010	
0.000031	0.000597	97.852000	86.880000	3.624240	0.000010	
0.000031	0.000542	97.808000	87.830000	3.631198	0.000010	
0.000030	0.000621	97.916000	86.900000	3.507777	0.000010	
0.000026	0.000561	98.206000	87.730000	3.200826	0.000010	
0.000026	0.000498	98.188000	89.170000	3.314851	0.000010	
0.000025	0.000486	98.194000	89.380000	3.294968	0.000010	
0.000024	0.000457	98.270000	89.890000	3.270706	0.000010	
0.000023	0.000515	98.360000	88.610000	3.125302	0.000010	
0.000021	0.000518	98.570000	88.500000	3.047076	0.000010	
0.000021	0.000510	98.522000	89.380000	3.123788	0.000010	
0.000018	0.000531	98.684000	88.550000	2.810414	0.000010	
0.000016	0.000440	98.860000	90.180000	2.741830	0.000010	
0.000016	0.000573	98.870000	88.870000	2.765112	0.000010	
0.000018	0.000490	98.706000	89.690000	2.947492	0.000010	
0.000017	0.000501	98.796000	89.580000	2.897634	0.000010	
0.000018	0.000501	98.704000	90.030000	3.064328	0.000010	
0.000015	0.000487	98.962000	90.030000	2.731830	0.000010	
0.000017	0.000544	98.872000	88.810000	2.906442	0.000010	
0.000014	0.000467	99.020000	90.470000	2.607938	0.000010	
0.000012	0.000476	99.178000	90.200000	2.337389	0.000010	
0.000011	0.000468	99.278000	90.190000	2.277430	0.000010	
0.000011	0.000523	99.288000	89.730000	2.295460	0.000010	
0.000013	0.000529	99.146000	89.550000	2.661872	0.000010	
0.000013	0.000553	99.072000	89.280000	2.614035	0.000010	
0.000013	0.000585	99.054000	88.690000	2.621248	0.000010	
0.000014	0.000525	99.104000	89.850000	2.596919	0.000010	
0.000013	0.000544	99.110000	89.740000	2.634599	0.000010	
0.000014	0.000512	99.064000	90.290000	2.745528	0.000010	
