Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001269	0.008372	14.854000	12.830000	
0.000959	0.002140	26.854000	23.150000	
0.000860	0.002084	34.928000	31.380000	
0.000795	0.001899	40.770000	31.510000	
0.000761	0.001953	43.470000	36.310000	
0.000732	0.001615	46.518000	43.330000	
0.000709	0.001581	48.172000	46.690000	
0.000688	0.001677	49.646000	47.350000	
0.000671	0.001455	51.274000	49.810000	
0.000643	0.002010	53.466000	42.120000	
0.000623	0.001851	54.998000	44.180000	
0.000609	0.001674	56.060000	46.550000	
0.000587	0.001463	57.874000	54.010000	
0.000569	0.001399	59.054000	53.810000	
0.000568	0.001278	59.290000	57.470000	
0.000551	0.001528	60.628000	53.450000	
0.000545	0.001443	60.756000	53.150000	
0.000548	0.001335	60.676000	55.800000	
0.000526	0.001510	62.170000	55.100000	
0.000515	0.001776	62.998000	50.560000	
0.000508	0.001462	63.564000	54.650000	
0.000506	0.001364	63.638000	56.870000	
0.000492	0.001202	64.674000	60.680000	
0.000499	0.001121	64.322000	61.750000	
0.000486	0.001435	65.140000	56.790000	
0.000486	0.001142	65.338000	61.290000	
0.000482	0.001215	65.346000	60.260000	
0.000478	0.001208	65.782000	62.000000	
0.000476	0.001320	66.046000	56.880000	
0.000475	0.001061	65.918000	64.920000	
0.000469	0.001078	66.362000	63.760000	
0.000470	0.001222	66.430000	61.070000	
0.000465	0.001289	66.380000	59.400000	
0.000463	0.001457	67.034000	55.050000	
0.000468	0.001084	66.520000	63.180000	
0.000465	0.001152	66.642000	63.250000	
0.000455	0.001249	67.608000	61.700000	
0.000453	0.001002	67.728000	64.900000	
0.000449	0.001412	67.840000	56.060000	
0.000443	0.001068	68.286000	63.860000	
0.000450	0.000962	67.848000	67.130000	
0.000448	0.000963	67.948000	66.280000	
0.000445	0.000984	68.150000	66.890000	
0.000436	0.000981	68.882000	67.420000	
0.000433	0.001158	69.162000	64.290000	
0.000434	0.000950	69.110000	67.270000	
0.000438	0.001047	68.698000	66.120000	
0.000431	0.001031	69.414000	65.170000	
0.000432	0.001147	69.204000	63.530000	
0.000434	0.001018	69.080000	66.270000	
0.000436	0.000970	69.208000	68.220000	
0.000427	0.001084	69.534000	65.300000	
0.000430	0.001203	69.154000	63.450000	
0.000432	0.000983	69.092000	66.240000	
0.000429	0.001145	69.306000	63.490000	
0.000421	0.000975	70.056000	66.980000	
0.000421	0.000966	70.136000	67.950000	
0.000420	0.000850	70.210000	69.800000	
0.000423	0.000985	69.896000	66.350000	
0.000420	0.000958	70.100000	66.770000	
0.000415	0.001226	70.378000	63.860000	
0.000416	0.001253	70.426000	60.670000	
0.000414	0.000936	70.346000	67.550000	
0.000415	0.001003	70.632000	66.360000	
0.000419	0.001066	70.026000	65.600000	
0.000415	0.000981	70.520000	67.280000	
0.000415	0.000956	70.256000	67.160000	
0.000413	0.000878	70.556000	70.160000	
0.000409	0.000998	70.860000	66.880000	
0.000411	0.000916	70.662000	69.360000	
0.000407	0.000939	71.042000	67.880000	
0.000408	0.001013	71.172000	65.470000	
0.000405	0.000884	71.082000	70.050000	
0.000406	0.000916	71.212000	68.720000	
0.000406	0.001299	71.170000	61.250000	
0.000407	0.000925	71.080000	68.120000	
0.000406	0.000944	70.982000	67.850000	
0.000406	0.001042	71.408000	66.570000	
0.000405	0.000953	71.110000	68.330000	
0.000404	0.000902	71.152000	69.330000	
0.000388	0.000795	72.432000	71.930000	
0.000380	0.000787	73.098000	72.310000	
0.000378	0.000780	73.416000	72.400000	
0.000375	0.000774	73.426000	72.850000	
0.000373	0.000777	73.476000	72.750000	
0.000373	0.000771	73.444000	73.040000	
0.000371	0.000773	73.694000	72.840000	
0.000370	0.000764	73.944000	73.210000	
0.000368	0.000766	73.908000	73.090000	
0.000368	0.000765	73.818000	73.160000	
0.000366	0.000759	74.096000	73.440000	
0.000365	0.000755	74.314000	73.640000	
0.000362	0.000760	74.326000	73.440000	
0.000361	0.000756	74.244000	73.380000	
0.000364	0.000754	74.440000	73.790000	
0.000360	0.000756	74.478000	73.510000	
0.000361	0.000750	74.338000	73.610000	
0.000360	0.000749	74.544000	73.700000	
0.000359	0.000748	74.800000	73.820000	
0.000356	0.000748	74.842000	73.740000	
0.000357	0.000748	74.662000	73.800000	
0.000355	0.000747	74.866000	73.740000	
0.000355	0.000746	74.882000	73.950000	
0.000353	0.000744	74.950000	73.890000	
0.000356	0.000740	74.786000	74.170000	
0.000352	0.000740	75.152000	74.130000	
0.000352	0.000747	75.076000	73.950000	
0.000352	0.000738	75.162000	74.220000	
0.000351	0.000736	75.142000	74.220000	
0.000350	0.000732	75.156000	74.420000	
0.000350	0.000732	75.244000	74.480000	
0.000349	0.000733	75.212000	74.450000	
0.000349	0.000734	75.286000	74.340000	
0.000347	0.000732	75.406000	74.360000	
0.000346	0.000734	75.568000	74.430000	
0.000347	0.000736	75.126000	74.360000	
0.000348	0.000731	75.600000	74.400000	
0.000344	0.000730	75.652000	74.710000	
0.000344	0.000731	75.740000	74.340000	
0.000345	0.000727	75.876000	74.720000	
0.000341	0.000725	75.856000	74.520000	
0.000343	0.000722	75.564000	74.520000	
0.000342	0.000723	75.752000	74.500000	
0.000341	0.000724	75.744000	74.500000	
0.000342	0.000723	75.584000	74.700000	
0.000343	0.000722	75.794000	74.630000	
0.000343	0.000722	75.640000	74.590000	
0.000341	0.000723	75.710000	74.660000	
0.000340	0.000724	75.928000	74.430000	
0.000341	0.000722	75.822000	74.640000	
0.000341	0.000723	75.824000	74.640000	
0.000342	0.000723	75.896000	74.670000	
0.000341	0.000724	75.860000	74.660000	
0.000341	0.000722	75.918000	74.760000	
0.000342	0.000725	75.726000	74.630000	
0.000341	0.000723	75.992000	74.490000	
0.000341	0.000720	75.858000	74.520000	
0.000341	0.000721	75.846000	74.570000	
0.000341	0.000721	75.926000	74.580000	
0.000345	0.000721	75.658000	74.720000	
0.000341	0.000721	76.058000	74.740000	
0.000342	0.000721	75.788000	74.610000	
0.000340	0.000721	75.916000	74.590000	
0.000341	0.000723	75.860000	74.730000	
0.000340	0.000722	75.826000	74.600000	
0.000341	0.000721	75.762000	74.800000	
0.000341	0.000721	75.830000	74.680000	
0.000341	0.000723	75.958000	74.630000	
0.000340	0.000720	76.040000	74.690000	
0.000340	0.000720	75.814000	74.690000	
