Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000153	2.281294	10.785000	17.190000	
0.000151	2.254158	20.795000	30.550000	
0.000150	2.224650	35.760000	46.170000	
0.000148	2.190921	49.695000	54.850000	
0.000145	2.150420	56.240000	58.880000	
0.000142	2.100168	59.310000	61.200000	
0.000139	2.036786	61.371667	63.110000	
0.000134	1.956055	63.238333	65.300000	
0.000128	1.853256	64.971667	67.150000	
0.000121	1.725186	66.598333	69.280000	
0.000112	1.573753	68.895000	71.460000	
0.000102	1.407735	71.145000	73.390000	
0.000091	1.240092	73.515000	75.680000	
0.000080	1.084259	75.815000	77.290000	
0.000070	0.950195	77.296667	79.170000	
