Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000038	2.301877	9.218333	10.220000	
0.000038	2.298346	10.445000	12.620000	
0.000038	2.299295	12.890000	10.750000	
0.000038	2.292060	11.103333	10.750000	
0.000038	2.283907	10.936667	13.880000	
0.000038	2.273516	13.913333	17.880000	
0.000038	2.222866	17.540000	25.720000	
0.000037	2.163006	24.426667	31.100000	
0.000036	2.101732	29.763333	36.160000	
0.000035	2.046100	35.770000	40.170000	
0.000034	1.998404	39.861667	47.450000	
0.000033	1.944460	47.458333	52.630000	
0.000032	1.892335	52.711667	55.970000	
0.000032	1.830642	56.163333	57.730000	
0.000031	1.762246	57.726667	59.960000	
0.000030	1.693044	59.856667	63.650000	
0.000028	1.626146	63.190000	67.670000	
0.000027	1.561839	67.508333	69.550000	
0.000026	1.495488	69.333333	70.520000	
0.000025	1.424617	70.076667	71.550000	
0.000024	1.354488	71.183333	71.280000	
0.000023	1.290743	70.991667	71.270000	
0.000022	1.221388	70.903333	73.100000	
0.000021	1.155135	72.565000	74.850000	
0.000020	1.093907	74.521667	76.670000	
0.000019	1.035674	76.126667	77.740000	
0.000018	0.981117	77.048333	78.090000	
0.000017	0.930830	77.445000	78.760000	
0.000016	0.882515	77.855000	80.330000	
0.000015	0.843808	79.206667	81.030000	
0.000014	0.804797	80.091667	81.550000	
0.000014	0.765573	80.451667	82.330000	
0.000013	0.736893	81.368333	82.900000	
0.000013	0.707273	82.348333	83.420000	
0.000012	0.680338	82.806667	83.830000	
0.000012	0.654578	83.155000	84.630000	
0.000011	0.633437	84.138333	85.000000	
0.000011	0.614779	84.616667	85.170000	
0.000011	0.595276	84.661667	85.540000	
0.000010	0.576348	85.088333	85.900000	
0.000010	0.558740	85.416667	86.340000	
0.000010	0.543947	86.003333	86.210000	
0.000009	0.530513	86.008333	86.870000	
0.000009	0.519413	86.410000	86.980000	
0.000009	0.506504	86.728333	87.120000	
0.000009	0.499287	86.830000	87.370000	
0.000009	0.485763	86.981667	87.570000	
0.000008	0.477427	87.246667	87.950000	
0.000008	0.467217	87.460000	87.970000	
0.000008	0.458781	87.608333	88.100000	
0.000008	0.449730	87.861667	88.190000	
0.000008	0.442444	87.955000	88.440000	
0.000008	0.434581	88.043333	88.470000	
0.000008	0.426190	88.306667	88.650000	
0.000007	0.419377	88.431667	88.970000	
0.000007	0.413244	88.613333	88.970000	
0.000007	0.408309	88.713333	88.990000	
0.000007	0.402868	88.665000	89.190000	
0.000007	0.397790	88.938333	89.110000	
0.000007	0.392738	88.665000	89.450000	
0.000007	0.387168	89.083333	89.210000	
0.000007	0.379884	89.138333	89.610000	
0.000007	0.375510	89.408333	89.680000	
0.000007	0.371790	89.516667	89.760000	
0.000007	0.367126	89.490000	89.810000	
0.000006	0.362038	89.591667	89.960000	
0.000006	0.357642	89.790000	90.080000	
0.000006	0.354988	89.923333	89.950000	
0.000006	0.351523	89.733333	90.180000	
0.000006	0.347890	89.941667	90.110000	
0.000006	0.345611	89.908333	90.370000	
0.000006	0.341418	90.088333	90.110000	
0.000006	0.340586	89.871667	90.260000	
0.000006	0.335538	90.043333	90.240000	
0.000006	0.333006	89.928333	90.550000	
0.000006	0.328774	90.256667	90.490000	
0.000006	0.323828	90.130000	90.870000	
0.000006	0.321003	90.613333	90.770000	
0.000006	0.318547	90.581667	91.040000	
0.000006	0.314916	90.770000	90.930000	
0.000006	0.312269	90.788333	91.380000	
0.000005	0.308969	90.983333	91.320000	
0.000005	0.306406	91.003333	91.580000	
0.000005	0.304415	91.025000	91.560000	
0.000005	0.303491	91.103333	91.410000	
0.000005	0.302375	91.141667	91.640000	
0.000005	0.299013	91.241667	91.690000	
0.000005	0.296294	91.198333	91.790000	
0.000005	0.295019	91.333333	91.630000	
0.000005	0.293599	91.146667	91.860000	
0.000005	0.291581	91.373333	91.510000	
0.000005	0.290648	91.296667	91.900000	
0.000005	0.288780	91.485000	91.640000	
0.000005	0.289325	91.418333	91.820000	
0.000005	0.285963	91.565000	91.680000	
0.000005	0.283698	91.415000	91.900000	
0.000005	0.280649	91.588333	91.820000	
0.000005	0.278840	91.603333	92.160000	
0.000005	0.276791	91.828333	92.050000	
0.000005	0.276514	91.685000	92.100000	
