Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.001060	0.002024	22.754000	25.540000	7.377115	0.001000	
0.000839	0.001590	37.006000	40.980000	4.221554	0.001000	
0.000757	0.001541	43.534000	43.400000	4.158725	0.001000	
0.000684	0.001373	49.736000	49.800000	4.833258	0.001000	
0.000612	0.001238	55.386000	55.350000	5.241494	0.001000	
0.000562	0.001206	59.212000	57.960000	6.139367	0.001000	
0.000513	0.001104	63.180000	62.170000	5.481504	0.001000	
0.000465	0.001102	66.690000	61.470000	5.176280	0.001000	
0.000421	0.000936	69.660000	68.140000	5.108319	0.001000	
0.000387	0.000835	72.660000	71.450000	4.854396	0.001000	
0.000349	0.000947	75.216000	68.920000	4.396255	0.001000	
0.000334	0.000871	76.432000	70.820000	4.699003	0.001000	
0.000313	0.000774	77.864000	74.020000	4.592539	0.001000	
0.000294	0.000851	79.332000	72.310000	4.597641	0.001000	
0.000280	0.000777	80.054000	74.640000	4.530342	0.001000	
0.000263	0.000622	81.414000	78.840000	4.347475	0.001000	
0.000245	0.000658	82.582000	78.150000	4.137771	0.001000	
0.000233	0.000766	83.720000	75.640000	3.956548	0.001000	
0.000220	0.000717	84.470000	77.760000	3.961814	0.001000	
0.000212	0.000554	85.018000	81.330000	3.939764	0.001000	
0.000201	0.000633	85.892000	79.760000	3.887498	0.001000	
0.000192	0.000675	86.538000	78.510000	3.740281	0.001000	
0.000186	0.000621	86.964000	80.670000	3.770898	0.001000	
0.000183	0.000555	87.222000	82.030000	3.787954	0.001000	
0.000172	0.000638	87.912000	80.110000	3.707034	0.001000	
0.000170	0.000558	88.030000	82.450000	3.756099	0.001000	
0.000168	0.000537	88.284000	83.050000	3.786850	0.001000	
0.000158	0.000607	88.972000	80.680000	3.579524	0.001000	
0.000155	0.000471	88.960000	85.040000	3.683867	0.001000	
0.000150	0.000521	89.442000	83.470000	3.576220	0.001000	
0.000148	0.000496	89.434000	84.370000	3.681807	0.001000	
0.000143	0.000712	89.736000	79.930000	3.613475	0.001000	
0.000138	0.000476	90.290000	84.550000	3.424798	0.001000	
0.000134	0.000531	90.566000	83.640000	3.511673	0.001000	
